"ABT.Open","ABT.High","ABT.Low","ABT.Close","ABT.Volume","ABT.Adjusted","Date"
86.0599975585938,86.9599990844727,85.8000030517578,86.9499969482422,4969000,78.5558090209961,2020-01-02
85.75,86.6699981689453,85.5899963378906,85.8899993896484,4747000,77.59814453125,2020-01-03
85.620002746582,86.3600006103516,85.2099990844727,86.3399963378906,5631700,78.0047073364258,2020-01-06
85.7699966430664,86.3000030517578,85.5400009155273,85.8600006103516,3408100,77.5710296630859,2020-01-07
86.2399978637695,86.6600036621094,85.9300003051758,86.2099990844727,5693900,77.8872451782227,2020-01-08
86.3000030517578,86.6800003051758,85.75,86.4400024414062,6432500,78.0950546264648,2020-01-09
86.7900009155273,86.9899978637695,85.1699981689453,85.3600006103516,4680400,77.1193313598633,2020-01-10
85.5,85.7300033569336,84.7399978637695,85.120002746582,5571500,76.9024810791016,2020-01-13
84.129997253418,86,84.0100021362305,85.7399978637695,8751400,77.7916259765625,2020-01-14
86.1100006103516,87.8499984741211,86.1100006103516,87.379997253418,5389700,79.2795944213867,2020-01-15
87.9400024414062,88.3099975585938,87.4199981689453,88.2799987792969,5023300,80.0961532592773,2020-01-16
88.4499969482422,89.1999969482422,88.3099975585938,89,5879700,80.7494201660156,2020-01-17
88.8600006103516,90.0400009155273,88.6100006103516,89.7300033569336,7458100,81.4117431640625,2020-01-21
90.7799987792969,92.4499969482422,90.0299987792969,91.8600006103516,9841200,83.3442764282227,2020-01-22
91.8099975585938,91.8499984741211,90.1600036621094,90.7300033569336,7418400,82.3190383911133,2020-01-23
90.8499984741211,91.5299987792969,90.2099990844727,90.4000015258789,4218700,82.0196533203125,2020-01-24
89.1100006103516,90,88.8899993896484,89.5899963378906,4482200,81.2847213745117,2020-01-27
89.6999969482422,90.0299987792969,89.3899993896484,89.5400009155273,4983700,81.2393646240234,2020-01-28
89.6100006103516,90.2300033569336,89.0699996948242,89.1399993896484,3914300,80.8764495849609,2020-01-29
88.2900009155273,89.2099990844727,87.9700012207031,89.1600036621094,5248100,80.8945770263672,2020-01-30
89.129997253418,89.2300033569336,86.9000015258789,87.1399993896484,5914100,79.0618515014648,2020-01-31
87.7799987792969,88.4000015258789,86.75,87.0599975585938,4675900,78.9892654418945,2020-02-03
88.1500015258789,89.25,88.1500015258789,88.2300033569336,3904600,80.0508041381836,2020-02-04
88.870002746582,89.6100006103516,88.5500030517578,89.5599975585938,3565700,81.2575073242188,2020-02-05
90,90.0800018310547,89.25,89.4700012207031,4270700,81.1758346557617,2020-02-06
89.2300033569336,89.5100021362305,87.6800003051758,87.870002746582,4472300,79.7241516113281,2020-02-07
87.2099990844727,88.3000030517578,87.2099990844727,88.3000030517578,4219400,80.1143035888672,2020-02-10
88.6399993896484,89.4100036621094,88.5299987792969,89.1699981689453,2661900,80.9036560058594,2020-02-11
89.5599975585938,89.5899963378906,88.5800018310547,88.7900009155273,3389400,80.5588760375977,2020-02-12
88.5,89.0400009155273,87.6999969482422,88.6800003051758,4448800,80.4590835571289,2020-02-13
88.870002746582,89.7099990844727,88.3099975585938,89.6600036621094,3919800,81.3482437133789,2020-02-14
89.4199981689453,89.4899978637695,88.3099975585938,88.879997253418,4492300,80.6405487060547,2020-02-18
88.8300018310547,89.9300003051758,88.6900024414062,89.3600006103516,3464900,81.0760269165039,2020-02-19
89.0999984741211,89.5599975585938,88.0400009155273,88.4599990844727,3657500,80.2594833374023,2020-02-20
88.0400009155273,88.25,87.1600036621094,87.4499969482422,5570900,79.3431091308594,2020-02-21
85.4499969482422,85.6699981689453,84.0699996948242,84.629997253418,5667200,76.7845306396484,2020-02-24
84.9300003051758,85.370002746582,80.7799987792969,81.129997253418,7021800,73.6089859008789,2020-02-25
82.129997253418,82.879997253418,81.1100006103516,81.3600006103516,7380100,73.8176651000977,2020-02-26
80.4000015258789,82.0299987792969,79.1600036621094,79.1900024414062,8657200,71.8488464355469,2020-02-27
77.120002746582,78.1600036621094,74.0199966430664,77.0299987792969,16671900,69.8890533447266,2020-02-28
77.879997253418,81.6800003051758,77.25,81.6100006103516,11483600,74.0444869995117,2020-03-02
81.5800018310547,83.5,77.2600021362305,77.9899978637695,9510600,70.7600784301758,2020-03-03
