"LEONIA.MI.Open","LEONIA.MI.High","LEONIA.MI.Low","LEONIA.MI.Close","LEONIA.MI.Volume","LEONIA.MI.Adjusted","Date"
104.71199798584,104.71199798584,104.704002380371,104.707000732422,2320,104.707000732422,2020-01-02
104.697998046875,104.706001281738,104.696998596191,104.702003479004,22016,104.702003479004,2020-01-03
104.694999694824,104.703002929688,104.694999694824,104.698997497559,3891,104.698997497559,2020-01-06
104.702003479004,104.703002929688,104.693000793457,104.697998046875,16545,104.697998046875,2020-01-07
104.697998046875,104.699996948242,104.68399810791,104.695999145508,7362,104.695999145508,2020-01-08
104.688003540039,104.694999694824,104.684997558594,104.690002441406,13018,104.690002441406,2020-01-09
104.68399810791,104.684997558594,104.682998657227,104.684997558594,10461,104.684997558594,2020-01-10
104.680999755859,104.690002441406,104.680000305176,104.684997558594,12506,104.684997558594,2020-01-13
104.674003601074,104.688003540039,104.674003601074,104.679000854492,16251,104.679000854492,2020-01-14
104.678001403809,104.685997009277,104.678001403809,104.680999755859,9662,104.680999755859,2020-01-15
104.672996520996,104.681999206543,104.671997070312,104.676002502441,26707,104.676002502441,2020-01-16
104.666000366211,104.681999206543,104.666000366211,104.675003051758,67608,104.675003051758,2020-01-17
104.667999267578,104.678001403809,104.666000366211,104.671997070312,37456,104.671997070312,2020-01-20
104.666000366211,104.677001953125,104.665000915527,104.666000366211,23209,104.666000366211,2020-01-21
104.665000915527,104.671997070312,104.66300201416,104.664001464844,12651,104.664001464844,2020-01-22
104.660003662109,104.667999267578,104.654998779297,104.660003662109,29291,104.660003662109,2020-01-23
104.657997131348,104.666000366211,104.657997131348,104.662002563477,6898,104.662002563477,2020-01-24
104.657997131348,104.664001464844,104.65299987793,104.658996582031,17477,104.658996582031,2020-01-27
104.65299987793,104.66300201416,104.651000976562,104.656997680664,24764,104.656997680664,2020-01-28
104.660003662109,104.660003662109,104.649002075195,104.654998779297,19790,104.654998779297,2020-01-29
104.660003662109,104.660003662109,104.646003723145,104.653999328613,18133,104.653999328613,2020-01-30
104.643997192383,104.65299987793,104.642997741699,104.652000427246,87440,104.652000427246,2020-01-31
104.648002624512,104.650001525879,104.638000488281,104.650001525879,61192,104.650001525879,2020-02-03
104.638999938965,104.648002624512,104.638000488281,104.642997741699,14963,104.642997741699,2020-02-04
104.647003173828,104.648002624512,104.636001586914,104.641998291016,18054,104.641998291016,2020-02-05
104.627998352051,104.642997741699,104.627998352051,104.636001586914,7254,104.636001586914,2020-02-06
104.625999450684,104.640998840332,104.625999450684,104.638999938965,37010,104.638999938965,2020-02-07
104.642997741699,104.642997741699,104.625999450684,104.634002685547,26202,104.634002685547,2020-02-10
104.627998352051,104.636001586914,104.625999450684,104.630996704102,12288,104.630996704102,2020-02-11
104.638000488281,104.638000488281,104.622001647949,104.625999450684,78324,104.625999450684,2020-02-12
104.640998840332,104.640998840332,104.619003295898,104.626998901367,17782,104.626998901367,2020-02-13
104.626998901367,104.626998901367,104.615997314453,104.625,9847,104.625,2020-02-14
104.623001098633,104.623001098633,104.612998962402,104.623001098633,12487,104.623001098633,2020-02-17
104.612998962402,104.620002746582,104.611000061035,104.612998962402,47138,104.612998962402,2020-02-18
104.61799621582,104.619003295898,104.609001159668,104.61799621582,16081,104.61799621582,2020-02-19
104.606002807617,104.613998413086,104.606002807617,104.610000610352,9755,104.610000610352,2020-02-20
104.603996276855,104.611999511719,104.603996276855,104.608001708984,4944,104.608001708984,2020-02-21
104.596000671387,104.609001159668,104.596000671387,104.609001159668,7468,104.609001159668,2020-02-24
104.599998474121,104.609001159668,104.598999023438,104.609001159668,12124,104.609001159668,2020-02-25
104.597999572754,104.609001159668,104.596000671387,104.609001159668,35408,104.609001159668,2020-02-26
104.599998474121,104.602996826172,104.592002868652,104.602996826172,30569,104.602996826172,2020-02-27
104.591003417969,104.600997924805,104.591003417969,104.599998474121,28502,104.599998474121,2020-02-28
104.59700012207,104.599998474121,104.587997436523,104.599998474121,32720,104.599998474121,2020-03-02
104.585998535156,104.600997924805,104.582000732422,104.597999572754,35624,104.597999572754,2020-03-03
104.593002319336,104.595001220703,104.583999633789,104.583999633789,55357,104.583999633789,2020-03-04
104.581001281738,104.591003417969,104.580001831055,104.585998535156,10869,104.585998535156,2020-03-05
104.575996398926,104.587997436523,104.575996398926,104.58699798584,29320,104.58699798584,2020-03-06
104.567001342773,104.59400177002,104.564002990723,104.580001831055,33587,104.580001831055,2020-03-09
104.573997497559,104.583999633789,104.571998596191,104.583999633789,31166,104.583999633789,2020-03-10
104.579002380371,104.581001281738,104.570999145508,104.581001281738,177598,104.581001281738,2020-03-11
104.573997497559,104.790000915527,104.55899810791,104.790000915527,130106,104.790000915527,2020-03-12
104.55899810791,104.583000183105,104.553001403809,104.583000183105,134431,104.583000183105,2020-03-13
104.583000183105,104.783996582031,104.339996337891,104.339996337891,346190,104.339996337891,2020-03-16
104.575996398926,104.578002929688,104.486999511719,104.578002929688,144697,104.578002929688,2020-03-17
104.523002624512,104.677001953125,104.450996398926,104.575996398926,106058,104.575996398926,2020-03-18
104.554000854492,104.571998596191,104.541999816895,104.55899810791,83695,104.55899810791,2020-03-19
104.542999267578,104.569999694824,104.541000366211,104.569999694824,26349,104.569999694824,2020-03-20
104.540000915527,104.567001342773,104.537002563477,104.554000854492,142404,104.554000854492,2020-03-23
104.537002563477,104.565002441406,104.537002563477,104.563003540039,115777,104.563003540039,2020-03-24
104.540000915527,104.56600189209,104.535003662109,104.549003601074,89147,104.549003601074,2020-03-25
