"CVX.Open","CVX.High","CVX.Low","CVX.Close","CVX.Volume","CVX.Adjusted","Date"
120.809997558594,121.629997253418,120.769996643066,121.430000305176,5205000,93.9556427001953,2020-01-02
121.779998779297,122.720001220703,120.73999786377,121.01000213623,6360900,93.6306457519531,2020-01-03
121.23999786377,121.669998168945,120.330001831055,120.599998474121,9953000,93.3134384155273,2020-01-06
119.019996643066,119.730003356934,117.769996643066,119.059997558594,7856900,92.1218490600586,2020-01-07
118.550003051758,119.089996337891,117.650001525879,117.699996948242,7295900,91.0695724487305,2020-01-08
117.589996337891,117.919998168945,116.180000305176,117.51000213623,7345300,90.9225692749023,2020-01-09
117.519996643066,117.690002441406,116.400001525879,116.440002441406,6393800,90.0946502685547,2020-01-10
116.470001220703,116.910003662109,116.080001831055,116.660003662109,6846700,90.2648849487305,2020-01-13
116.5,116.879997253418,115.709999084473,116.300003051758,7189100,89.9863204956055,2020-01-14
116.300003051758,116.410003662109,115.650001525879,116.129997253418,5808800,89.8547973632812,2020-01-15
116.559997558594,117.279998779297,116.449996948242,116.889999389648,7022000,90.4428253173828,2020-01-16
117.01000213623,117.290000915527,115.519996643066,115.580001831055,7885900,89.4292297363281,2020-01-17
115.099998474121,115.150001525879,113.169998168945,113.309997558594,8470300,87.6728134155273,2020-01-21
113.099998474121,113.529998779297,112.459999084473,112.900001525879,5589900,87.3556213378906,2020-01-22
112.400001525879,113.48999786377,111.860000610352,113.099998474121,8007800,87.5103378295898,2020-01-23
112.790000915527,112.980003356934,111.339996337891,111.849998474121,6920000,86.5431671142578,2020-01-24
110.25,110.830001831055,109.980003356934,110.389999389648,7609800,85.4134979248047,2020-01-27
110.980003356934,111.620002746582,110.769996643066,111.120002746582,5771900,85.9783477783203,2020-01-28
111.449996948242,111.839996337891,110.180000305176,110.370002746582,4772800,85.3980407714844,2020-01-29
109.809997558594,111.580001831055,109.059997558594,111.400001525879,8382700,86.1949920654297,2020-01-30
109.809997558594,110,106.400001525879,107.139999389648,13699600,82.8988418579102,2020-01-31
106.949996948242,107.25,105.400001525879,106.279998779297,8785500,82.2334136962891,2020-02-03
107.680000305176,108.339996337891,106.599998474121,106.849998474121,9909000,82.6744384765625,2020-02-04
108.269996643066,110.650001525879,108.110000610352,110.279998779297,6914100,85.3283920288086,2020-02-05
110.629997253418,110.669998168945,109.110000610352,109.48999786377,6274000,84.7171325683594,2020-02-06
108.930000305176,109.440002441406,108.470001220703,108.940002441406,4830100,84.2915878295898,2020-02-07
108.540000915527,109.800003051758,108.319999694824,109.790000915527,6011800,84.9492416381836,2020-02-10
