"ADBE.Open","ADBE.High","ADBE.Low","ADBE.Close","ADBE.Volume","ADBE.Adjusted","Date"
330,334.480010986328,329.170013427734,334.429992675781,1990100,334.429992675781,2020-01-02
329.170013427734,332.980010986328,328.690002441406,331.809997558594,1577600,331.809997558594,2020-01-03
328.290008544922,333.910003662109,328.190002441406,333.709991455078,1874700,333.709991455078,2020-01-06
334.149993896484,334.790008544922,332.309997558594,333.390014648438,2500800,333.390014648438,2020-01-07
333.809997558594,339.230010986328,333.399993896484,337.869995117188,2248500,337.869995117188,2020-01-08
340.140014648438,341.809997558594,338.190002441406,340.450012207031,1626300,340.450012207031,2020-01-09
342.049987792969,343.359985351562,339.619995117188,339.809997558594,1480400,339.809997558594,2020-01-10
341.540008544922,345.730010986328,341.220001220703,345.630004882812,2069200,345.630004882812,2020-01-13
347.010009765625,347.269989013672,343.149993896484,344.630004882812,2274400,344.630004882812,2020-01-14
346.420013427734,347.5,342.459991455078,342.940002441406,2213300,342.940002441406,2020-01-15
345.980010986328,345.989990234375,342.760009765625,345.380004882812,2439600,345.380004882812,2020-01-16
349,349.950012207031,346.380004882812,349.739990234375,2536100,349.739990234375,2020-01-17
346.369995117188,352.369995117188,345.619995117188,350,2121200,350,2020-01-21
352.600006103516,354.279998779297,349.959991455078,350.059997558594,1600300,350.059997558594,2020-01-22
351.019989013672,352.160003662109,347.850006103516,351.760009765625,2084400,351.760009765625,2020-01-23
354.100006103516,355.690002441406,349.200012207031,351.369995117188,1640200,351.369995117188,2020-01-24
341.040008544922,349.899993896484,340.399993896484,346.899993896484,2652000,346.899993896484,2020-01-27
349,355.660003662109,347.119995117188,354.630004882812,2270800,354.630004882812,2020-01-28
356.700012207031,356.700012207031,351.359985351562,351.660003662109,1521300,351.660003662109,2020-01-29
349.690002441406,356.820007324219,349.690002441406,356.739990234375,1834900,356.739990234375,2020-01-30
355.839996337891,355.839996337891,348.299987792969,351.140014648438,3692900,351.140014648438,2020-01-31
353.410003662109,358.670013427734,352.290008544922,358,2693800,358,2020-02-03
363.429992675781,367.440002441406,360.450012207031,366.739990234375,3053000,366.739990234375,2020-02-04
373.989990234375,374.480010986328,362.309997558594,365.549987792969,2463400,365.549987792969,2020-02-05
366.160003662109,368.25,363.010009765625,367.459991455078,2224500,367.459991455078,2020-02-06
366,369.339996337891,364.380004882812,366.089996337891,2092700,366.089996337891,2020-02-07
365.440002441406,370.809997558594,365.220001220703,370,2426800,370,2020-02-10
373.029998779297,373.700012207031,367.25,369.279998779297,2004700,369.279998779297,2020-02-11
370.640014648438,374.429992675781,367.149993896484,374.290008544922,2355600,374.290008544922,2020-02-12
372.559997558594,377.709991455078,372.390014648438,374.839996337891,1917100,374.839996337891,2020-02-13
