"TIME.MI.Open","TIME.MI.High","TIME.MI.Low","TIME.MI.Close","TIME.MI.Volume","TIME.MI.Adjusted","Date"
4.65000009536743,4.65000009536743,4.07999992370605,4.30000019073486,225556,4.23132705688477,2021-07-28
4.5,4.58799982070923,4.21999979019165,4.32950019836426,150756,4.26035594940186,2021-07-29
4.34999990463257,4.6710000038147,4.19999980926514,4.30000019073486,143878,4.23132705688477,2021-07-30
4.21999979019165,4.22200012207031,4.09999990463257,4.09999990463257,37267,4.03452062606812,2021-08-02
4.17000007629395,4.17999982833862,4.01999998092651,4.06500005722046,18563,4.00007963180542,2021-08-03
4.05000019073486,4.09999990463257,4.01000022888184,4.08500003814697,28903,4.0197606086731,2021-08-04
4.03000020980835,4.14499998092651,4.03000020980835,4.09000015258789,6031,4.02468061447144,2021-08-05
4.15000009536743,4.15000009536743,4.01000022888184,4.11499977111816,5576,4.04928112030029,2021-08-06
4.11499977111816,4.15000009536743,4.09999990463257,4.15000009536743,11930,4.08372259140015,2021-08-09
4.05499982833862,4.09999990463257,4.03999996185303,4.09999990463257,23475,4.03452062606812,2021-08-10
4.03999996185303,4.03999996185303,3.97499990463257,4.03000020980835,27291,3.9656388759613,2021-08-11
3.97499990463257,4.08500003814697,3.97499990463257,4,36752,3.93611788749695,2021-08-12
4.07499980926514,4.07499980926514,3.96000003814697,4.02500009536743,16995,3.96071863174438,2021-08-13
3.95499992370605,4.03000020980835,3.90499997138977,4.03000020980835,5227,3.9656388759613,2021-08-16
4,4.05999994277954,4,4.03999996185303,10960,3.97547912597656,2021-08-17
4.03999996185303,4.09999990463257,4.01999998092651,4.01999998092651,9060,3.95579838752747,2021-08-18
4.01999998092651,4.01999998092651,3.90499997138977,4,10499,3.93611788749695,2021-08-19
4.00500011444092,4.04500007629395,4.00500011444092,4.04500007629395,400,3.98039937019348,2021-08-20
4,4.1399998664856,3.95000004768372,4.1399998664856,24151,4.07388210296631,2021-08-23
4.14499998092651,4.14499998092651,4,4.05999994277954,10905,3.99515962600708,2021-08-24
4.06500005722046,4.13000011444092,4.02500009536743,4.13000011444092,3153,4.06404161453247,2021-08-25
4.125,4.53499984741211,4.00500011444092,4.15000009536743,158729,4.08372259140015,2021-08-26
4.21000003814697,4.59999990463257,4.21000003814697,4.42000007629395,136757,4.34941053390503,2021-08-27
4.44999980926514,4.55000019073486,4.20499992370605,4.36999988555908,78574,4.300208568573,2021-08-30
4.40000009536743,4.40000009536743,4.30000019073486,4.30999994277954,18323,4.24116706848145,2021-08-31
4.3899998664856,4.5,4.30000019073486,4.42999982833862,52448,4.35925054550171,2021-09-01
4.51999998092651,4.51999998092651,4.40999984741211,4.44000005722046,12733,4.36909103393555,2021-09-02
4.48999977111816,4.53000020980835,4.28000020980835,4.33500003814697,17094,4.2657675743103,2021-09-03
4.33500003814697,4.57999992370605,4.33500003814697,4.40500020980835,41081,4.33465003967285,2021-09-06
4.40500020980835,4.51000022888184,4.40500020980835,4.4850001335144,11183,4.41337251663208,2021-09-07
4.5,4.5,4.31500005722046,4.34000015258789,36406,4.2706880569458,2021-09-08
4.39499998092651,4.40000009536743,4.3600001335144,4.40000009536743,5929,4.32972955703735,2021-09-09
4.32000017166138,4.38000011444092,4.30999994277954,4.30999994277954,1991,4.24116706848145,2021-09-10
4.40000009536743,4.46999979019165,4.40000009536743,4.40999984741211,13963,4.33957004547119,2021-09-13
4.46999979019165,4.46999979019165,4.46999979019165,4.46999979019165,1000,4.39861154556274,2021-09-14
4.48000001907349,4.48000001907349,4.44000005722046,4.44000005722046,330,4.36909103393555,2021-09-15
4.40000009536743,4.40000009536743,4.34000015258789,4.34000015258789,375,4.2706880569458,2021-09-16
4.34000015258789,4.34000015258789,4.30999994277954,4.30999994277954,3009,4.24116706848145,2021-09-17
4.3899998664856,4.3899998664856,4.13000011444092,4.28999996185303,16329,4.22148656845093,2021-09-20
4.38000011444092,4.48999977111816,4.25,4.25,27172,4.18212509155273,2021-09-21
4.36999988555908,4.46999979019165,4.21999979019165,4.30000019073486,19565,4.23132705688477,2021-09-22
4.30000019073486,4.30000019073486,4.23000001907349,4.23999977111816,16746,4.1722846031189,2021-09-23
4.30000019073486,4.44999980926514,4.30000019073486,4.42999982833862,38045,4.35925054550171,2021-09-24
4.46999979019165,4.65000009536743,4.46999979019165,4.65000009536743,40496,4.57573699951172,2021-09-27
4.67000007629395,4.73999977111816,4.59000015258789,4.67000007629395,14665,4.59541749954224,2021-09-28
4.69000005722046,4.84999990463257,4.44000005722046,4.53000020980835,25645,4.45765352249146,2021-09-29
4.48999977111816,4.78999996185303,4.46999979019165,4.55999994277954,11930,4.48717451095581,2021-09-30
4.53000020980835,4.6399998664856,4.36999988555908,4.5,2831,4.4281325340271,2021-10-01
4.6100001335144,4.6100001335144,4.21999979019165,4.36999988555908,28775,4.300208568573,2021-10-04
4.36999988555908,4.51000022888184,4.17999982833862,4.32000017166138,20216,4.25100755691528,2021-10-05
4.25,4.32000017166138,4.21999979019165,4.32000017166138,5336,4.25100755691528,2021-10-06
4.32000017166138,4.3899998664856,4.25,4.32000017166138,6810,4.25100755691528,2021-10-07
4.30000019073486,4.3899998664856,4.21999979019165,4.32000017166138,4884,4.25100755691528,2021-10-08
4.23999977111816,4.42999982833862,4.19999980926514,4.26999998092651,7164,4.20180559158325,2021-10-11
4.25,4.32999992370605,4.25,4.30000019073486,4001,4.23132705688477,2021-10-12
4.30000019073486,4.30000019073486,4.21999979019165,4.21999979019165,5700,4.15260410308838,2021-10-13
4.21000003814697,4.28999996185303,4.17999982833862,4.19999980926514,11000,4.13292360305786,2021-10-14
4.17999982833862,4.23000001907349,4.17999982833862,4.19000005722046,10808,4.12308359146118,2021-10-15
4.21999979019165,4.25,4.15000009536743,4.15000009536743,13148,4.08372259140015,2021-10-18
4.17000007629395,4.21000003814697,4.15000009536743,4.15999984741211,10661,4.09356260299683,2021-10-19
4.30000019073486,4.30000019073486,4.15000009536743,4.15999984741211,27081,4.09356260299683,2021-10-20
4.25,4.25,4.15000009536743,4.25,4625,4.18212509155273,2021-10-21
4.32000017166138,4.32000017166138,4.19999980926514,4.23999977111816,2555,4.1722846031189,2021-10-22
4.3600001335144,4.48000001907349,4.26000022888184,4.28000020980835,7737,4.21164655685425,2021-10-25
4.30999994277954,4.51999998092651,4.1399998664856,4.26000022888184,26622,4.19196557998657,2021-10-26
4.19999980926514,4.3600001335144,4.19999980926514,4.26000022888184,7567,4.19196557998657,2021-10-27
4.23999977111816,4.25,4.15000009536743,4.23999977111816,159304,4.1722846031189,2021-10-28
4.19999980926514,4.19999980926514,4.07999992370605,4.17000007629395,7100,4.10340309143066,2021-10-29
4.17000007629395,4.23999977111816,4.09000015258789,4.23999977111816,3101,4.1722846031189,2021-11-01
4.13000011444092,4.17999982833862,4.07999992370605,4.1399998664856,13222,4.07388210296631,2021-11-02
4.07999992370605,4.15999984741211,4.07000017166138,4.1399998664856,5010,4.07388210296631,2021-11-03
4.19999980926514,4.19999980926514,4.05000019073486,4.05999994277954,19403,3.99515962600708,2021-11-04
4.07999992370605,4.09999990463257,4.03000020980835,4.03000020980835,34361,3.9656388759613,2021-11-05
4.05999994277954,4.21000003814697,4.01999998092651,4.15000009536743,11844,4.08372259140015,2021-11-08
4.23999977111816,4.23999977111816,4.03999996185303,4.07000017166138,5338,4.00500011444092,2021-11-09
4.07000017166138,4.19000005722046,4.03999996185303,4.09000015258789,15370,4.02468061447144,2021-11-10
4.09999990463257,4.1100001335144,4.01999998092651,4.1100001335144,5495,4.04436111450195,2021-11-11
4.09999990463257,4.09999990463257,4,4,32257,3.93611788749695,2021-11-12
4.05000019073486,4.44000005722046,4.05000019073486,4.28000020980835,95426,4.21164655685425,2021-11-15
4.28000020980835,4.34999990463257,4.26000022888184,4.32999992370605,3810,4.26084756851196,2021-11-16
4.32999992370605,4.32999992370605,4.09999990463257,4.11999988555908,7944,4.05420112609863,2021-11-17
4.19999980926514,4.23000001907349,4.1399998664856,4.15000009536743,3611,4.08372259140015,2021-11-18
4.28000020980835,4.28000020980835,4.15999984741211,4.15999984741211,6540,4.09356260299683,2021-11-19
4.19000005722046,4.25,4.11999988555908,4.1399998664856,6563,4.07388210296631,2021-11-22
4.13000011444092,4.19000005722046,4.13000011444092,4.19000005722046,840,4.12308359146118,2021-11-23
4.25,4.42000007629395,4.17999982833862,4.23999977111816,9344,4.1722846031189,2021-11-24
4.32999992370605,4.42999982833862,4.09000015258789,4.23999977111816,19464,4.1722846031189,2021-11-25
4.09000015258789,4.19999980926514,4.05000019073486,4.11999988555908,9703,4.05420112609863,2021-11-26
4.23999977111816,4.30000019073486,4.15000009536743,4.15000009536743,14162,4.08372259140015,2021-11-29
4.15000009536743,4.19999980926514,4.07999992370605,4.19999980926514,3230,4.13292360305786,2021-11-30
4.23999977111816,4.25,4.23000001907349,4.23999977111816,102100,4.1722846031189,2021-12-01
4.13000011444092,4.23999977111816,4.09999990463257,4.23999977111816,900,4.1722846031189,2021-12-02
4.11999988555908,4.25,4.11999988555908,4.25,620,4.18212509155273,2021-12-03
4.1100001335144,4.17999982833862,4.09999990463257,4.17999982833862,2232,4.11324310302734,2021-12-06
4.13000011444092,4.13000011444092,4.13000011444092,4.13000011444092,913,4.06404161453247,2021-12-07
4.15000009536743,4.15000009536743,4.15000009536743,4.15000009536743,220,4.08372259140015,2021-12-08
4.15000009536743,4.15000009536743,4.1100001335144,4.1100001335144,3200,4.04436111450195,2021-12-09
4.09999990463257,4.15000009536743,4.09999990463257,4.15000009536743,3369,4.08372259140015,2021-12-10
4.11999988555908,4.11999988555908,4.11999988555908,4.11999988555908,100,4.05420112609863,2021-12-13
4.11999988555908,4.11999988555908,4.11999988555908,4.11999988555908,7196,4.05420112609863,2021-12-14
4.07999992370605,4.07999992370605,4.05000019073486,4.07999992370605,500,4.0148401260376,2021-12-15
4.05000019073486,4.07999992370605,4.03000020980835,4.03000020980835,1276,3.9656388759613,2021-12-16
3.98000001907349,4.17000007629395,3.98000001907349,4,7696,3.93611788749695,2021-12-17
4.01000022888184,4.1100001335144,4.01000022888184,4.1100001335144,3054,4.04436111450195,2021-12-20
4.09000015258789,4.09999990463257,3.95000004768372,4,8900,3.93611788749695,2021-12-21
3.99000000953674,4.13000011444092,3.99000000953674,4,3500,3.93611788749695,2021-12-22
4.07000017166138,4.07000017166138,3.98000001907349,4,13200,3.93611788749695,2021-12-23
4.07999992370605,4.15999984741211,4.01000022888184,4.01999998092651,17053,3.95579838752747,2021-12-27
4.01999998092651,4.07000017166138,3.98000001907349,4.07000017166138,12550,4.00500011444092,2021-12-28
4,4.09999990463257,3.95000004768372,4.09999990463257,14631,4.03452062606812,2021-12-29
4.03000020980835,4.09999990463257,4.01000022888184,4.09999990463257,8860,4.03452062606812,2021-12-30
4.03000020980835,4.07000017166138,3.98000001907349,3.98000001907349,21830,3.91643738746643,2022-01-03
3.98000001907349,4.09000015258789,3.96000003814697,4.09000015258789,22150,4.02468061447144,2022-01-04
4.05000019073486,4.09999990463257,4.01999998092651,4.05999994277954,5310,3.99515962600708,2022-01-05
4,4.09999990463257,4,4.01999998092651,1388,3.95579838752747,2022-01-06
4,4.1100001335144,4,4.09000015258789,4850,4.02468061447144,2022-01-07
4.03000020980835,4.09000015258789,3.9300000667572,3.9300000667572,18013,3.86723589897156,2022-01-10
3.9300000667572,4.07999992370605,3.91000008583069,4,17260,3.93611788749695,2022-01-11
4,4.19999980926514,4,4.05999994277954,22050,3.99515962600708,2022-01-12
4.09999990463257,4.1100001335144,4.09999990463257,4.09999990463257,15409,4.03452062606812,2022-01-13
4.09999990463257,4.30000019073486,4.09999990463257,4.17000007629395,18700,4.10340309143066,2022-01-14
4.26000022888184,4.28000020980835,4.19999980926514,4.28000020980835,9010,4.21164655685425,2022-01-17
4.30000019073486,4.30000019073486,4.11999988555908,4.19999980926514,64830,4.13292360305786,2022-01-18
4.19000005722046,4.19999980926514,4.17999982833862,4.17999982833862,7814,4.11324310302734,2022-01-19
4.19999980926514,4.21999979019165,4.11999988555908,4.21999979019165,7016,4.15260410308838,2022-01-20
4.1399998664856,4.30000019073486,4.1399998664856,4.28999996185303,18251,4.22148656845093,2022-01-21
4.19999980926514,4.23999977111816,4.09000015258789,4.23999977111816,36450,4.1722846031189,2022-01-24
4.19999980926514,4.25,4.15999984741211,4.25,45050,4.18212509155273,2022-01-25
4.28999996185303,4.28999996185303,4.17999982833862,4.28000020980835,11400,4.21164655685425,2022-01-26
4.19999980926514,4.25,4.19999980926514,4.23999977111816,1500,4.1722846031189,2022-01-27
4.19999980926514,4.3600001335144,4.17999982833862,4.3600001335144,6300,4.29036855697632,2022-01-28
4.26999998092651,4.30000019073486,4.23000001907349,4.26999998092651,8719,4.20180559158325,2022-01-31
4.21999979019165,4.32000017166138,4.21999979019165,4.32000017166138,12824,4.25100755691528,2022-02-01
