"MONC.MI.Open","MONC.MI.High","MONC.MI.Low","MONC.MI.Close","MONC.MI.Volume","MONC.MI.Adjusted","Date"
40.2700004577637,40.6399993896484,40.0999984741211,40.5900001525879,472094,37.4389991760254,2020-01-02
40.4300003051758,40.5200004577637,40.0900001525879,40.0900001525879,616330,36.9778137207031,2020-01-03
40.189998626709,40.5200004577637,39.439998626709,40.0699996948242,918334,36.9593658447266,2020-01-06
39.9900016784668,40.5999984741211,39.7599983215332,40.2700004577637,732903,37.1438369750977,2020-01-07
39.9099998474121,41.1599998474121,39.75,41.1599998474121,1151739,37.9647483825684,2020-01-08
41.2999992370605,41.3800010681152,40.9099998474121,41.1399993896484,948024,37.9463005065918,2020-01-09
41.1599998474121,41.2200012207031,40.7099990844727,40.7099990844727,616889,37.5496826171875,2020-01-10
40.9199981689453,41.0499992370605,40.5400009155273,40.7999992370605,593054,37.6326904296875,2020-01-13
40.9900016784668,41.5999984741211,40.3199996948242,41.5900001525879,840732,38.3613662719727,2020-01-14
41.75,43.1500015258789,41.7099990844727,42.7200012207031,1447893,39.4036445617676,2020-01-15
42.7700004577637,42.8600006103516,41.8400001525879,42.6800003051758,911034,39.3667526245117,2020-01-16
42.9099998474121,43,42.5499992370605,42.7000007629395,904274,39.3852005004883,2020-01-17
42.8400001525879,42.8699989318848,41.2400016784668,41.3499984741211,998529,38.1399993896484,2020-01-20
40.5299987792969,40.8400001525879,40.1500015258789,40.4300003051758,1517804,37.2914161682129,2020-01-21
40.5,41.5800018310547,40.2099990844727,41.4900016784668,1079239,38.2691307067871,2020-01-22
41.2000007629395,41.2000007629395,40.3199996948242,40.3400001525879,1076358,37.2084083557129,2020-01-23
40.4700012207031,41.0999984741211,40.439998626709,40.5499992370605,790008,37.4021034240723,2020-01-24
39.8600006103516,39.9000015258789,38.5499992370605,38.8600006103516,2285540,35.8432960510254,2020-01-27
38.9199981689453,40.0699996948242,38.6300010681152,40.0699996948242,1420294,36.9593658447266,2020-01-28
40,40.9000015258789,39.75,40.3699989318848,943157,37.2360763549805,2020-01-29
39.4900016784668,40.2900009155273,39.3300018310547,39.560001373291,1121921,36.488956451416,2020-01-30
39.8600006103516,40.0299987792969,38.8400001525879,39,1455263,35.9724273681641,2020-01-31
39,39.6800003051758,38.9500007629395,39.4300003051758,917482,36.3690452575684,2020-02-03
39.5999984741211,40.3899993896484,39.4599990844727,39.9599990844727,929629,36.8579025268555,2020-02-04
39.7200012207031,41.1399993896484,39.6100006103516,40.4099998474121,1074543,37.2729682922363,2020-02-05
40.5,40.8699989318848,39.5099983215332,39.5900001525879,1270598,36.5166244506836,2020-02-06
39.5,39.7400016784668,38.3899993896484,38.7099990844727,1594270,35.7049369812012,2020-02-07
38.9700012207031,39.7700004577637,38.6199989318848,39.7299995422363,1401681,36.6457595825195,2020-02-10
38,39.0499992370605,37.5,38.6500015258789,3964575,35.649600982666,2020-02-11
38.5099983215332,39.3499984741211,38.3400001525879,39.310001373291,1912884,36.2583618164062,2020-02-12
38.9700012207031,39.1800003051758,38.2599983215332,38.6500015258789,1452267,35.649600982666,2020-02-13
38.7900009155273,38.7900009155273,38,38.0999984741211,988718,35.1422920227051,2020-02-14
38.2599983215332,38.75,37.9300003051758,38.2599983215332,854544,35.2898712158203,2020-02-17
37.9000015258789,38.1399993896484,37.4300003051758,37.6399993896484,1048207,34.7180099487305,2020-02-18
37.6399993896484,39.2299995422363,37.6100006103516,39.0400009155273,1650260,36.0093231201172,2020-02-19
39.2799987792969,39.5800018310547,38.25,38.25,1244274,35.2806549072266,2020-02-20
38.0900001525879,38.1599998474121,37.060001373291,37.1500015258789,1277454,34.2660446166992,2020-02-21
35,35.3499984741211,34.1300010681152,35.1599998474121,2416909,32.4305267333984,2020-02-24
35.5,35.75,34.7000007629395,35.1300010681152,2116137,32.4028587341309,2020-02-25
34.5299987792969,36.0400009155273,34.1300010681152,35.7000007629395,2050741,32.9286079406738,2020-02-26
36.0900001525879,36.7000007629395,34.810001373291,35.2599983215332,1857517,32.5227661132812,2020-02-27
34.0299987792969,35.3300018310547,34.0099983215332,35.2200012207031,2535243,32.4858741760254,2020-02-28
36.1800003051758,36.2400016784668,33.9300003051758,34.4300003051758,1881974,31.7572002410889,2020-03-02
