"MCD.Open","MCD.High","MCD.Low","MCD.Close","MCD.Volume","MCD.Adjusted","Date"
198,200.800003051758,197.809997558594,200.789993286133,3554200,175.813461303711,2020-01-02
199.389999389648,200.550003051758,198.850006103516,200.080001831055,2767600,175.191879272461,2020-01-03
199.600006103516,202.770004272461,199.350006103516,202.330001831055,4660400,177.161956787109,2020-01-06
201.869995117188,202.679992675781,200.509994506836,202.630004882812,4047400,177.424652099609,2020-01-07
202.619995117188,206.690002441406,202.199996948242,205.910003662109,5284200,180.296615600586,2020-01-08
206.860000610352,209.369995117188,206.100006103516,208.350006103516,5971600,182.433120727539,2020-01-09
208.440002441406,208.949996948242,207.270004272461,207.270004272461,2336400,181.487411499023,2020-01-10
207.380004882812,207.779998779297,205.759994506836,206.509994506836,2784200,180.821960449219,2020-01-13
205.460006713867,207.649993896484,205.460006713867,207.320007324219,2622700,181.531234741211,2020-01-14
207.320007324219,210.350006103516,207.320007324219,209.770004272461,3369400,183.676467895508,2020-01-15
210.110000610352,211.110000610352,209.220001220703,210.850006103516,2726700,184.622100830078,2020-01-16
211.419998168945,212.770004272461,211.350006103516,211.979995727539,3540400,185.611526489258,2020-01-17
211.369995117188,212.259994506836,210.220001220703,211.160003662109,4100500,184.893569946289,2020-01-21
213.160003662109,213.660003662109,211.410003662109,211.440002441406,2757400,185.138748168945,2020-01-22
210.539993286133,213.5,208.619995117188,213.419998168945,3378200,186.872406005859,2020-01-23
214.179992675781,214.179992675781,210.899993896484,211.240005493164,3106300,184.963638305664,2020-01-24
207.839996337891,210.610000610352,207.300003051758,209.339996337891,3389300,183.29997253418,2020-01-27
209.889999389648,212.210006713867,209.860000610352,210.389999389648,3855200,184.219360351562,2020-01-28
211.690002441406,216.419998168945,210.800003051758,214.440002441406,5734800,187.765594482422,2020-01-29
214,216.740005493164,212.830001831055,216.179992675781,3560700,189.289108276367,2020-01-30
215.520004272461,217.100006103516,213.139999389648,213.970001220703,3920800,187.354034423828,2020-01-31
214.990005493164,216.880004882812,214.229995727539,215.179992675781,3539200,188.413543701172,2020-02-03
216.110000610352,216.690002441406,214.25,214.619995117188,3367900,187.923156738281,2020-02-04
215.639999389648,215.779998779297,213.009994506836,214.369995117188,2911400,187.704299926758,2020-02-05
214.720001220703,214.820007324219,212.639999389648,212.869995117188,2903300,186.390853881836,2020-02-06
212.559997558594,212.839996337891,211.089996337891,211.610000610352,2421600,185.287612915039,2020-02-07
211.339996337891,213.279998779297,211.25,213.210006713867,2318800,186.688552856445,2020-02-10
214,215.860000610352,213.649993896484,215.729995727539,2694500,188.895080566406,2020-02-11
216,217.470001220703,215.110000610352,217.460006713867,2844900,190.409881591797,2020-02-12
216.710006713867,218.389999389648,216.190002441406,217.419998168945,2853400,190.374862670898,2020-02-13
217.5,217.839996337891,216.380004882812,217.089996337891,1720400,190.085906982422,2020-02-14
215.919998168945,217.039993286133,215.669998168945,216.149993896484,2712600,189.26286315918,2020-02-18
216.809997558594,216.919998168945,215.610000610352,215.630004882812,2229500,188.807556152344,2020-02-19
216.149993896484,216.649993896484,212.779998779297,215.080001831055,2869400,188.325942993164,2020-02-20
215.240005493164,216.369995117188,214.300003051758,215.869995117188,2791200,189.017684936523,2020-02-21
210.580001831055,215.179992675781,210.110000610352,213.520004272461,4218800,186.960021972656,2020-02-24
214.580001831055,216.830001831055,211.149993896484,212.100006103516,5053700,185.716613769531,2020-02-25
212.889999389648,214.559997558594,209.75,210.100006103516,4190800,183.965423583984,2020-02-26
207.699996948242,210,200.929992675781,201,6406200,175.997375488281,2020-02-27
196,198.440002441406,188.809997558594,194.169998168945,11324000,171.080917358398,2020-02-28
193.809997558594,202.550003051758,193.179992675781,202.550003051758,6154200,178.464416503906,2020-03-02
202,205.669998168945,197.160003662109,199.509994506836,5115200,175.785888671875,2020-03-03
201.929992675781,207.160003662109,200.899993896484,207.020004272461,4260400,182.402893066406,2020-03-04
202.639999389648,203.910003662109,196.330001831055,198.320007324219,4107200,174.737442016602,2020-03-05
192.899993896484,199.580001831055,191.210006713867,198.860000610352,6360100,175.213226318359,2020-03-06
187.669998168945,194.470001220703,184.100006103516,186.860000610352,7788500,164.640121459961,2020-03-09
190.949996948242,200,187.889999389648,199.860000610352,5835200,176.094284057617,2020-03-10
192.940002441406,195.740005493164,185.830001831055,188.25,5625100,165.864883422852,2020-03-11
174.779998779297,179.839996337891,169.380004882812,170.130004882812,9079300,149.899551391602,2020-03-12
178.259994506836,179.470001220703,168.199996948242,177.130004882812,8042600,156.067169189453,2020-03-13
157.100006103516,161.919998168945,147.630004882812,149.009994506836,9341300,131.290954589844,2020-03-16
148.020004272461,149.479995727539,135,147.619995117188,13708200,130.06623840332,2020-03-17
137.5,141.710006713867,124.230003356934,137.300003051758,12627600,120.973403930664,2020-03-18
135.199996948242,154.839996337891,128.210006713867,149.5,12773400,131.722702026367,2020-03-19
153.589996337891,161.539993286133,147.770004272461,148.490005493164,1.2e+07,130.832824707031,2020-03-20
142.949996948242,153.210006713867,136.5,137.100006103516,10660400,120.797203063965,2020-03-23
149,162.979995727539,146.100006103516,161.949996948242,11678400,142.692245483398,2020-03-24
165,171.360000610352,159.220001220703,162.979995727539,9708700,143.599731445312,2020-03-25
163.990005493164,170.929992675781,161,167.350006103516,8259900,147.450134277344,2020-03-26
162.779998779297,169.740005493164,159.220001220703,164.009994506836,6441400,144.507263183594,2020-03-27
164.919998168945,170.309997558594,163.570007324219,168.130004882812,5621700,148.13737487793,2020-03-30
166.839996337891,169.509994506836,165,165.350006103516,4519900,145.687911987305,2020-03-31
160.220001220703,161.440002441406,156.350006103516,158.169998168945,4668900,139.361694335938,2020-04-01
155,161.949996948242,155,161.5,4803200,142.29573059082,2020-04-02
160.309997558594,162.229995727539,156.149993896484,160.330001831055,5050400,141.264877319336,2020-04-03
169.199996948242,177.869995117188,168.240005493164,177.039993286133,8330900,155.987869262695,2020-04-06
184.529998779297,185.190002441406,175.160003662109,175.589996337891,7848300,154.710250854492,2020-04-07
175.009994506836,179.419998168945,174.100006103516,177.490005493164,5665700,156.384368896484,2020-04-08
180.729995727539,185.460006713867,179.619995117188,183.699996948242,4901300,161.855895996094,2020-04-09
182.679992675781,182.850006103516,176.910003662109,180.119995117188,3182500,158.701599121094,2020-04-13
183.75,184.490005493164,181.839996337891,183.990005493164,3863800,162.111419677734,2020-04-14
178.740005493164,180.970001220703,177.270004272461,177.839996337891,4961500,156.692718505859,2020-04-15
177,179.910003662109,172.270004272461,179.5,7120800,158.155319213867,2020-04-16
182.320007324219,186.809997558594,180.229995727539,186.100006103516,6467600,163.97053527832,2020-04-17
184.449996948242,185.779998779297,181.550003051758,181.649993896484,3856500,160.049682617188,2020-04-20
177.369995117188,179.389999389648,176.100006103516,177.580001831055,4758300,156.463653564453,2020-04-21
180.75,187.729995727539,180.75,186.479995727539,4243600,164.305328369141,2020-04-22
186.160003662109,187.330001831055,181.320007324219,182.039993286133,5050100,160.393280029297,2020-04-23
183.259994506836,184.350006103516,180.860000610352,184.020004272461,3319600,162.137878417969,2020-04-24
185.149993896484,188.369995117188,184.770004272461,185.889999389648,4048200,163.785491943359,2020-04-27
190,190,185.570007324219,185.929992675781,3805000,163.820739746094,2020-04-28
188.529998779297,190.410003662109,186.880004882812,187.820007324219,3465200,165.486022949219,2020-04-29
182,188.309997558594,180.759994506836,187.559997558594,7127200,165.256927490234,2020-04-30
184,185.539993286133,182.149993896484,182.660003662109,3764800,160.93962097168,2020-05-01
181.309997558594,182.460006713867,178.869995117188,181.869995117188,4027100,160.243499755859,2020-05-04
183.529998779297,183.860000610352,179.110000610352,179.240005493164,3828400,157.926284790039,2020-05-05
180.600006103516,181.119995117188,176.860000610352,176.970001220703,3916900,155.926162719727,2020-05-06
179.5,181.559997558594,178.300003051758,181.119995117188,3039600,159.582672119141,2020-05-07
183.199996948242,183.429992675781,179.910003662109,181.229995727539,3411600,159.679626464844,2020-05-08
179.369995117188,182.880004882812,178.520004272461,180.880004882812,2631300,159.37126159668,2020-05-11
181.970001220703,182.589996337891,176.440002441406,176.539993286133,3610600,155.547317504883,2020-05-12
176.179992675781,176.570007324219,171.009994506836,172.820007324219,4729100,152.269683837891,2020-05-13
170.199996948242,175.660003662109,167.850006103516,175.410003662109,4868400,154.551712036133,2020-05-14
173.050003051758,174.710006713867,171.679992675781,173.809997558594,6879600,153.141967773438,2020-05-15
180.059997558594,181.149993896484,178.110000610352,179.830001831055,4653000,158.446075439453,2020-05-18
