"QQQ.Open","QQQ.High","QQQ.Low","QQQ.Close","QQQ.Volume","QQQ.Adjusted","Date"
214.399993896484,216.160003662109,213.979995727539,216.160003662109,30969400,208.848922729492,2020-01-02
213.300003051758,215.470001220703,213.279998779297,214.179992675781,27518900,206.935913085938,2020-01-03
212.5,215.589996337891,212.240005493164,215.559997558594,21655300,208.269271850586,2020-01-06
215.639999389648,216.139999389648,214.850006103516,215.529998779297,22139300,208.240264892578,2020-01-07
215.5,218.139999389648,215.160003662109,217.149993896484,26397300,209.805465698242,2020-01-08
218.940002441406,219.410003662109,217.710006713867,218.990005493164,23547000,211.583221435547,2020-01-09
219.850006103516,219.869995117188,218.039993286133,218.429992675781,21898500,211.042175292969,2020-01-10
219.330001831055,220.979995727539,218.979995727539,220.949996948242,22756900,213.476898193359,2020-01-13
220.839996337891,221.210006713867,219.740005493164,220.080001831055,24418100,212.636383056641,2020-01-14
220.199996948242,221.199996948242,219.449996948242,220.169998168945,25742100,212.723327636719,2020-01-15
221.270004272461,222.320007324219,220.800003051758,222.279998779297,18805000,214.761978149414,2020-01-16
223.279998779297,223.559997558594,222.119995117188,223.380004882812,24325200,215.824737548828,2020-01-17
222.759994506836,223.839996337891,222.660003662109,223.279998779297,21146300,215.728149414062,2020-01-21
224.410003662109,225.149993896484,223.589996337891,223.869995117188,20736400,216.29817199707,2020-01-22
223.740005493164,224.690002441406,222.699996948242,224.589996337891,26496100,216.993835449219,2020-01-23
225.639999389648,225.880004882812,221.669998168945,222.699996948242,37436500,215.167755126953,2020-01-24
217.669998168945,219.279998779297,217.179992675781,218.100006103516,42264400,210.723327636719,2020-01-27
219.639999389648,221.960006713867,219.059997558594,221.449996948242,26731900,213.960052490234,2020-01-28
222.679992675781,222.929992675781,220.830001831055,221.809997558594,28924500,214.307846069336,2020-01-29
220.380004882812,222.699996948242,219.690002441406,222.600006103516,39568100,215.071136474609,2020-01-30
223.529998779297,223.559997558594,218.289993286133,219.070007324219,52015800,211.660537719727,2020-01-31
220.139999389648,222.889999389648,219.990005493164,222.380004882812,25408600,214.858581542969,2020-02-03
225.419998168945,227.860000610352,224.649993896484,227.470001220703,30691200,219.776428222656,2020-02-04
230.210006713867,230.25,226.850006103516,228.220001220703,38534800,220.501052856445,2020-02-05
228.789993286133,230.25,227.979995727539,230.190002441406,22467100,222.404418945312,2020-02-06
229.160003662109,230.440002441406,228.539993286133,229.199996948242,25884900,221.447891235352,2020-02-07
228.440002441406,231.979995727539,228.380004882812,231.970001220703,21478900,224.124221801758,2020-02-10
233.25,234.020004272461,231.399993896484,232.009994506836,30198000,224.162872314453,2020-02-11
