"MELI.Open","MELI.High","MELI.Low","MELI.Close","MELI.Volume","MELI.Adjusted","Date"
600,618.059997558594,585.890014648438,614.510009765625,599800,614.510009765625,2020-03-06
547.359985351562,581.97998046875,537.989990234375,539.640014648438,1046300,539.640014648438,2020-03-09
566.349975585938,599.080017089844,546.030029296875,599.070007324219,808800,599.070007324219,2020-03-10
578.010009765625,583.440002441406,539.789978027344,550.719970703125,579800,550.719970703125,2020-03-11
496.220001220703,520,472.25,502,1437400,502,2020-03-12
534.429992675781,549.969970703125,493.799987792969,535.690002441406,1229400,535.690002441406,2020-03-13
455,507.160003662109,451,467.320007324219,906800,467.320007324219,2020-03-16
472.079986572266,500,425.649993896484,490.690002441406,1124600,490.690002441406,2020-03-17
455,498.100006103516,422.220001220703,452.170013427734,1072100,452.170013427734,2020-03-18
450,474.089996337891,436.230010986328,463.529998779297,673000,463.529998779297,2020-03-19
472.880004882812,525.530029296875,451.5,452.880004882812,822200,452.880004882812,2020-03-20
453.339996337891,486.079986572266,425.380004882812,457.649993896484,897700,457.649993896484,2020-03-23
490,505.220001220703,477.019989013672,490,839200,490,2020-03-24
497.429992675781,518.849975585938,480,482.649993896484,880000,482.649993896484,2020-03-25
489.350006103516,500.790008544922,467.149993896484,489.559997558594,1047700,489.559997558594,2020-03-26
479.410003662109,485.899993896484,455.410003662109,471.429992675781,578200,471.429992675781,2020-03-27
474.540008544922,489.339996337891,470.010009765625,473.290008544922,640000,473.290008544922,2020-03-30
475.859985351562,499.899993896484,473.5,488.579986572266,662000,488.579986572266,2020-03-31
466,468.989990234375,435.040008544922,447.339996337891,965500,447.339996337891,2020-04-01
445.470001220703,472.200012207031,443,462.869995117188,795000,462.869995117188,2020-04-02
452.720001220703,460.959991455078,443.010009765625,454.470001220703,868500,454.470001220703,2020-04-03
473.880004882812,509.25,470.089996337891,506.160003662109,688300,506.160003662109,2020-04-06
547.190002441406,554.929992675781,507.589996337891,525.669982910156,711400,525.669982910156,2020-04-07
536.25,548,527.080017089844,544,391200,544,2020-04-08
551.039978027344,557.849975585938,527.080017089844,533.280029296875,497000,533.280029296875,2020-04-09
528.02001953125,546.989990234375,517.010009765625,543,401100,543,2020-04-13
558.719970703125,577.239990234375,551.619995117188,562.02001953125,644500,562.02001953125,2020-04-14
551.869995117188,595.840026855469,540.900024414062,588.640014648438,667000,588.640014648438,2020-04-15
611.25,633.200012207031,590.010009765625,612.710021972656,932500,612.710021972656,2020-04-16
626.179992675781,628.130004882812,582.799987792969,597.5,558200,597.5,2020-04-17
593.719970703125,617.960021972656,591,601.640014648438,550600,601.640014648438,2020-04-20
595.719970703125,598.150024414062,562,573.380004882812,546700,573.380004882812,2020-04-21
586.989990234375,615,570.090026855469,601.049987792969,670000,601.049987792969,2020-04-22
609.010009765625,615,582.130004882812,586.710021972656,429300,586.710021972656,2020-04-23
590.260009765625,597.130004882812,553.609985351562,571.27001953125,728600,571.27001953125,2020-04-24
591.429992675781,593,575,589.469970703125,398800,589.469970703125,2020-04-27
592.02001953125,606.359985351562,589,598.539978027344,456600,598.539978027344,2020-04-28
605.010009765625,611.760009765625,591.039978027344,602.419982910156,497200,602.419982910156,2020-04-29
603.869995117188,606.690002441406,579.010009765625,583.510009765625,604100,583.510009765625,2020-04-30
571.400024414062,609.809997558594,570.010009765625,605.52001953125,699100,605.52001953125,2020-05-01
596.299987792969,610.400024414062,592.719970703125,607.400024414062,415700,607.400024414062,2020-05-04
618.849975585938,633.900024414062,610.830017089844,620.940002441406,861800,620.940002441406,2020-05-05
734,777.969970703125,729.090026855469,742.880004882812,2359100,742.880004882812,2020-05-06
750,772.719970703125,738.679992675781,772.02001953125,852800,772.02001953125,2020-05-07
773.590026855469,798.099975585938,761.409973144531,784.52001953125,629400,784.52001953125,2020-05-08
780,805.840026855469,776.590026855469,781.109985351562,501000,781.109985351562,2020-05-11
785.159973144531,794.429992675781,761.25,762.090026855469,512500,762.090026855469,2020-05-12
765.609985351562,777.97998046875,753.119995117188,768.539978027344,645800,768.539978027344,2020-05-13
760.030029296875,778.950012207031,746.010009765625,777.27001953125,487300,777.27001953125,2020-05-14
764.27001953125,783.739990234375,764.27001953125,775.049987792969,350500,775.049987792969,2020-05-15
792.530029296875,804.650024414062,786.030029296875,794.559997558594,426100,794.559997558594,2020-05-18
802.880004882812,827.330017089844,799.25,805.960021972656,672500,805.960021972656,2020-05-19
821.049987792969,842.700012207031,817.219970703125,828.309997558594,526700,828.309997558594,2020-05-20
825.609985351562,831.02001953125,802.059997558594,814.710021972656,482300,814.710021972656,2020-05-21
812.989990234375,843.380004882812,804.849975585938,841.309997558594,440500,841.309997558594,2020-05-22
859.140014648438,864.049987792969,828.320007324219,834.169982910156,546300,834.169982910156,2020-05-26
833.859985351562,836.289978027344,783.010009765625,820.830017089844,647700,820.830017089844,2020-05-27
817.109985351562,838.429992675781,811.210021972656,827.159973144531,360300,827.159973144531,2020-05-28
835,855,830.950012207031,851.669982910156,554900,851.669982910156,2020-05-29
852.669982910156,860.710021972656,842,844.080017089844,298900,844.080017089844,2020-06-01
844.5,867.22998046875,837.760009765625,859.77001953125,469000,859.77001953125,2020-06-02
865.460021972656,874,850.650024414062,853.52001953125,489400,853.52001953125,2020-06-03
849.049987792969,877.679992675781,838.090026855469,839.989990234375,452600,839.989990234375,2020-06-04
850,871,839.52001953125,866.929992675781,414000,866.929992675781,2020-06-05
866.940002441406,868.049987792969,840.429992675781,858.859985351562,571100,858.859985351562,2020-06-08
849.75,876.72998046875,848.690002441406,866.429992675781,388500,866.429992675781,2020-06-09
877,892.940002441406,863.02001953125,886.780029296875,448300,886.780029296875,2020-06-10
873.619995117188,889.869995117188,845.859985351562,855,485300,855,2020-06-11
874.429992675781,900.799987792969,869.22998046875,896.429992675781,761700,896.429992675781,2020-06-12
885.859985351562,940.380004882812,877.02001953125,924,647800,924,2020-06-15
958.02001953125,964.840026855469,923.25,950.260009765625,633300,950.260009765625,2020-06-16
960.309997558594,967.27001953125,928.659973144531,935.72998046875,491800,935.72998046875,2020-06-17
930,937.570007324219,922.090026855469,926.02001953125,439800,926.02001953125,2020-06-18
929.190002441406,961.989990234375,922.5,952.960021972656,507200,952.960021972656,2020-06-19
953.940002441406,989,953.010009765625,984.539978027344,502100,984.539978027344,2020-06-22
995.299987792969,998.109985351562,976.380004882812,977.489990234375,457000,977.489990234375,2020-06-23
978.340026855469,988.52001953125,942,953.77001953125,460300,953.77001953125,2020-06-24
950.349975585938,972.950012207031,944.349975585938,971.440002441406,333100,971.440002441406,2020-06-25
974.510009765625,985.030029296875,952.619995117188,973.169982910156,500800,973.169982910156,2020-06-26
970.299987792969,987,949.97998046875,980.830017089844,335500,980.830017089844,2020-06-29
982,989.989990234375,971.010009765625,985.77001953125,301000,985.77001953125,2020-06-30
985,993.049987792969,968.830017089844,977.140014648438,525600,977.140014648438,2020-07-01
991.909973144531,997.989990234375,982.599975585938,988.419982910156,316700,988.419982910156,2020-07-02
1001.92999267578,1035.57995605469,990,995.929992675781,626400,995.929992675781,2020-07-06
