"CHTR.Open","CHTR.High","CHTR.Low","CHTR.Close","CHTR.Volume","CHTR.Adjusted","Date"
528,538.02001953125,525.890014648438,532.450012207031,976600,532.450012207031,2020-06-16
535.369995117188,539.109985351562,532.820007324219,534.22998046875,953300,534.22998046875,2020-06-17
531.940002441406,538.969970703125,530.419982910156,535.109985351562,886100,535.109985351562,2020-06-18
540,540.900024414062,524.469970703125,536.669982910156,2643800,536.669982910156,2020-06-19
532.450012207031,534.010009765625,523.400024414062,527.669982910156,886700,527.669982910156,2020-06-22
532.059997558594,532.059997558594,516.099975585938,521.039978027344,1199400,521.039978027344,2020-06-23
512.119995117188,517.840026855469,505.570007324219,507.989990234375,1380500,507.989990234375,2020-06-24
507.459991455078,512.549987792969,500.160003662109,510.019989013672,792900,510.019989013672,2020-06-25
510.5,510.5,500.5,502.269989013672,1615500,502.269989013672,2020-06-26
509.730010986328,513.559997558594,499.510009765625,509.220001220703,1009900,509.220001220703,2020-06-29
509.630004882812,511.959991455078,498.079986572266,510.040008544922,1256400,510.040008544922,2020-06-30
510.040008544922,525.780029296875,505.450012207031,521.909973144531,1112600,521.909973144531,2020-07-01
522.099975585938,528.869995117188,517.02001953125,517.690002441406,785800,517.690002441406,2020-07-02
525.559997558594,527.169982910156,520.47998046875,526.289978027344,814900,526.289978027344,2020-07-06
522.739990234375,532.340026855469,521.97998046875,528.02001953125,852800,528.02001953125,2020-07-07
527.97998046875,530.169982910156,523,528.309997558594,773600,528.309997558594,2020-07-08
529.590026855469,532.25,520.669982910156,530.190002441406,792900,530.190002441406,2020-07-09
530.390014648438,540.440002441406,527.5,537.919982910156,789900,537.919982910156,2020-07-10
536.630004882812,544.450012207031,532.859985351562,533.780029296875,958400,533.780029296875,2020-07-13
530.429992675781,543.97998046875,525.869995117188,542.950012207031,706000,542.950012207031,2020-07-14
543.75,552.539978027344,542.530029296875,552.010009765625,936500,552.010009765625,2020-07-15
552.820007324219,558.099975585938,547.780029296875,558.030029296875,1061200,558.030029296875,2020-07-16
562.450012207031,569.869995117188,560.010009765625,564.659973144531,1420700,564.659973144531,2020-07-17
564.659973144531,571.599975585938,562.580017089844,565.510009765625,728000,565.510009765625,2020-07-20
567.960021972656,570.909973144531,563.400024414062,564.679992675781,719600,564.679992675781,2020-07-21
566.960021972656,568.200012207031,561.299987792969,565.119995117188,540400,565.119995117188,2020-07-22
567.369995117188,569.150024414062,556.190002441406,560.419982910156,540600,560.419982910156,2020-07-23
558.619995117188,562.969970703125,554.359985351562,561.719970703125,587700,561.719970703125,2020-07-24
562.539978027344,563.099975585938,555.27001953125,559.909973144531,733600,559.909973144531,2020-07-27
558.799987792969,566.460021972656,557.02001953125,561.409973144531,522600,561.409973144531,2020-07-28
564.210021972656,569.679992675781,560.599975585938,566.419982910156,644300,566.419982910156,2020-07-29
559.530029296875,568.510009765625,558.169982910156,563.440002441406,771500,563.440002441406,2020-07-30
594.309997558594,594.309997558594,554.260009765625,580,1637700,580,2020-07-31
585.010009765625,593.900024414062,581.140014648438,589.700012207031,1013500,589.700012207031,2020-08-03
580,601.760009765625,579,600.010009765625,952000,600.010009765625,2020-08-04
598.75,603.599975585938,597.22998046875,598.260009765625,682000,598.260009765625,2020-08-05
595.349975585938,604.119995117188,594.679992675781,602.140014648438,716100,602.140014648438,2020-08-06
603.390014648438,611.469970703125,598.25,601.869995117188,810900,601.869995117188,2020-08-07
598.650024414062,606,598.099975585938,602.340026855469,789500,602.340026855469,2020-08-10
604.419982910156,604.419982910156,588.969970703125,590.47998046875,862900,590.47998046875,2020-08-11
590.989990234375,607,590.989990234375,598.739990234375,1033900,598.739990234375,2020-08-12
595.460021972656,609.309997558594,595.460021972656,604.219970703125,854000,604.219970703125,2020-08-13
604.549987792969,610.950012207031,602.880004882812,604.989990234375,664700,604.989990234375,2020-08-14
608.849975585938,610.200012207031,601.099975585938,604.969970703125,650200,604.969970703125,2020-08-17
608.22998046875,612.929992675781,606.510009765625,610.690002441406,700300,610.690002441406,2020-08-18
612.460021972656,616.070007324219,607.799987792969,611.659973144531,961500,611.659973144531,2020-08-19
607.940002441406,614.369995117188,607.940002441406,612.539978027344,630500,612.539978027344,2020-08-20
610.97998046875,614.799987792969,606.609985351562,613.960021972656,677900,613.960021972656,2020-08-21
613.390014648438,618.030029296875,611.140014648438,612.530029296875,1087100,612.530029296875,2020-08-24
619.510009765625,620.190002441406,604.409973144531,609.75,1112000,609.75,2020-08-25
606.820007324219,618.489990234375,605.280029296875,614.559997558594,907200,614.559997558594,2020-08-26
619.049987792969,621.039978027344,612.590026855469,614.289978027344,881400,614.289978027344,2020-08-27
613.010009765625,616.570007324219,609.349975585938,615.640014648438,632500,615.640014648438,2020-08-28
614.840026855469,620.22998046875,613.630004882812,615.609985351562,811700,615.609985351562,2020-08-31
614.039978027344,620.200012207031,611,617.239990234375,874200,617.239990234375,2020-09-01
616.960021972656,626.619995117188,614.049987792969,622.450012207031,741600,622.450012207031,2020-09-02
624.039978027344,629.52001953125,603.030029296875,608.099975585938,1016200,608.099975585938,2020-09-03
610.059997558594,611.390014648438,592.090026855469,604.02001953125,1082000,604.02001953125,2020-09-04
595.72998046875,604.340026855469,591.599975585938,596.5,1209200,596.5,2020-09-08
598.640014648438,617.799987792969,598.400024414062,613.280029296875,905700,613.280029296875,2020-09-09
611.380004882812,622.22998046875,603.309997558594,604.059997558594,1061100,604.059997558594,2020-09-10
606.590026855469,608.570007324219,597.799987792969,601.52001953125,860500,601.52001953125,2020-09-11
608.030029296875,613.590026855469,603.669982910156,609.700012207031,755000,609.700012207031,2020-09-14
610.719970703125,627.429992675781,610.219970703125,622.549987792969,830400,622.549987792969,2020-09-15
626.75,635.859985351562,626.210021972656,630.070007324219,1179200,630.070007324219,2020-09-16
618.22998046875,624.169982910156,609.669982910156,620.309997558594,1341300,620.309997558594,2020-09-17
622.080017089844,628.299987792969,611.789978027344,625.25,1969000,625.25,2020-09-18
621.969970703125,625.919982910156,606.909973144531,614.340026855469,1314000,614.340026855469,2020-09-21
612.450012207031,634.340026855469,612.450012207031,633.049987792969,1216500,633.049987792969,2020-09-22
632.969970703125,633.989990234375,615.099975585938,616.349975585938,1017400,616.349975585938,2020-09-23
614.460021972656,621.280029296875,609.539978027344,611.450012207031,931400,611.450012207031,2020-09-24
609.890014648438,617.400024414062,606.109985351562,614.22998046875,1072800,614.22998046875,2020-09-25
625.159973144531,633.640014648438,619.640014648438,628.22998046875,1035200,628.22998046875,2020-09-28
626.849975585938,635.830017089844,625.02001953125,626.5,817400,626.5,2020-09-29
629.809997558594,632.059997558594,620.679992675781,624.340026855469,1148700,624.340026855469,2020-09-30
