"LLY.Open","LLY.High","LLY.Low","LLY.Close","LLY.Volume","LLY.Adjusted","Date"
131.770004272461,132.259994506836,130.729995727539,132.210006713867,2204200,123.178695678711,2020-01-02
130.300003051758,132.470001220703,130.229995727539,131.770004272461,1963500,122.768745422363,2020-01-03
131.419998168945,132.559997558594,130.940002441406,132.259994506836,2102900,123.225280761719,2020-01-06
131.699996948242,132.929992675781,131.699996948242,132.509994506836,2448300,123.458206176758,2020-01-07
132.460006713867,134.210006713867,132.009994506836,133.710006713867,5188600,124.57625579834,2020-01-08
134.550003051758,136.360000610352,134.009994506836,135.919998168945,4522800,126.635276794434,2020-01-09
135.779998779297,138.270004272461,135.529998779297,138,4177600,128.573181152344,2020-01-10
138.199996948242,139.990005493164,137.889999389648,138.940002441406,5117100,129.448974609375,2020-01-13
138.990005493164,140.899993896484,138.119995117188,140.649993896484,4685200,131.04216003418,2020-01-14
140.580001831055,141.690002441406,140.009994506836,141.110000610352,3676500,131.470748901367,2020-01-15
141.830001831055,141.970001220703,139.850006103516,141.429992675781,3794800,131.768905639648,2020-01-16
140.880004882812,141.740005493164,139.360000610352,139.580001831055,5393200,130.045272827148,2020-01-17
139.5,141.570007324219,138.429992675781,140.910003662109,4849500,131.284378051758,2020-01-21
141.25,142.25,140.690002441406,141.559997558594,2742100,131.889999389648,2020-01-22
141.25,141.740005493164,139.880004882812,141.210006713867,3138700,131.563888549805,2020-01-23
141.850006103516,141.990005493164,138.699996948242,139.070007324219,3183300,129.570098876953,2020-01-24
137.339996337891,139.100006103516,137.339996337891,138.309997558594,2826400,128.861968994141,2020-01-27
138.690002441406,139.880004882812,138.229995727539,139.259994506836,2649100,129.747131347656,2020-01-28
139.509994506836,141.139999389648,138.970001220703,139.919998168945,2815500,130.362045288086,2020-01-29
138.179992675781,143.720001220703,138.100006103516,142.669998168945,5243400,132.924194335938,2020-01-30
142.850006103516,142.850006103516,139.470001220703,139.639999389648,3913500,130.101150512695,2020-01-31
140.529998779297,141.570007324219,139.679992675781,141,5137800,131.368255615234,2020-02-03
142.300003051758,144.070007324219,141.779998779297,143.440002441406,3177500,133.6416015625,2020-02-04
144.779998779297,147.360000610352,144.529998779297,147.350006103516,4060900,137.284469604492,2020-02-05
147.740005493164,147.869995117188,146.809997558594,147.300003051758,3285000,137.237884521484,2020-02-06
147.220001220703,147.220001220703,145.380004882812,146.410003662109,2670400,136.408676147461,2020-02-07
141.5,145.550003051758,141.119995117188,145.509994506836,4892100,135.570159912109,2020-02-10
145.729995727539,145.860000610352,143.179992675781,144.25,2976400,134.396240234375,2020-02-11
144.669998168945,144.899993896484,143.490005493164,143.509994506836,3953200,133.706787109375,2020-02-12
142.860000610352,143.740005493164,141.789993286133,141.800003051758,3455500,132.798400878906,2020-02-13
142.25,142.320007324219,140.570007324219,141.119995117188,2273700,132.161544799805,2020-02-14
141.020004272461,141.960006713867,140.529998779297,141.009994506836,2858200,132.058486938477,2020-02-18
141.619995117188,141.839996337891,140.360000610352,140.830001831055,3082800,131.889953613281,2020-02-19
141.630004882812,142.809997558594,141.199996948242,142,3417000,132.985702514648,2020-02-20
141.339996337891,142.649993896484,140.330001831055,142.039993286133,2900900,133.02311706543,2020-02-21
139.279998779297,141.589996337891,137.869995117188,138.149993896484,4727400,129.380081176758,2020-02-24
138.940002441406,139.229995727539,134.619995117188,135.410003662109,3401600,126.814025878906,2020-02-25
136.029998779297,137.020004272461,133.309997558594,133.529998779297,4659000,125.053352355957,2020-02-26
133.330001831055,134.669998168945,129.050003051758,129.190002441406,4292800,120.988876342773,2020-02-27
126.379997253418,126.800003051758,121.51000213623,126.129997253418,7898300,118.123123168945,2020-02-28
127.73999786377,133,126.209999084473,132.839996337891,7355700,124.407173156738,2020-03-02
133.279998779297,135.649993896484,128.690002441406,130.309997558594,6936600,122.037780761719,2020-03-03
133.029998779297,140.860000610352,133,140.380004882812,5301900,131.468505859375,2020-03-04
138.380004882812,141.910003662109,137.529998779297,140.149993896484,6882100,131.253128051758,2020-03-05
136.119995117188,142.360000610352,135.550003051758,141.460006713867,8010700,132.479949951172,2020-03-06
134.020004272461,140.929992675781,133.309997558594,135.720001220703,5351300,127.104316711426,2020-03-09
139.229995727539,141.929992675781,134.720001220703,141.190002441406,5961200,132.227096557617,2020-03-10
139.460006713867,141.839996337891,137.389999389648,140.020004272461,7211800,131.131393432617,2020-03-11
130.789993286133,136.5,125.930000305176,126.019996643066,7836300,118.020088195801,2020-03-12
132.949996948242,139.369995117188,128.509994506836,139.369995117188,6841700,130.52262878418,2020-03-13
131,138.679992675781,128.25,129.380004882812,6619700,121.16682434082,2020-03-16
133.210006713867,143.589996337891,131.100006103516,143.199996948242,8909200,134.109497070312,2020-03-17
136.339996337891,144,134.080001831055,143.089996337891,6734600,134.006500244141,2020-03-18
142.490005493164,142.979995727539,131.119995117188,133.089996337891,6554800,124.641304016113,2020-03-19
132.160003662109,132.25,120.230003356934,122.400001525879,9113500,114.629905700684,2020-03-20
120.949996948242,126.879997253418,117.059997558594,119.050003051758,7299300,111.492561340332,2020-03-23
123.23999786377,124.599998474121,117.410003662109,122.889999389648,6827300,115.088806152344,2020-03-24
120.120002746582,126.139999389648,119.209999084473,121.940002441406,6472100,114.199096679688,2020-03-25
123.290000915527,135.740005493164,121.940002441406,134.350006103516,6723600,125.821319580078,2020-03-26
130.649993896484,137.610000610352,130.199996948242,134.110000610352,4717400,125.596557617188,2020-03-27
133.869995117188,141.770004272461,133.509994506836,138.440002441406,5057400,129.651702880859,2020-03-30
136.960006713867,142.020004272461,134.520004272461,138.720001220703,7560100,129.913879394531,2020-03-31
134,137.190002441406,132.979995727539,136.419998168945,3297900,127.759902954102,2020-04-01
135.350006103516,142.800003051758,133.029998779297,142.179992675781,4725000,133.154251098633,2020-04-02
140.919998168945,144.600006103516,138.460006713867,139.660003662109,4013200,130.794219970703,2020-04-03
142.270004272461,143.5,140.300003051758,141.610000610352,4159900,132.62043762207,2020-04-06
143.130004882812,144.800003051758,140.050003051758,141.880004882812,3900600,132.873306274414,2020-04-07
142.050003051758,147.25,140.5,146.220001220703,4006600,136.937774658203,2020-04-08
144.509994506836,146.399993896484,143.550003051758,145.729995727539,4415300,136.478897094727,2020-04-09
144.970001220703,146.589996337891,142.880004882812,144.419998168945,2289000,135.252044677734,2020-04-13
147.279998779297,151.550003051758,144.050003051758,151.110000610352,3809600,141.517379760742,2020-04-14
148.940002441406,153.399993896484,148.509994506836,151.179992675781,3614400,141.582885742188,2020-04-15
152.889999389648,155.589996337891,152,154.729995727539,3512900,144.90754699707,2020-04-16
155.419998168945,157.669998168945,153.029998779297,157.289993286133,3709900,147.305023193359,2020-04-17
156.630004882812,160.199996948242,155.610000610352,157.789993286133,2562200,147.773300170898,2020-04-20
155.410003662109,155.800003051758,151.410003662109,152.669998168945,4270200,142.978317260742,2020-04-21
154.610000610352,157.279998779297,153.570007324219,156.710006713867,3278000,146.761871337891,2020-04-22
157.179992675781,162.559997558594,154,159.929992675781,5692900,149.777435302734,2020-04-23
162,164.899993896484,160.610000610352,162.929992675781,4414000,152.587036132812,2020-04-24
164,164.5,160.720001220703,161.289993286133,3210300,151.051132202148,2020-04-27
160.940002441406,161.979995727539,156.589996337891,157.300003051758,3270200,147.314407348633,2020-04-28
157.759994506836,158.029998779297,154.669998168945,155.160003662109,3240700,145.310287475586,2020-04-29
155.199996948242,156.979995727539,153.279998779297,154.639999389648,4175800,144.823303222656,2020-04-30
153.720001220703,154.600006103516,151.570007324219,153.630004882812,2576400,143.877410888672,2020-05-01
154.649993896484,156,151.259994506836,153.279998779297,2228500,143.549591064453,2020-05-04
153.800003051758,159.220001220703,152.75,157.889999389648,2862600,147.866973876953,2020-05-05
158.460006713867,158.940002441406,156.350006103516,156.679992675781,1964800,146.733764648438,2020-05-06
157.5,157.690002441406,152.720001220703,152.970001220703,2330600,143.259307861328,2020-05-07
154.199996948242,154.419998168945,152.550003051758,153.509994506836,1966600,143.764999389648,2020-05-08
153.470001220703,159.470001220703,153.080001831055,158.550003051758,3196200,148.485061645508,2020-05-11
159.869995117188,161.399993896484,157.589996337891,157.720001220703,2329400,147.707763671875,2020-05-12
157.029998779297,159.350006103516,156.039993286133,157.929992675781,2650000,147.904434204102,2020-05-13
155.940002441406,158.949996948242,153.809997558594,158.380004882812,2393900,149.024154663086,2020-05-14
158.630004882812,159.509994506836,156.029998779297,159.229995727539,2824500,149.823944091797,2020-05-15
161.339996337891,162.369995117188,157.110000610352,157.960006713867,2703700,148.628952026367,2020-05-18
156.850006103516,159.130004882812,155.279998779297,156.699996948242,2339400,147.443359375,2020-05-19
155.270004272461,157.429992675781,151.610000610352,153.130004882812,3780800,144.084259033203,2020-05-20
153.149993896484,153.149993896484,149.720001220703,152.279998779297,3049800,143.284469604492,2020-05-21
152.220001220703,152.559997558594,150.169998168945,151.160003662109,2355000,142.23063659668,2020-05-22
151.110000610352,151.759994506836,147.160003662109,147.960006713867,5013400,139.219680786133,2020-05-26
148.169998168945,148.169998168945,143.619995117188,145.699996948242,5376100,137.093185424805,2020-05-27
147.429992675781,152.100006103516,146.509994506836,150.649993896484,3982700,141.750793457031,2020-05-28
