"BKNG.Open","BKNG.High","BKNG.Low","BKNG.Close","BKNG.Volume","BKNG.Adjusted","Date"
1857.06005859375,1895.5,1848.18005371094,1864.51000976562,662600,1838.00268554688,2020-02-04
1898.69995117188,1943.97998046875,1882.7099609375,1939.2900390625,552300,1911.7197265625,2020-02-05
1958.90002441406,1972,1937.01000976562,1960.90002441406,412000,1933.0224609375,2020-02-06
1950.22998046875,1960,1904.16003417969,1909.58996582031,449500,1882.44177246094,2020-02-07
1901.68994140625,1912.58996582031,1883,1886.64001464844,470200,1859.81811523438,2020-02-10
1894.47998046875,1918.89001464844,1892.61999511719,1909.30004882812,408900,1882.15612792969,2020-02-11
1923.94995117188,1967,1911.2099609375,1960.35998535156,473200,1932.48999023438,2020-02-12
1944,1960.88000488281,1929.09997558594,1959.93994140625,388800,1932.07604980469,2020-02-13
1998.43994140625,2024.88000488281,1984.66003417969,1990.9599609375,535900,1962.65502929688,2020-02-14
1972.25,1988.18994140625,1961.94995117188,1976.28002929688,363500,1948.18371582031,2020-02-18
1982.76000976562,1989.98999023438,1962.31994628906,1968.48999023438,241300,1940.50463867188,2020-02-19
1960,1987.76000976562,1956.39001464844,1970.91003417969,359200,1942.89013671875,2020-02-20
1965,1968.09997558594,1922.16003417969,1928.71997070312,358500,1901.30004882812,2020-02-21
1830.93005371094,1835.5,1777.88000488281,1792.5400390625,886000,1767.05603027344,2020-02-24
1803,1811.31005859375,1711.01000976562,1726.57995605469,958300,1702.03356933594,2020-02-25
1731.21997070312,1742.93994140625,1659.64001464844,1678.19995117188,903300,1654.34143066406,2020-02-26
1612.97998046875,1730,1592.44995117188,1659.84997558594,1338000,1636.25231933594,2020-02-27
1643.64001464844,1718,1634.5400390625,1695.66003417969,977000,1671.55322265625,2020-02-28
1709.75,1732.92004394531,1651.76000976562,1728.97998046875,869200,1704.39953613281,2020-03-02
1726.63000488281,1749.98999023438,1646.93005371094,1683.02001953125,704300,1659.09289550781,2020-03-03
1697.15002441406,1736.89001464844,1671.23999023438,1732.13000488281,593500,1707.5048828125,2020-03-04
1662.98999023438,1680.0400390625,1632.57995605469,1647.43994140625,788800,1624.01867675781,2020-03-05
1603.08996582031,1684,1584,1612.08996582031,1077500,1589.17138671875,2020-03-06
1483.98999023438,1588.67004394531,1476.51000976562,1527.80004882812,770300,1506.07971191406,2020-03-09
1589.94995117188,1615,1499.93994140625,1559,742000,1536.83605957031,2020-03-10
1522.2900390625,1528.53002929688,1420.56005859375,1442.5,829800,1421.99230957031,2020-03-11
1297,1369.98999023438,1280,1280.40002441406,1282100,1262.19677734375,2020-03-12
1336.80004882812,1421.67004394531,1270.86999511719,1421.32995605469,1153100,1401.12341308594,2020-03-13
1275,1411.82995605469,1252.21997070312,1289.67004394531,986900,1271.33508300781,2020-03-16
1309.56005859375,1370.52001953125,1252.91003417969,1368.26000976562,1080100,1348.80773925781,2020-03-17
1277.85998535156,1327.08996582031,1165.02001953125,1233.75,933400,1216.21008300781,2020-03-18
1211.16003417969,1236.64001464844,1150,1191.47998046875,980600,1174.54113769531,2020-03-19
1216.33996582031,1299.94995117188,1157.41003417969,1177.43005371094,1146500,1160.69079589844,2020-03-20
1166.97998046875,1226.14001464844,1107.2900390625,1152.23999023438,859900,1135.85888671875,2020-03-23
1218.61999511719,1279,1200.57995605469,1259.46997070312,854000,1241.56457519531,2020-03-24
1259.46997070312,1449.47998046875,1246.94995117188,1365.84997558594,998700,1346.43212890625,2020-03-25
1380.32995605469,1429.47998046875,1353.52001953125,1406,616500,1386.01123046875,2020-03-26
1344.86999511719,1355.4599609375,1253.60998535156,1255.15002441406,701500,1237.30590820312,2020-03-27
1261.27001953125,1321.89001464844,1216.97998046875,1308.22998046875,600800,1289.63134765625,2020-03-30
1303.01000976562,1390.39001464844,1296.01000976562,1345.31994628906,770300,1326.19384765625,2020-03-31
1293.81005859375,1328.33996582031,1248.18005371094,1271.63000488281,562800,1253.55151367188,2020-04-01
1270.96997070312,1334.98999023438,1241.21997070312,1260,573800,1242.0869140625,2020-04-02
1244.18005371094,1279.16003417969,1203.07995605469,1230.68005371094,442300,1213.18395996094,2020-04-03
1303.28002929688,1363.34997558594,1292.81005859375,1356.68005371094,751500,1337.392578125,2020-04-06
1412.01000976562,1495,1366.7900390625,1376.36999511719,783400,1356.80261230469,2020-04-07
1382.65002441406,1428.71997070312,1360.01000976562,1372.06005859375,780900,1352.55395507812,2020-04-08
1424.76000976562,1450,1403,1420.64001464844,1032800,1400.44311523438,2020-04-09
1413.18994140625,1428.01000976562,1368.39001464844,1421.01000976562,404400,1400.80786132812,2020-04-13
1460.08996582031,1469.9599609375,1424,1449.42004394531,579000,1428.81396484375,2020-04-14
1407.83996582031,1440,1390.67004394531,1424.60998535156,452800,1404.35656738281,2020-04-15
1432.34997558594,1432.34997558594,1391.02001953125,1407.40002441406,488400,1387.39123535156,2020-04-16
1469,1484.66003417969,1450.18994140625,1470.86999511719,691300,1449.95910644531,2020-04-17
1462.05004882812,1470,1410,1411.63000488281,459200,1391.56115722656,2020-04-20
1382.81005859375,1387.73999023438,1317.40002441406,1342.21997070312,652700,1323.13793945312,2020-04-21
1365.01000976562,1379.98999023438,1342,1355,356600,1335.736328125,2020-04-22
1354.05004882812,1388.98999023438,1350.7900390625,1360,372700,1340.66516113281,2020-04-23
1372.39001464844,1374.57995605469,1338.66003417969,1362.77001953125,334500,1343.39587402344,2020-04-24
1374.93005371094,1411.23999023438,1371.0400390625,1402.98999023438,456900,1383.04406738281,2020-04-27
1434.19995117188,1463.65002441406,1410.80004882812,1439.31994628906,613500,1418.85754394531,2020-04-28
1487.82995605469,1527.72998046875,1473.30004882812,1520.53002929688,703000,1498.91296386719,2020-04-29
1514.53002929688,1520.42004394531,1464.78002929688,1480.56994628906,450900,1459.52111816406,2020-04-30
