"PIRC.MI.Open","PIRC.MI.High","PIRC.MI.Low","PIRC.MI.Close","PIRC.MI.Volume","PIRC.MI.Adjusted","Date"
5.17199993133545,5.35599994659424,5.16599988937378,5.34600019454956,4939821,4.48699188232422,2020-01-02
5.30399990081787,5.30399990081787,5.16599988937378,5.21000003814697,3800646,4.37284421920776,2020-01-03
5.17000007629395,5.18599987030029,4.97900009155273,5.14599990844727,4795887,4.31912851333618,2020-01-06
5.18400001525879,5.28599977493286,5.17799997329712,5.21799993515015,3604289,4.37955951690674,2020-01-07
5.1560001373291,5.35799980163574,5.14599990844727,5.32000017166138,3827018,4.46517038345337,2020-01-08
5.35400009155273,5.38800001144409,5.28599977493286,5.28599977493286,2205631,4.43663263320923,2020-01-09
5.30200004577637,5.33799982070923,5.28000020980835,5.30000019073486,1225817,4.44838380813599,2020-01-10
5.32999992370605,5.32999992370605,5.21999979019165,5.25400018692017,2166563,4.40977478027344,2020-01-13
5.21600008010864,5.22399997711182,5.07800006866455,5.09000015258789,9414637,4.27212715148926,2020-01-14
5.09999990463257,5.11999988555908,5.01399993896484,5.02799987792969,3884688,4.22008895874023,2020-01-15
5.02400016784668,5.07399988174438,4.96700000762939,5.07399988174438,5524918,4.25869798660278,2020-01-16
5.08599996566772,5.12599992752075,5.01399993896484,5.07000017166138,3863560,4.25534057617188,2020-01-17
5.10599994659424,5.19799995422363,5.08400011062622,5.1560001373291,4812294,4.32752180099487,2020-01-20
5.12400007247925,5.13600015640259,5.06199979782104,5.07999992370605,2359977,4.26373338699341,2020-01-21
5.10400009155273,5.1399998664856,5.03000020980835,5.03800010681152,2078074,4.22848224639893,2020-01-22
5.03999996185303,5.05999994277954,4.89400005340576,4.91200017929077,4658611,4.12272787094116,2020-01-23
4.89799976348877,4.93599987030029,4.6710000038147,4.78900003433228,11701850,4.01949262619019,2020-01-24
4.67600011825562,4.75799989700317,4.56599998474121,4.56599998474121,6489387,3.83232378959656,2020-01-27
4.61800003051758,4.63399982452393,4.47200012207031,4.58300018310547,5364133,3.84659266471863,2020-01-28
4.59299993515015,4.73099994659424,4.57000017166138,4.70100021362305,6044732,3.94563221931458,2020-01-29
4.65999984741211,4.67999982833862,4.53299999237061,4.53599977493286,4501239,3.80714464187622,2020-01-30
4.55900001525879,4.57399988174438,4.35900020599365,4.37200021743774,6889328,3.6694962978363,2020-01-31
4.38600015640259,4.44899988174438,4.36100006103516,4.38800001144409,3275117,3.68292570114136,2020-02-03
4.36899995803833,4.44700002670288,4.33300018310547,4.36299991607666,6428207,3.66194295883179,2020-02-04
4.34999990463257,4.6100001335144,4.32100009918213,4.6100001335144,8091443,3.86925458908081,2020-02-05
4.66300010681152,4.77199983596802,4.59299993515015,4.59299993515015,6212543,3.85498571395874,2020-02-06
4.59000015258789,4.61999988555908,4.52799987792969,4.54500007629395,2432519,3.81469869613647,2020-02-07
4.53800010681152,4.56699991226196,4.48600006103516,4.50899982452393,2408795,3.78448295593262,2020-02-10
4.50699996948242,4.59700012207031,4.43200016021729,4.45100021362305,5513258,3.73580288887024,2020-02-11
4.48400020599365,4.63000011444092,4.45900011062622,4.60900020599365,4652125,3.86841464042664,2020-02-12
4.56500005722046,4.58400011062622,4.47100019454956,4.51000022888184,6336601,3.78532266616821,2020-02-13
4.52199983596802,4.58400011062622,4.50799989700317,4.51999998092651,3399120,3.79371571540833,2020-02-14
4.55000019073486,4.73000001907349,4.54899978637695,4.71999979019165,7494823,3.96157884597778,2020-02-17
4.63399982452393,4.71400022506714,4.60599994659424,4.70900011062622,4447046,3.95234704017639,2020-02-18
4.74900007247925,4.92000007629395,4.67199993133545,4.86600017547607,10983974,4.08411979675293,2020-02-19
4.89699983596802,4.93499994277954,4.78299999237061,4.84499979019165,5651003,4.06649351119995,2020-02-20
