"AXP.Open","AXP.High","AXP.Low","AXP.Close","AXP.Volume","AXP.Adjusted","Date"
124.660003662109,126.269996643066,124.230003356934,125.849998474121,2708000,116.934127807617,2020-01-02
124.319999694824,125.099998474121,123.940002441406,124.599998474121,2090600,115.772674560547,2020-01-03
123.370002746582,124.160003662109,123.120002746582,124.059997558594,2855200,115.270919799805,2020-01-06
123.470001220703,124.400001525879,123.360000610352,123.410003662109,2042300,114.6669921875,2020-01-07
124.050003051758,126.360000610352,123.800003051758,125.540000915527,3458200,116.64608001709,2020-01-08
126.48999786377,127.879997253418,126.389999389648,127.809997558594,2787100,118.755264282227,2020-01-09
127.580001831055,128.169998168945,126.919998168945,127.279998779297,2789200,118.262794494629,2020-01-10
127.839996337891,128.949996948242,127.629997253418,128.539993286133,3285700,119.43350982666,2020-01-13
128.619995117188,130.089996337891,128.339996337891,128.800003051758,3836000,119.675117492676,2020-01-14
128.690002441406,129.839996337891,128.449996948242,129.820007324219,3187200,120.622848510742,2020-01-15
130.5,130.929992675781,129.710006713867,130.550003051758,2424500,121.301170349121,2020-01-16
131.449996948242,131.860000610352,130.789993286133,131.520004272461,3659400,122.202438354492,2020-01-17
131.110000610352,131.820007324219,130.389999389648,130.529998779297,3102700,121.282539367676,2020-01-21
130.929992675781,132.270004272461,130.929992675781,131.490005493164,2483800,122.17455291748,2020-01-22
131.259994506836,131.570007324219,130.139999389648,131.369995117188,3841000,122.063064575195,2020-01-23
136.360000610352,138.130004882812,133.850006103516,135.110000610352,8612500,125.5380859375,2020-01-24
131.149993896484,131.979995727539,128.869995117188,130.639999389648,6432400,121.384757995605,2020-01-27
132,133.869995117188,131.139999389648,132.449996948242,3712700,123.066551208496,2020-01-28
132.479995727539,133.130004882812,131.440002441406,131.679992675781,2518400,122.351058959961,2020-01-29
130.75,133.330001831055,130.440002441406,133.220001220703,2428500,123.782005310059,2020-01-30
132.169998168945,132.25,129.380004882812,129.869995117188,3522600,120.669326782227,2020-01-31
