"IH2O.MI.Open","IH2O.MI.High","IH2O.MI.Low","IH2O.MI.Close","IH2O.MI.Volume","IH2O.MI.Adjusted","Date"
43.4300003051758,43.8499984741211,43.4300003051758,43.5,24633,40.6377830505371,2020-01-02
43.4749984741211,43.4749984741211,42.9550018310547,43.3549995422363,14782,40.5023193359375,2020-01-03
43.3800010681152,43.3800010681152,43.0250015258789,43.2299995422363,7261,40.3855476379395,2020-01-06
43.4000015258789,43.4449996948242,43.1500015258789,43.2599983215332,10806,40.4135704040527,2020-01-07
43.2799987792969,43.4099998474121,42.8349990844727,43.4000015258789,14988,40.5443649291992,2020-01-08
43.564998626709,43.6599998474121,43.3499984741211,43.6349983215332,16294,40.7638931274414,2020-01-09
43.6199989318848,43.9500007629395,43.6100006103516,43.625,17992,40.7545585632324,2020-01-10
43.6800003051758,43.9300003051758,43.5,43.8600006103516,21922,40.9740943908691,2020-01-13
44,44.3349990844727,43.8450012207031,44.2649993896484,17608,41.3524436950684,2020-01-14
44.3800010681152,44.5800018310547,44.2050018310547,44.4799995422363,17040,41.5533027648926,2020-01-15
44.5,44.814998626709,44.439998626709,44.7150001525879,50143,41.7728309631348,2020-01-16
45,45.2799987792969,44.564998626709,45.2350006103516,16119,42.258617401123,2020-01-17
45.4000015258789,45.4000015258789,45.1800003051758,45.3499984741211,27116,42.3660545349121,2020-01-20
45.2000007629395,45.2599983215332,44.7249984741211,45.25,21365,42.272632598877,2020-01-21
45.4000015258789,45.7350006103516,45.4000015258789,45.439998626709,27047,42.450138092041,2020-01-22
45.4249992370605,45.5699996948242,45.1300010681152,45.3650016784668,30075,42.380069732666,2020-01-23
45.7799987792969,45.9199981689453,45.7599983215332,45.8199996948242,41448,42.8051300048828,2020-01-24
45.5,45.6300010681152,44.8400001525879,45.125,30191,42.1558609008789,2020-01-27
45.1599998474121,45.5200004577637,44.9650001525879,45.4850006103516,27488,42.4921722412109,2020-01-28
45.5,45.7050018310547,45.5,45.685001373291,22663,42.6790084838867,2020-01-29
45.4500007629395,45.4700012207031,45.1699981689453,45.2999992370605,13564,42.3193435668945,2020-01-30
45.6199989318848,45.6199989318848,44.810001373291,44.7999992370605,37667,41.8522415161133,2020-01-31
44.7999992370605,45.2449989318848,44.7700004577637,45.0349998474121,22042,42.0717811584473,2020-02-03
