"MEUD.MI.Open","MEUD.MI.High","MEUD.MI.Low","MEUD.MI.Close","MEUD.MI.Volume","MEUD.MI.Adjusted","Date"
239.75,239.75,236.350006103516,236.850006103516,7728,236.850006103516,2024-06-14
237.600006103516,238.5,235.800003051758,237.100006103516,5577,237.100006103516,2024-06-17
238.800003051758,238.800003051758,237.5,238.550003051758,4228,238.550003051758,2024-06-18
238.800003051758,238.949996948242,238.25,238.25,5854,238.25,2024-06-19
238.600006103516,240.699996948242,238.600006103516,240.699996948242,1655,240.699996948242,2024-06-20
240.050003051758,240.449996948242,238,238.699996948242,7489,238.699996948242,2024-06-21
238.949996948242,241.149993896484,238.399993896484,240.75,2428,240.75,2024-06-24
240.050003051758,240.25,239.449996948242,240.050003051758,2663,240.050003051758,2024-06-25
241.100006103516,241.5,238.100006103516,238.850006103516,2675,238.850006103516,2024-06-26
238.699996948242,239.100006103516,237.850006103516,237.899993896484,2609,237.899993896484,2024-06-27
238.800003051758,239,236.899993896484,237.25,2001,237.25,2024-06-28
239.949996948242,239.949996948242,238.050003051758,238.199996948242,6034,238.199996948242,2024-07-01
237.149993896484,237.199996948242,236,237.199996948242,2797,237.199996948242,2024-07-02
238.350006103516,239.350006103516,237.850006103516,238.850006103516,1258,238.850006103516,2024-07-03
239.5,240.649993896484,239.5,240.350006103516,1714,240.350006103516,2024-07-04
241,241.5,239.300003051758,239.949996948242,2501,239.949996948242,2024-07-05
239.649993896484,241.25,239.649993896484,239.949996948242,2293,239.949996948242,2024-07-08
239.100006103516,239.800003051758,237.5,237.550003051758,1889,237.550003051758,2024-07-09
238,239.800003051758,237.649993896484,239.649993896484,2429,239.649993896484,2024-07-10
240.649993896484,241.550003051758,239.899993896484,241.100006103516,4498,241.100006103516,2024-07-11
241.949996948242,243.600006103516,241.5,243.25,3777,243.25,2024-07-12
242.199996948242,243.300003051758,241,240.949996948242,3737,240.949996948242,2024-07-15
239.75,240.399993896484,239.399993896484,240.350006103516,7861,240.350006103516,2024-07-16
239.600006103516,239.800003051758,238.350006103516,239.149993896484,1701,239.149993896484,2024-07-17
239.949996948242,240.550003051758,238.649993896484,238.649993896484,1843,238.649993896484,2024-07-18
237.800003051758,237.800003051758,236.699996948242,236.949996948242,2288,236.949996948242,2024-07-19
238.050003051758,240,238.050003051758,239.350006103516,7011,239.350006103516,2024-07-22
239.350006103516,240.699996948242,238.649993896484,239.550003051758,3381,239.550003051758,2024-07-23
237.600006103516,238.649993896484,237.399993896484,238.149993896484,2091,238.149993896484,2024-07-24
235.800003051758,236.350006103516,234.100006103516,236.350006103516,8525,236.350006103516,2024-07-25
236.550003051758,238.5,236.300003051758,238.399993896484,3125,238.399993896484,2024-07-26
239.5,239.600006103516,237.649993896484,237.699996948242,4058,237.699996948242,2024-07-29
238.300003051758,239.449996948242,237.899993896484,238.5,1606,238.5,2024-07-30
241.5,241.5,240.199996948242,240.600006103516,2839,240.600006103516,2024-07-31
