"LCJP.MI.Open","LCJP.MI.High","LCJP.MI.Low","LCJP.MI.Close","LCJP.MI.Volume","LCJP.MI.Adjusted","Date"
12.6820001602173,12.7620000839233,12.6499996185303,12.6999998092651,5193,12.6999998092651,2020-01-02
12.6040000915527,12.6540002822876,12.5819997787476,12.6479997634888,2461,12.6479997634888,2020-01-03
12.5340003967285,12.6099996566772,12.5340003967285,12.6140003204346,19603,12.6140003204346,2020-01-06
12.7480001449585,12.7480001449585,12.7040004730225,12.7360000610352,2365,12.7360000610352,2020-01-07
12.6459999084473,12.7159996032715,12.6359996795654,12.7340002059937,411410,12.7340002059937,2020-01-08
12.8219995498657,12.826000213623,12.8039999008179,12.8199996948242,24760,12.8199996948242,2020-01-09
12.7659997940063,12.8299999237061,12.7600002288818,12.7559995651245,24138,12.7559995651245,2020-01-10
12.746000289917,12.7760000228882,12.6940002441406,12.710000038147,11150,12.710000038147,2020-01-13
12.7299995422363,12.789999961853,12.7299995422363,12.7659997940063,26958,12.7659997940063,2020-01-14
12.7360000610352,12.7480001449585,12.673999786377,12.6999998092651,15095,12.6999998092651,2020-01-15
12.6920003890991,12.7159996032715,12.6780004501343,12.7200002670288,17072,12.7200002670288,2020-01-16
12.7259998321533,12.8000001907349,12.7259998321533,12.7620000839233,7999,12.7620000839233,2020-01-17
12.8140001296997,12.8400001525879,12.8140001296997,12.8380002975464,13168,12.8380002975464,2020-01-20
12.7760000228882,12.7819995880127,12.7299995422363,12.7580003738403,14087,12.7580003738403,2020-01-21
12.8400001525879,12.8400001525879,12.793999671936,12.8059997558594,5189,12.8059997558594,2020-01-22
12.793999671936,12.8100004196167,12.793999671936,12.8120002746582,5262,12.8120002746582,2020-01-23
12.9219999313354,12.9219999313354,12.9219999313354,12.8640003204346,1472,12.8640003204346,2020-01-24
12.7299995422363,12.7299995422363,12.5900001525879,12.6420001983643,5801,12.6420001983643,2020-01-27
12.6800003051758,12.7259998321533,12.5920000076294,12.7200002670288,10741,12.7200002670288,2020-01-28
12.7200002670288,12.7519998550415,12.7200002670288,12.7379999160767,4357,12.7379999160767,2020-01-29
12.5640001296997,12.5699996948242,12.5139999389648,12.5600004196167,1608,12.5600004196167,2020-01-30
12.5620002746582,12.5620002746582,12.4119997024536,12.3940000534058,1337,12.3940000534058,2020-01-31
12.46399974823,12.5719995498657,12.4259996414185,12.5260000228882,5081,12.5260000228882,2020-02-03
12.6440000534058,12.7419996261597,12.6440000534058,12.7379999160767,4505,12.7379999160767,2020-02-04
12.7639999389648,12.8839998245239,12.7639999389648,12.8739995956421,14422,12.8739995956421,2020-02-05
12.9759998321533,12.9820003509521,12.9099998474121,12.9799995422363,16328,12.9799995422363,2020-02-06
12.9540004730225,12.9540004730225,12.9020004272461,12.9420003890991,15919,12.9420003890991,2020-02-07
12.8739995956421,12.923999786377,12.8739995956421,12.9180002212524,2155,12.9180002212524,2020-02-10
13.0179996490479,13.0340003967285,12.9860000610352,13.0120000839233,215175,13.0120000839233,2020-02-11
12.9320001602173,12.9860000610352,12.9160003662109,12.9759998321533,54595,12.9759998321533,2020-02-12
12.8680000305176,12.9399995803833,12.8199996948242,12.9320001602173,7482,12.9320001602173,2020-02-13
12.8819999694824,12.8959999084473,12.8100004196167,12.826000213623,9957,12.826000213623,2020-02-14
12.793999671936,12.7980003356934,12.7700004577637,12.7840003967285,18671,12.7840003967285,2020-02-17
12.6499996185303,12.6979999542236,12.6379995346069,12.6540002822876,37811,12.6540002822876,2020-02-18
12.6879997253418,12.7259998321533,12.6599998474121,12.7040004730225,57809,12.7040004730225,2020-02-19
12.5740003585815,12.5900001525879,12.5340003967285,12.5220003128052,12632,12.5220003128052,2020-02-20
12.4840002059937,12.5200004577637,12.3699998855591,12.4119997024536,41334,12.4119997024536,2020-02-21
