"C50.MI.Open","C50.MI.High","C50.MI.Low","C50.MI.Close","C50.MI.Volume","C50.MI.Adjusted","Date"
83.6900024414062,84.5899963378906,83.6900024414062,84.5100021362305,1556,84.5100021362305,2020-01-02
83.9000015258789,84.0699996948242,83.3199996948242,83.8600006103516,35933,83.8600006103516,2020-01-03
83.3499984741211,83.6399993896484,82.6800003051758,83.5599975585938,8839,83.5599975585938,2020-01-06
83.9100036621094,84.2200012207031,83.6399993896484,83.8199996948242,18292,83.8199996948242,2020-01-07
83.3399963378906,84.0599975585938,83.1900024414062,83.9899978637695,83994,83.9899978637695,2020-01-08
84.6399993896484,84.8199996948242,84.4899978637695,84.5299987792969,6484,84.5299987792969,2020-01-09
84.5999984741211,84.7600021362305,84.3399963378906,84.4899978637695,4368,84.4899978637695,2020-01-10
84.4499969482422,84.5699996948242,83.9700012207031,84.1699981689453,10564,84.1699981689453,2020-01-13
83.6900024414062,84.1100006103516,83.5899963378906,84.0699996948242,4738,84.0699996948242,2020-01-14
84.129997253418,84.129997253418,83.7600021362305,83.9300003051758,30059,83.9300003051758,2020-01-15
84.0400009155273,84.3300018310547,83.7699966430664,84.1100006103516,3629,84.1100006103516,2020-01-16
84.7600021362305,85,84.6600036621094,84.7900009155273,9495,84.7900009155273,2020-01-17
84.6999969482422,84.8499984741211,84.5999984741211,84.7099990844727,7123,84.7099990844727,2020-01-20
84.0400009155273,84.4300003051758,83.9300003051758,84.4400024414062,14901,84.4400024414062,2020-01-21
84.629997253418,84.6500015258789,84.0299987792969,83.9899978637695,25316,83.9899978637695,2020-01-22
83.7300033569336,84.0400009155273,83.2799987792969,83.3000030517578,16983,83.3000030517578,2020-01-23
84.1399993896484,84.5500030517578,84.1399993896484,84.1999969482422,3088,84.1999969482422,2020-01-24
83.1800003051758,83.3000030517578,82,82.0199966430664,14418,82.0199966430664,2020-01-27
82.2900009155273,82.9199981689453,81.9300003051758,82.9000015258789,9456,82.9000015258789,2020-01-28
82.9400024414062,83.3000030517578,82.9400024414062,83.3099975585938,10872,83.3099975585938,2020-01-29
82.5299987792969,82.5400009155273,82.1999969482422,82.1900024414062,5446,82.1900024414062,2020-01-30
82.5100021362305,82.5400009155273,81.2099990844727,81.2900009155273,8343,81.2900009155273,2020-01-31
81.5100021362305,81.870002746582,81.1900024414062,81.629997253418,17874,81.629997253418,2020-02-03
82.3600006103516,83.2600021362305,82.3600006103516,83.1600036621094,6589,83.1600036621094,2020-02-04
82.9800033569336,84.3099975585938,82.9800033569336,84.2799987792969,8734,84.2799987792969,2020-02-05
84.9100036621094,84.9499969482422,84.6600036621094,84.9100036621094,7085,84.9100036621094,2020-02-06
84.7399978637695,84.8600006103516,84.4199981689453,84.7699966430664,6088,84.7699966430664,2020-02-07
84.5199966430664,84.6699981689453,84.3899993896484,84.6900024414062,4045,84.6900024414062,2020-02-10
85.2200012207031,85.5500030517578,85.0500030517578,85.4800033569336,8703,85.4800033569336,2020-02-11
85.4700012207031,85.9800033569336,85.4700012207031,85.9599990844727,11141,85.9599990844727,2020-02-12
85.6100006103516,85.6100006103516,84.8499984741211,85.7099990844727,3157,85.7099990844727,2020-02-13
85.7099990844727,85.9400024414062,85.6999969482422,85.7200012207031,3630,85.7200012207031,2020-02-14
85.8899993896484,85.9899978637695,85.75,86.0100021362305,5960,86.0100021362305,2020-02-17
85.6900024414062,85.8499984741211,85.4300003051758,85.5599975585938,4682,85.5599975585938,2020-02-18
85.879997253418,86.2200012207031,85.879997253418,86.1999969482422,8195,86.1999969482422,2020-02-19
86.0899963378906,86.0899963378906,85.75,85.629997253418,9344,85.629997253418,2020-02-20
84.7799987792969,85.3499984741211,84.370002746582,84.7799987792969,116438,84.7799987792969,2020-02-21
82.4400024414062,82.5299987792969,81.2099990844727,81.3899993896484,14887,81.3899993896484,2020-02-24
81.8000030517578,81.8600006103516,79.6800003051758,79.7200012207031,47908,79.7200012207031,2020-02-25
79.129997253418,80.1800003051758,77.4899978637695,79.8399963378906,55107,79.8399963378906,2020-02-26
78.3300018310547,78.5299987792969,76.3099975585938,77.129997253418,24347,77.129997253418,2020-02-27
74.4199981689453,75.1100006103516,73.2900009155273,74.120002746582,47309,74.120002746582,2020-02-28
75.5299987792969,76.0299987792969,72.7200012207031,74.5199966430664,51586,74.5199966430664,2020-03-02
75.4100036621094,76.7600021362305,74.9499969482422,74.8399963378906,27979,74.8399963378906,2020-03-03
75,76.629997253418,74.9499969482422,76.1999969482422,12183,76.1999969482422,2020-03-04
76.5500030517578,76.6399993896484,74.5999984741211,75.1900024414062,18293,75.1900024414062,2020-03-05
73.6699981689453,73.8300018310547,71.8399963378906,72.1900024414062,8377,72.1900024414062,2020-03-06
67.1900024414062,67.620002746582,65.7399978637695,65.8300018310547,24334,65.8300018310547,2020-03-09
66.9400024414062,68.9199981689453,64.7399978637695,65.0500030517578,33079,65.0500030517578,2020-03-10
65.9899978637695,66.8300018310547,64.7399978637695,64.6699981689453,16310,64.6699981689453,2020-03-11
61.2999992370605,61.7099990844727,56.810001373291,57.5099983215332,17178,57.5099983215332,2020-03-12
58.8699989318848,62.1399993896484,56.5699996948242,57.4599990844727,33117,57.4599990844727,2020-03-13
