"XUSE.MI.Open","XUSE.MI.High","XUSE.MI.Low","XUSE.MI.Close","XUSE.MI.Volume","XUSE.MI.Adjusted","Date"
4.23950004577637,4.23950004577637,4.23950004577637,4.27400016784668,426,4.27400016784668,2025-04-07
4.34049987792969,4.41400003433228,4.34049987792969,4.38600015640259,17828,4.38600015640259,2025-04-08
4.28700017929077,4.28700017929077,4.28700017929077,4.22300004959106,2407,4.22300004959106,2025-04-09
4.45699977874756,4.45699977874756,4.38749980926514,4.38350009918213,11572,4.38350009918213,2025-04-10
4.36499977111816,4.37449979782104,4.33850002288818,4.35949993133545,4920,4.35949993133545,2025-04-11
4.45650005340576,4.45650005340576,4.44999980926514,4.47800016403198,76,4.47800016403198,2025-04-14
4.52950000762939,4.55649995803833,4.52449989318848,4.55149984359741,21508,4.55149984359741,2025-04-15
4.52950000762939,4.53999996185303,4.51999998092651,4.54899978637695,24759,4.54899978637695,2025-04-16
4.54949998855591,4.54949998855591,4.53450012207031,4.54850006103516,10896,4.54850006103516,2025-04-17
4.50500011444092,4.54949998855591,4.50500011444092,4.57100009918213,2816,4.57100009918213,2025-04-22
4.66499996185303,4.67350006103516,4.63600015640259,4.64249992370605,32826,4.64249992370605,2025-04-23
4.63450002670288,4.66400003433228,4.62949991226196,4.6710000038147,13020,4.6710000038147,2025-04-24
4.70949983596802,4.70949983596802,4.69500017166138,4.68200016021729,16711,4.68200016021729,2025-04-25
4.72499990463257,4.73449993133545,4.70949983596802,4.71600008010864,3431,4.71600008010864,2025-04-28
4.73850011825562,4.73950004577637,4.71999979019165,4.72949981689453,14105,4.72949981689453,2025-04-29
4.74949979782104,4.74949979782104,4.69999980926514,4.74450016021729,121095,4.74450016021729,2025-04-30
4.80450010299683,4.83449983596802,4.80000019073486,4.82649993896484,18324,4.82649993896484,2025-05-02
4.83500003814697,4.85099983215332,4.83449983596802,4.84999990463257,71788,4.84999990463257,2025-05-05
4.85500001907349,4.85500001907349,4.82000017166138,4.83150005340576,92101,4.83150005340576,2025-05-06
4.83199977874756,4.83199977874756,4.80999994277954,4.81099987030029,39068,4.81099987030029,2025-05-07
4.84299993515015,4.85400009155273,4.83599996566772,4.83850002288818,2112,4.83850002288818,2025-05-08
4.86950016021729,4.86950016021729,4.86950016021729,4.85050010681152,50,4.85050010681152,2025-05-09
4.92000007629395,4.92500019073486,4.91949987411499,4.92600011825562,6458,4.92600011825562,2025-05-12
4.92850017547607,4.92850017547607,4.92850017547607,4.92850017547607,0,4.92850017547607,2025-05-13
4.92000007629395,4.92449998855591,4.90450000762939,4.90049982070923,9790,4.90049982070923,2025-05-14
4.90749979019165,4.92950010299683,4.89949989318848,4.9375,7900,4.9375,2025-05-15
4.96950006484985,4.96950006484985,4.96950006484985,4.95949983596802,200,4.95949983596802,2025-05-16
4.95349979400635,4.95349979400635,4.92199993133545,4.95550012588501,4000,4.95550012588501,2025-05-19
4.97949981689453,4.99499988555908,4.96400022506714,4.99149990081787,24103,4.99149990081787,2025-05-20
4.98000001907349,4.98000001907349,4.96000003814697,4.98699998855591,75682,4.98699998855591,2025-05-21
