"C3M.MI.Open","C3M.MI.High","C3M.MI.Low","C3M.MI.Close","C3M.MI.Volume","C3M.MI.Adjusted","Date"
117.309997558594,117.370002746582,117.309997558594,117.360000610352,44800,117.360000610352,2020-03-05
117.319999694824,117.370002746582,117.309997558594,117.339996337891,6312,117.339996337891,2020-03-06
117.300003051758,117.379997253418,117.279998779297,117.330001831055,12146,117.330001831055,2020-03-09
117.300003051758,117.349998474121,117.290000915527,117.349998474121,9487,117.349998474121,2020-03-10
117.349998474121,117.360000610352,117.300003051758,117.330001831055,2462,117.330001831055,2020-03-11
117.389999389648,117.425003051758,116.349998474121,116.349998474121,9794,116.349998474121,2020-03-12
117.220001220703,117.370002746582,117.220001220703,117.370002746582,4753,117.370002746582,2020-03-13
117.209999084473,117.339996337891,117.190002441406,116.860000610352,12845,116.860000610352,2020-03-16
116.919998168945,117.669998168945,116.919998168945,117.669998168945,18802,117.669998168945,2020-03-17
117.069999694824,117.319999694824,116.889999389648,117.220001220703,2370,117.220001220703,2020-03-18
117.129997253418,117.370002746582,117.069999694824,117.360000610352,24335,117.360000610352,2020-03-19
117.410003662109,117.410003662109,117.105003356934,117.360000610352,7661,117.360000610352,2020-03-20
117.360000610352,117.370002746582,117.180000305176,117.279998779297,8505,117.279998779297,2020-03-23
117.209999084473,117.370002746582,117.209999084473,117.360000610352,10286,117.360000610352,2020-03-24
117.120002746582,117.360000610352,117.120002746582,117.349998474121,5542,117.349998474121,2020-03-25
117.349998474121,117.370002746582,117.139999389648,117.26000213623,13057,117.26000213623,2020-03-26
117.370002746582,117.379997253418,117.150001525879,117.379997253418,2023,117.379997253418,2020-03-27
117.370002746582,117.379997253418,117.150001525879,117.379997253418,7828,117.379997253418,2020-03-30
117.160003662109,117.410003662109,117.150001525879,117.410003662109,5843,117.410003662109,2020-03-31
117.349998474121,117.360000610352,117.129997253418,117.25,2538,117.25,2020-04-01
117.470001220703,117.470001220703,117.139999389648,117.360000610352,12256,117.360000610352,2020-04-02
117.139999389648,117.360000610352,117.129997253418,117.25,8133,117.25,2020-04-03
117.330001831055,117.360000610352,117.120002746582,117.23999786377,4357,117.23999786377,2020-04-06
117.26000213623,117.269996643066,117.169998168945,117.269996643066,3458,117.269996643066,2020-04-07
117.23999786377,117.330001831055,117.230003356934,117.269996643066,14585,117.269996643066,2020-04-08
117.089996337891,117.309997558594,117.089996337891,117.199996948242,9600,117.199996948242,2020-04-09
117.199996948242,117.360000610352,117.01000213623,117.180000305176,4658,117.180000305176,2020-04-14
117.209999084473,117.209999084473,117.099998474121,117.099998474121,5634,117.099998474121,2020-04-15
117.199996948242,117.220001220703,117.120002746582,117.120002746582,8909,117.120002746582,2020-04-16
117.199996948242,117.199996948242,117.139999389648,117.169998168945,6935,117.169998168945,2020-04-17
117,117.279998779297,117,117.190002441406,11912,117.190002441406,2020-04-20
117.160003662109,117.230003356934,117.160003662109,117.209999084473,9767,117.209999084473,2020-04-21
117.279998779297,117.300003051758,117.129997253418,117.290000915527,24929,117.290000915527,2020-04-22
117.089996337891,117.309997558594,117.089996337891,117.209999084473,6436,117.209999084473,2020-04-23
117.110000610352,117.209999084473,117.110000610352,117.190002441406,496,117.190002441406,2020-04-24
117.110000610352,117.319999694824,117.110000610352,117.220001220703,6076,117.220001220703,2020-04-27
117.309997558594,117.309997558594,117.180000305176,117.199996948242,7225,117.199996948242,2020-04-28
117.190002441406,117.269996643066,117.190002441406,117.25,20671,117.25,2020-04-29
117.269996643066,117.309997558594,117.160003662109,117.220001220703,2950,117.220001220703,2020-04-30
117.26000213623,117.269996643066,117.160003662109,117.26000213623,4903,117.26000213623,2020-05-04
117.26000213623,117.269996643066,117.160003662109,117.269996643066,3119,117.269996643066,2020-05-05
117.230003356934,117.230003356934,117.120002746582,117.120002746582,11386,117.120002746582,2020-05-06
117.230003356934,117.230003356934,117.110000610352,117.110000610352,15201,117.110000610352,2020-05-07
117.139999389648,117.23999786377,117.125,117.180000305176,1459,117.180000305176,2020-05-08
117.150001525879,117.230003356934,117.150001525879,117.160003662109,5300,117.160003662109,2020-05-11
117.139999389648,117.319999694824,117.129997253418,117.319999694824,2203,117.319999694824,2020-05-12
117.169998168945,117.230003356934,117.169998168945,117.199996948242,2382,117.199996948242,2020-05-13
117.209999084473,117.220001220703,117.160003662109,117.169998168945,4560,117.169998168945,2020-05-14
117.180000305176,117.220001220703,117.169998168945,117.180000305176,10896,117.180000305176,2020-05-15
117.169998168945,117.180000305176,117.169998168945,117.169998168945,6852,117.169998168945,2020-05-18
117.220001220703,117.220001220703,117.160003662109,117.160003662109,9266,117.160003662109,2020-05-19
