"ENV.MI.Open","ENV.MI.High","ENV.MI.Low","ENV.MI.Close","ENV.MI.Volume","ENV.MI.Adjusted","Date"
3.4300000667572,3.4300000667572,3.34999990463257,3.35999989509583,5027,2.85455560684204,2020-01-02
3.39000010490417,3.39000010490417,3.39000010490417,3.39000010490417,205,2.88004279136658,2020-01-03
3.35999989509583,3.40000009536743,3.30999994277954,3.39000010490417,4229,2.88004279136658,2020-01-06
3.34999990463257,3.40000009536743,3.34999990463257,3.40000009536743,1705,2.88853859901428,2020-01-07
3.34999990463257,3.40000009536743,3.34999990463257,3.40000009536743,603,2.88853859901428,2020-01-08
3.35999989509583,3.40000009536743,3.33999991416931,3.39000010490417,4498,2.88004279136658,2020-01-09
3.35999989509583,3.40000009536743,3.35999989509583,3.40000009536743,1584,2.88853859901428,2020-01-10
3.40000009536743,3.5699999332428,3.40000009536743,3.5,31403,2.97349572181702,2020-01-13
3.53999996185303,3.55999994277954,3.45000004768372,3.48000001907349,4022,2.95650434494019,2020-01-14
3.47000002861023,3.47000002861023,3.38000011444092,3.4300000667572,2772,2.91402554512024,2020-01-15
3.45000004768372,3.46000003814697,3.36999988555908,3.44000005722046,2210,2.92252111434937,2020-01-16
3.44000005722046,3.44000005722046,3.44000005722046,3.44000005722046,0,2.92252111434937,2020-01-17
3.39000010490417,3.44000005722046,3.39000010490417,3.39000010490417,2209,2.88004279136658,2020-01-20
3.41000008583069,3.41000008583069,3.35999989509583,3.39000010490417,3341,2.88004279136658,2020-01-21
3.36999988555908,3.36999988555908,3.30999994277954,3.34999990463257,2497,2.84606003761292,2020-01-22
3.34999990463257,3.34999990463257,3.34999990463257,3.34999990463257,0,2.84606003761292,2020-01-23
3.34999990463257,3.39000010490417,3.32999992370605,3.38000011444092,950,2.87154722213745,2020-01-24
3.38000011444092,3.44000005722046,3.38000011444092,3.44000005722046,3898,2.92252111434937,2020-01-27
3.44000005722046,3.47000002861023,3.41000008583069,3.4300000667572,1712,2.91402554512024,2020-01-28
3.38000011444092,3.39000010490417,3.36999988555908,3.39000010490417,6719,2.88004279136658,2020-01-29
3.40000009536743,3.45000004768372,3.35999989509583,3.45000004768372,1424,2.93101692199707,2020-01-30
3.38000011444092,3.44000005722046,3.38000011444092,3.44000005722046,917,2.92252111434937,2020-01-31
3.4300000667572,3.4300000667572,3.41000008583069,3.41000008583069,254,2.89703416824341,2020-02-03
3.41000008583069,3.49000000953674,3.40000009536743,3.49000000953674,4000,2.96499991416931,2020-02-04
3.48000001907349,3.48000001907349,3.47000002861023,3.48000001907349,2386,2.95650434494019,2020-02-05
3.49000000953674,3.49000000953674,3.49000000953674,3.49000000953674,1001,2.96499991416931,2020-02-06
3.48000001907349,3.48000001907349,3.48000001907349,3.48000001907349,200,2.95650434494019,2020-02-07
3.45000004768372,3.48000001907349,3.40000009536743,3.47000002861023,6597,2.94800853729248,2020-02-10
3.47000002861023,3.47000002861023,3.47000002861023,3.47000002861023,0,2.94800853729248,2020-02-11
3.47000002861023,3.47000002861023,3.47000002861023,3.47000002861023,0,2.94800853729248,2020-02-12
3.40000009536743,3.46000003814697,3.40000009536743,3.46000003814697,2375,2.93951272964478,2020-02-13
3.40000009536743,3.45000004768372,3.29999995231628,3.45000004768372,8291,2.93101692199707,2020-02-14
3.40000009536743,3.44000005722046,3.40000009536743,3.44000005722046,3148,2.92252111434937,2020-02-17
3.40000009536743,3.49000000953674,3.40000009536743,3.49000000953674,2076,2.96499991416931,2020-02-18
3.45000004768372,3.48000001907349,3.45000004768372,3.48000001907349,3587,2.95650434494019,2020-02-19
3.41000008583069,3.44000005722046,3.39000010490417,3.44000005722046,4699,2.92252111434937,2020-02-20
3.42000007629395,3.4300000667572,3.39000010490417,3.4300000667572,2027,2.91402554512024,2020-02-21
3.3199999332428,3.42000007629395,3.22000002861023,3.27999997138977,5324,2.78659009933472,2020-02-24
3.3199999332428,3.3199999332428,3.3199999332428,3.3199999332428,299,2.82057285308838,2020-02-25
3.25999999046326,3.3199999332428,3.25,3.3199999332428,2226,2.82057285308838,2020-02-26
3.3199999332428,3.3199999332428,3.24000000953674,3.3199999332428,1089,2.82057285308838,2020-02-27
3.22000002861023,3.29999995231628,3.22000002861023,3.29999995231628,804,2.80358147621155,2020-02-28
