"ABBV.Open","ABBV.High","ABBV.Low","ABBV.Close","ABBV.Volume","ABBV.Adjusted","Date"
89.0800018310547,89.5699996948242,88.5100021362305,89.5500030517578,5639200,70.3268280029297,2020-01-02
88.1699981689453,89.3899993896484,87.9000015258789,88.6999969482422,5988500,69.659294128418,2020-01-03
88.2200012207031,89.620002746582,87.9800033569336,89.4000015258789,6786600,70.2090301513672,2020-01-06
88.9300003051758,89.5400009155273,88.2600021362305,88.8899993896484,7242500,69.8084869384766,2020-01-07
89.1500015258789,90.0599975585938,88.870002746582,89.5199966430664,7696800,70.3032455444336,2020-01-08
90.0100021362305,90.2300033569336,89.0500030517578,90.2099990844727,7518000,70.8451461791992,2020-01-09
90.2300033569336,90.2900009155273,88.8300018310547,89.0599975585938,8581400,69.9420013427734,2020-01-10
89.5,89.5,87.9199981689453,88.5199966430664,9292200,69.5179214477539,2020-01-13
87.0999984741211,88.4400024414062,86.7699966430664,88.1999969482422,8876900,70.2024307250977,2020-01-14
88.1800003051758,89.879997253418,88.1800003051758,89.2600021362305,8490100,71.0461349487305,2020-01-15
89.3099975585938,89.8000030517578,88.9199981689453,89.2600021362305,7073200,71.0461349487305,2020-01-16
89.129997253418,89.2699966430664,87.7900009155273,88,10122300,70.0432510375977,2020-01-17
87.6800003051758,88.5299987792969,87.5699996948242,87.9899978637695,13552000,70.035270690918,2020-01-21
88.0299987792969,88.1699981689453,87.1500015258789,87.2099990844727,6438900,69.4144515991211,2020-01-22
87.0500030517578,87.0699996948242,84.9899978637695,85.2699966430664,12266800,67.8703231811523,2020-01-23
85.4300003051758,85.4800033569336,82.7600021362305,83.5400009155273,13215400,66.4933166503906,2020-01-24
85.0500030517578,85.9300003051758,84,84.0199966430664,13832000,66.8753890991211,2020-01-27
84.9899978637695,84.9899978637695,83.6399993896484,83.7699966430664,8614400,66.6763916015625,2020-01-28
83.8000030517578,84,83.129997253418,83.1999969482422,5703200,66.2227096557617,2020-01-29
82.5800018310547,82.7900009155273,81.1800003051758,81.7799987792969,10870000,65.0924835205078,2020-01-30
