"TSLA.Open","TSLA.High","TSLA.Low","TSLA.Close","TSLA.Volume","TSLA.Adjusted","Date"
28.2999992370605,28.7133331298828,28.1140003204346,28.6840000152588,142981500,28.6840000152588,2020-01-02
29.3666667938232,30.2666664123535,29.1280002593994,29.5340003967285,266677500,29.5340003967285,2020-01-03
29.3646678924561,30.1040000915527,29.3333320617676,30.1026668548584,151995000,30.1026668548584,2020-01-06
30.7600002288818,31.4419994354248,30.2240009307861,31.2706661224365,268231500,31.2706661224365,2020-01-07
31.5799999237061,33.232666015625,31.2153339385986,32.8093338012695,467164500,32.8093338012695,2020-01-08
33.1399993896484,33.2533340454102,31.5246677398682,32.0893325805664,426606000,32.0893325805664,2020-01-09
32.1193313598633,32.3293342590332,31.5799999237061,31.8766670227051,194392500,31.8766670227051,2020-01-10
32.9000015258789,35.0419998168945,32.7999992370605,34.990665435791,397764000,34.990665435791,2020-01-13
36.2840003967285,36.4939994812012,34.9933319091797,35.8613319396973,434943000,35.8613319396973,2020-01-14
35.3173332214355,35.8559989929199,34.4526672363281,34.5666656494141,260532000,34.5666656494141,2020-01-15
32.9166679382324,34.2973327636719,32.8113327026367,34.232666015625,326050500,34.232666015625,2020-01-16
33.8406677246094,34.3779983520508,33.5439987182617,34.033332824707,204436500,34.033332824707,2020-01-17
35.3499984741211,36.5719985961914,35.2273330688477,36.4799995422363,267052500,36.4799995422363,2020-01-21
38.1259994506836,39.6333312988281,37.2733345031738,37.9706687927246,470535000,37.9706687927246,2020-01-22
37.6166687011719,38.7999992370605,37.0400009155273,38.1466674804688,294765000,38.1466674804688,2020-01-23
38.0419998168945,38.2573318481445,36.9506683349609,37.6546669006348,215304000,37.6546669006348,2020-01-24
36.1326675415039,37.6293334960938,35.9519996643066,37.2013320922852,204121500,37.2013320922852,2020-01-27
37.8993339538574,38.4539985656738,37.2053337097168,37.7933311462402,176827500,37.7933311462402,2020-01-28
38.3793334960938,39.3199996948242,37.8286666870117,38.732666015625,267022500,38.732666015625,2020-01-29
42.1613311767578,43.3919982910156,41.2000007629395,42.7206687927246,435085500,42.7206687927246,2020-01-30
42.6666679382324,43.533332824707,42.1679992675781,43.3713340759277,235789500,43.3713340759277,2020-01-31
44.9126663208008,52.4093322753906,44.9013328552246,52,705975000,52,2020-02-03
58.8639984130859,64.5993347167969,55.5919990539551,59.1373329162598,914082000,59.1373329162598,2020-02-04
54.8839988708496,56.3986663818359,46.9406661987305,48.9799995422363,726357000,48.9799995422363,2020-02-05
46.6613311767578,53.0553321838379,45.7999992370605,49.9306678771973,598212000,49.9306678771973,2020-02-06
48.7033348083496,51.3166656494141,48.6666679382324,49.8713340759277,255952500,49.8713340759277,2020-02-07
53.3333320617676,54.6660003662109,50.1599998474121,51.4186668395996,370338000,51.4186668395996,2020-02-10
51.2526664733887,52.234001159668,50.533332824707,51.6253318786621,175462500,51.6253318786621,2020-02-11
