"GS.Open","GS.High","GS.Low","GS.Close","GS.Volume","GS.Adjusted","Date"
154.600006103516,162.210006713867,145.320007324219,155.130004882812,8587800,136.009124755859,2020-03-25
156.369995117188,167.660003662109,154.309997558594,165.789993286133,6762200,145.355163574219,2020-03-26
159.080001831055,163.729995727539,157,158.339996337891,4186700,138.823455810547,2020-03-27
158.520004272461,160.429992675781,153.179992675781,159.619995117188,4152800,139.945648193359,2020-03-30
158.130004882812,161.100006103516,153.720001220703,154.589996337891,3588200,135.535614013672,2020-03-31
146.100006103516,149.570007324219,145,145.289993286133,4689100,127.381950378418,2020-04-01
143.020004272461,150.449996948242,141.669998168945,149.929992675781,4446900,131.450012207031,2020-04-02
149.199996948242,150.919998168945,145.229995727539,146.929992675781,2801600,128.819793701172,2020-04-03
155.470001220703,158.929992675781,153.770004272461,158.229995727539,4689400,138.726989746094,2020-04-06
166,169.139999389648,162.449996948242,166.020004272461,4953500,145.556838989258,2020-04-07
168.550003051758,178.100006103516,168.550003051758,176.960006713867,5194800,155.148406982422,2020-04-08
180.580001831055,187.330001831055,179.770004272461,184.259994506836,6445800,161.54866027832,2020-04-09
183.850006103516,184.970001220703,179.130004882812,179.179992675781,4774300,157.094741821289,2020-04-13
182.350006103516,183.380004882812,174.539993286133,178.229995727539,4149600,156.261871337891,2020-04-14
170.630004882812,181.679992675781,169.149993896484,178.520004272461,6042700,156.516143798828,2020-04-15
177.220001220703,178.440002441406,172.389999389648,177.039993286133,4662200,155.218536376953,2020-04-16
183.490005493164,185.279998779297,178.289993286133,183.490005493164,5426700,160.87353515625,2020-04-17
179.699996948242,186.320007324219,178.020004272461,180.399993896484,4674800,158.164398193359,2020-04-20
175.440002441406,179.199996948242,173.660003662109,173.809997558594,3819000,152.386672973633,2020-04-21
177.5,178.179992675781,174.470001220703,175.979995727539,2314500,154.289199829102,2020-04-22
177,179.070007324219,174.449996948242,175.050003051758,2013300,153.473846435547,2020-04-23
