"CSEMU.MI.Open","CSEMU.MI.High","CSEMU.MI.Low","CSEMU.MI.Close","CSEMU.MI.Volume","CSEMU.MI.Adjusted","Date"
126.559997558594,126.860000610352,126.400001525879,126.720001220703,3772,126.720001220703,2020-01-02
125.879997253418,126,125.23999786377,125.919998168945,23655,125.919998168945,2020-01-03
125.23999786377,125.339996337891,124.580001831055,125.339996337891,80,125.339996337891,2020-01-06
126.459999084473,126.459999084473,125.699996948242,125.919998168945,5275,125.919998168945,2020-01-07
125.220001220703,126.180000305176,125.080001831055,126.120002746582,11877,126.120002746582,2020-01-08
127.23999786377,127.26000213623,126.839996337891,126.800003051758,8189,126.800003051758,2020-01-09
126.800003051758,127.059997558594,126.800003051758,126.76000213623,4509,126.76000213623,2020-01-10
126.819999694824,126.980003356934,126.26000213623,126.400001525879,1880,126.400001525879,2020-01-13
126.699996948242,126.699996948242,126.300003051758,126.540000915527,1421,126.540000915527,2020-01-14
126.720001220703,126.720001220703,126.220001220703,126.400001525879,5336,126.400001525879,2020-01-15
126.860000610352,126.860000610352,126.220001220703,126.680000305176,2739,126.680000305176,2020-01-16
127.73999786377,127.839996337891,127.599998474121,127.699996948242,2207,127.699996948242,2020-01-17
127.800003051758,127.940002441406,127.660003662109,127.660003662109,1965,127.660003662109,2020-01-20
126.339996337891,127.099998474121,126.339996337891,127.199996948242,9067,127.199996948242,2020-01-21
127.419998168945,127.419998168945,127.120002746582,126.73999786377,2021,126.73999786377,2020-01-22
126.279998779297,126.900001525879,125.980003356934,125.879997253418,6471,125.879997253418,2020-01-23
127.599998474121,127.599998474121,127.400001525879,127.080001831055,4369,127.080001831055,2020-01-24
125.639999389648,125.639999389648,123.959999084473,124.019996643066,8633,124.019996643066,2020-01-27
124,125.379997253418,123.959999084473,125.339996337891,9646,125.339996337891,2020-01-28
125.720001220703,126.040000915527,125.5,125.959999084473,2306,125.959999084473,2020-01-29
124.800003051758,125.019996643066,124.339996337891,124.419998168945,5403,124.419998168945,2020-01-30
124.940002441406,124.940002441406,123.419998168945,123.059997558594,4977,123.059997558594,2020-01-31
123,123.660003662109,123,123.639999389648,6715,123.639999389648,2020-02-03
124.23999786377,125.540000915527,124.23999786377,125.660003662109,1579,125.660003662109,2020-02-04
126.940002441406,127.26000213623,126.73999786377,127.360000610352,5264,127.360000610352,2020-02-05
128.119995117188,128.199996948242,127.839996337891,128.240005493164,7145,128.240005493164,2020-02-06
128.100006103516,128.139999389648,127.5,127.860000610352,4299,127.860000610352,2020-02-07
127.76000213623,127.879997253418,127.319999694824,127.73999786377,2270,127.73999786377,2020-02-10
128.759994506836,128.880004882812,128.5,129.020004272461,5912,129.020004272461,2020-02-11
129.399993896484,129.919998168945,129.399993896484,129.860000610352,12575,129.860000610352,2020-02-12
128.619995117188,129.220001220703,128.440002441406,129.580001831055,2350,129.580001831055,2020-02-13
129.679992675781,130,129.559997558594,129.660003662109,2858,129.660003662109,2020-02-14
129.839996337891,129.940002441406,129.699996948242,130,1083,130,2020-02-17
129.160003662109,129.679992675781,129.160003662109,129.300003051758,3107,129.300003051758,2020-02-18
130.100006103516,130.380004882812,130,130.419998168945,8078,130.419998168945,2020-02-19
130.259994506836,130.259994506836,129.919998168945,129.660003662109,4244,129.660003662109,2020-02-20
128.5,129.199996948242,127.860000610352,128.360000610352,3448,128.360000610352,2020-02-21
124.660003662109,124.660003662109,122.900001525879,123.319999694824,6682,123.319999694824,2020-02-24
124,124,121.199996948242,121.139999389648,9369,121.139999389648,2020-02-25
120.059997558594,121.680000305176,118.559997558594,121.339996337891,6061,121.339996337891,2020-02-26
119.059997558594,119.220001220703,116.819999694824,117.339996337891,5904,117.339996337891,2020-02-27
113.459999084473,114.120002746582,111.720001220703,113.160003662109,26499,113.160003662109,2020-02-28
115.26000213623,115.319999694824,110.919998168945,113.379997253418,29658,113.379997253418,2020-03-02
114.900001525879,116.360000610352,114.900001525879,114.139999389648,24760,114.139999389648,2020-03-03
114.080001831055,116.5,114.080001831055,115.73999786377,4911,115.73999786377,2020-03-04
115.660003662109,115.800003051758,113.519996643066,113.879997253418,4193,113.879997253418,2020-03-05
112.019996643066,112.019996643066,109.120002746582,109.919998168945,4751,109.919998168945,2020-03-06
103.319999694824,103.459999084473,100.360000610352,100.360000610352,15631,100.360000610352,2020-03-09
101.919998168945,105.040000915527,99.0599975585938,99.3399963378906,10354,99.3399963378906,2020-03-10
101.319999694824,101.360000610352,98.4499969482422,98.5899963378906,40667,98.5899963378906,2020-03-11
93.7200012207031,93.7200012207031,86.5100021362305,86.6399993896484,13050,86.6399993896484,2020-03-12
88.620002746582,94.8399963378906,87.3000030517578,87.3000030517578,4346,87.3000030517578,2020-03-13
83.3600006103516,84.379997253418,78.6100006103516,82.6500015258789,4862,82.6500015258789,2020-03-16
85.5599975585938,85.5599975585938,80.1600036621094,84.75,12883,84.75,2020-03-17
83.6600036621094,83.6600036621094,80.25,81.2099990844727,6395,81.2099990844727,2020-03-18
