"BX.Open","BX.High","BX.Low","BX.Close","BX.Volume","BX.Adjusted","Date"
56.2000007629395,56.4599990844727,55.560001373291,55.7999992370605,3372700,45.8185501098633,2020-01-02
55.2299995422363,56.060001373291,54.9300003051758,56,2411100,45.9827728271484,2020-01-03
55.2099990844727,55.9300003051758,55.0400009155273,55.9000015258789,2503700,45.9006576538086,2020-01-06
55.9300003051758,56.310001373291,55.7900009155273,55.9000015258789,2668500,45.9006576538086,2020-01-07
55.9000015258789,57,55.8800010681152,56.7400016784668,2913300,46.5904006958008,2020-01-08
57.1500015258789,58.4000015258789,56.8899993896484,57.8499984741211,4385500,47.5018424987793,2020-01-09
58.0200004577637,58.189998626709,57.4900016784668,57.7200012207031,4975400,47.3950958251953,2020-01-10
57.8800010681152,58.689998626709,57.3800010681152,58.4300003051758,3273900,47.978084564209,2020-01-13
58.560001373291,58.8400001525879,58.0099983215332,58.1100006103516,2611300,47.7153244018555,2020-01-14
57.6699981689453,58.689998626709,57.6199989318848,58.2299995422363,3557500,47.8138694763184,2020-01-15
58.7099990844727,60.189998626709,58.6800003051758,60.1500015258789,5922200,49.3904228210449,2020-01-16
60.7700004577637,61.3899993896484,60.3899993896484,60.7599983215332,4276500,49.891300201416,2020-01-17
60.5,61.7700004577637,60.1599998474121,61.1699981689453,4923500,50.2279586791992,2020-01-21
61.3800010681152,63.1399993896484,61.3499984741211,62.8699989318848,4678000,51.6238746643066,2020-01-22
62.8699989318848,63.7700004577637,62.5999984741211,63.7299995422363,4800700,52.3300247192383,2020-01-23
64.0999984741211,64.1800003051758,61.6699981689453,62.2099990844727,7476500,51.0819244384766,2020-01-24
59.8400001525879,61.6599998474121,59.3699989318848,61.189998626709,3727000,50.2443809509277,2020-01-27
61.3800010681152,62.3300018310547,61.1500015258789,61.6199989318848,3725900,50.597469329834,2020-01-28
62.1599998474121,63.1399993896484,61.9500007629395,62.6500015258789,4279200,51.4432258605957,2020-01-29
62.4799995422363,63.5,60,61.1100006103516,8556100,50.1787033081055,2020-01-30
61,61.1300010681152,59.6199989318848,61.0699996948242,6128600,50.1458587646484,2020-01-31
61.5999984741211,61.7299995422363,60.5200004577637,60.5200004577637,3200900,49.6942405700684,2020-02-03
61.3300018310547,63.7000007629395,61.2799987792969,63.2700004577637,4175600,51.9523277282715,2020-02-04
63.8400001525879,64.3899993896484,63.0200004577637,63.7299995422363,3266400,52.3300247192383,2020-02-05
63.7599983215332,64.2799987792969,62.9300003051758,64.2099990844727,2877300,52.7241706848145,2020-02-06
63.0999984741211,63.8600006103516,61.9300003051758,62.7599983215332,4359700,52.0278091430664,2020-02-07
62.5200004577637,64.1399993896484,62.4900016784668,64.1100006103516,3379700,53.1469650268555,2020-02-10
64.4700012207031,64.9700012207031,64.2300033569336,64.4100036621094,3082800,53.3956642150879,2020-02-11
64.0800018310547,64.4100036621094,62.7999992370605,62.8499984741211,4537900,52.1024208068848,2020-02-12
62.7999992370605,63.560001373291,62.5099983215332,62.939998626709,3845900,52.1770362854004,2020-02-13
63.0699996948242,63.2999992370605,62.5,62.9500007629395,2821900,52.1853218078613,2020-02-14
62.9099998474121,63.4700012207031,61.9199981689453,61.9700012207031,4544400,51.3729133605957,2020-02-18
62.4099998474121,63.4300003051758,62.310001373291,62.7599983215332,3394500,52.0278091430664,2020-02-19
62.75,63.189998626709,61.1399993896484,62.4500007629395,3363100,51.7708320617676,2020-02-20
62.0099983215332,62.1800003051758,60.9799995422363,61.25,4198400,50.7760391235352,2020-02-21
58.3699989318848,59.6300010681152,55.7000007629395,58.560001373291,7372000,48.5460319519043,2020-02-24
59.0900001525879,59.2299995422363,56,56.4700012207031,6361900,46.8134384155273,2020-02-25
56.0200004577637,57.6800003051758,55.9700012207031,56,5732500,46.4238014221191,2020-02-26
54.2000007629395,55.6599998474121,52.5200004577637,53.2900009155273,10451400,44.1772232055664,2020-02-27
