"BOTZ.MI.Open","BOTZ.MI.High","BOTZ.MI.Low","BOTZ.MI.Close","BOTZ.MI.Volume","BOTZ.MI.Adjusted","Date"
24.8700008392334,24.8700008392334,24.8700008392334,24.8700008392334,0,24.8700008392334,2021-11-16
24.7977104187012,24.7977104187012,24.7977104187012,24.7977104187012,0,24.7977104187012,2021-11-17
24.9268093109131,24.9268093109131,24.9268093109131,24.9268093109131,0,24.9268093109131,2021-11-18
22.2950000762939,22.3799991607666,22.2950000762939,22.1000003814697,1000,22.1000003814697,2021-11-19
22.1000003814697,22.1000003814697,22.1000003814697,22.1000003814697,0,22.1000003814697,2021-11-22
21.7000007629395,21.7000007629395,21.7000007629395,21.3799991607666,20,21.3799991607666,2021-11-23
21.3799991607666,21.3799991607666,21.3799991607666,21.3799991607666,0,21.3799991607666,2021-11-24
21.7600002288818,21.7600002288818,21.7600002288818,21.7099990844727,50,21.7099990844727,2021-11-25
21.1650009155273,21.1650009155273,21.1499996185303,20.8549995422363,9648,20.8549995422363,2021-11-26
21.2549991607666,21.2549991607666,21.0949993133545,21.1599998474121,7792,21.1599998474121,2021-11-29
20.9650001525879,20.9650001525879,20.9650001525879,20.9099998474121,804,20.9099998474121,2021-11-30
21.1450004577637,21.1450004577637,21.1450004577637,21.2250003814697,804,21.2250003814697,2021-12-01
20.7399997711182,20.7450008392334,20.6700000762939,20.5900001525879,2462,20.5900001525879,2021-12-02
20.7000007629395,20.8050003051758,20.6749992370605,20.3449993133545,970,20.3449993133545,2021-12-03
20.3449993133545,20.3449993133545,20.3449993133545,20.3449993133545,0,20.3449993133545,2021-12-06
21.1000003814697,21.1000003814697,21.1000003814697,21.3199996948242,200,21.3199996948242,2021-12-07
21.5200004577637,21.5200004577637,21.5200004577637,21.3500003814697,145,21.3500003814697,2021-12-08
21.2000007629395,21.2000007629395,21.2000007629395,21.1900005340576,145,21.1900005340576,2021-12-09
21.1900005340576,21.1900005340576,21.1900005340576,21.1900005340576,0,21.1900005340576,2021-12-10
21,21,21,20.6450004577637,10,20.6450004577637,2021-12-13
20.4449996948242,20.4449996948242,20.4449996948242,20.1949996948242,100,20.1949996948242,2021-12-14
20.2749996185303,20.2749996185303,20.25,20.2150001525879,800,20.2150001525879,2021-12-15
20.7299995422363,20.7299995422363,20.7299995422363,20.6100006103516,804,20.6100006103516,2021-12-16
20.2900009155273,20.2900009155273,20.2900009155273,20.3999996185303,236,20.3999996185303,2021-12-17
19.8560009002686,19.9039993286133,19.8560009002686,19.8040008544922,168,19.8040008544922,2021-12-20
19.8040008544922,19.8040008544922,19.8040008544922,19.8040008544922,0,19.8040008544922,2021-12-21
20.4300003051758,20.4300003051758,20.4300003051758,20.5849990844727,50,20.5849990844727,2021-12-22
