"GOLD.MI.Open","GOLD.MI.High","GOLD.MI.Low","GOLD.MI.Close","GOLD.MI.Volume","GOLD.MI.Adjusted","Date"
72.3300018310547,73.129997253418,72.3300018310547,72.9899978637695,1500,72.9899978637695,2023-03-17
73.129997253418,73.129997253418,73.129997253418,73.5,10,73.5,2023-03-20
73.5,73.5,73.5,73.5,0,73.5,2023-03-21
73.5,73.5,73.5,73.5,0,73.5,2023-03-22
72.4300003051758,72.4300003051758,72.4300003051758,72.8000030517578,100,72.8000030517578,2023-03-23
72.8000030517578,72.8000030517578,72.8000030517578,72.8000030517578,0,72.8000030517578,2023-03-24
72.8000030517578,72.8000030517578,72.8000030517578,72.8000030517578,0,72.8000030517578,2023-03-27
72.8000030517578,72.8000030517578,72.8000030517578,72.8000030517578,0,72.8000030517578,2023-03-28
72.8000030517578,72.8000030517578,72.8000030517578,72.8000030517578,0,72.8000030517578,2023-03-29
72.8000030517578,72.8000030517578,72.8000030517578,72.8000030517578,0,72.8000030517578,2023-03-30
72.25,72.3399963378906,72.25,72.4000015258789,55,72.4000015258789,2023-03-31
72.4000015258789,72.4000015258789,72.4000015258789,72.4000015258789,0,72.4000015258789,2023-04-03
72.2600021362305,72.3000030517578,72.2600021362305,73.2699966430664,400,73.2699966430664,2023-04-04
73.2699966430664,73.2699966430664,73.2699966430664,73.2699966430664,0,73.2699966430664,2023-04-05
73.4700012207031,73.4700012207031,73.2600021362305,73.1900024414062,781,73.1900024414062,2023-04-06
73,73,72.9300003051758,73.0199966430664,65,73.0199966430664,2023-04-11
73.1800003051758,73.379997253418,72.5999984741211,72.7799987792969,1267,72.7799987792969,2023-04-12
73.1999969482422,73.5100021362305,73.1999969482422,73.4000015258789,1010,73.4000015258789,2023-04-13
73.2099990844727,73.3199996948242,73.0400009155273,72.3600006103516,1065,72.3600006103516,2023-04-14
72.7399978637695,72.9700012207031,72.3899993896484,72.5699996948242,237,72.5699996948242,2023-04-17
72.6800003051758,72.6800003051758,72.4300003051758,72.9300003051758,1503,72.9300003051758,2023-04-18
