"IBGL.MI.Open","IBGL.MI.High","IBGL.MI.Low","IBGL.MI.Close","IBGL.MI.Volume","IBGL.MI.Adjusted","Date"
262.089996337891,263.820007324219,260.480010986328,263.140014648438,3535,237.65185546875,2020-01-02
265.089996337891,266.5,265.089996337891,265.809997558594,805,240.063232421875,2020-01-03
265.720001220703,266.799987792969,265.720001220703,265.529998779297,362,239.810333251953,2020-01-06
265.109985351562,266,264.899993896484,264.890014648438,826,239.232330322266,2020-01-07
265.299987792969,265.299987792969,263.890014648438,264.040008544922,1134,238.464660644531,2020-01-08
262.989990234375,263.709991455078,262.989990234375,263.290008544922,600,237.787307739258,2020-01-09
264.119995117188,264.579986572266,263.510009765625,264.040008544922,1863,238.464660644531,2020-01-10
264.079986572266,264.079986572266,262.170013427734,261.950012207031,586,236.5771484375,2020-01-13
262.619995117188,262.709991455078,262.109985351562,262.5,318,237.073822021484,2020-01-14
263.25,264.309997558594,263.25,263.779998779297,638,238.229843139648,2020-01-15
263.730010986328,264.149993896484,263.010009765625,263.209991455078,571,237.715057373047,2020-01-16
263.799987792969,264.209991455078,263.040008544922,263.660003662109,708,238.121475219727,2020-01-17
264.049987792969,264.190002441406,263.549987792969,264,746,238.42854309082,2020-01-20
264.350006103516,265.579986572266,263.980010986328,265.320007324219,934,239.620712280273,2020-01-21
264.420013427734,265.679992675781,264.279998779297,265.880004882812,548,240.126434326172,2020-01-22
266.559997558594,268.290008544922,266.559997558594,268.339996337891,2022,242.348159790039,2020-01-23
267.769989013672,269.369995117188,267.369995117188,269.279998779297,689,243.19709777832,2020-01-24
271.369995117188,273.619995117188,271.339996337891,273.359985351562,598,246.881958007812,2020-01-27
273.720001220703,274.600006103516,273,272.799987792969,812,246.376159667969,2020-01-28
273.970001220703,274.549987792969,273.140014648438,274.630004882812,756,248.028945922852,2020-01-29
275.540008544922,276.25,274.779998779297,276.100006103516,401,249.356521606445,2020-01-30
275.920013427734,277.660003662109,275.920013427734,277.529998779297,2287,250.647994995117,2020-01-31
277.660003662109,277.679992675781,275.390014648438,276.239990234375,1044,249.482925415039,2020-02-03
275.459991455078,275.739990234375,274.709991455078,275.269989013672,1083,248.60693359375,2020-02-04
275.600006103516,275.600006103516,273.339996337891,273.75,436,247.234146118164,2020-02-05
273.540008544922,273.570007324219,272.399993896484,273.679992675781,442,247.170913696289,2020-02-06
274.170013427734,275.570007324219,273.980010986328,274.820007324219,816,248.200485229492,2020-02-07
274.790008544922,275.899993896484,274.790008544922,275.859985351562,565,249.139785766602,2020-02-10
274.850006103516,276,274.5,274.730010986328,13970,248.119232177734,2020-02-11
273.869995117188,275.809997558594,273.619995117188,275.440002441406,547,248.760406494141,2020-02-12
276.929992675781,278.059997558594,276.179992675781,276.440002441406,1555,249.66357421875,2020-02-13
275.799987792969,276.940002441406,275.799987792969,276.390014648438,1545,249.618423461914,2020-02-14
275.989990234375,277.019989013672,275.970001220703,276.679992675781,866,249.880310058594,2020-02-17
277.790008544922,278.010009765625,276.049987792969,276.730010986328,642,249.925506591797,2020-02-18
276.809997558594,277.450012207031,276.309997558594,277.149993896484,996,250.304763793945,2020-02-19
278.359985351562,279.239990234375,277.529998779297,279.350006103516,722,252.291687011719,2020-02-20
280.320007324219,280.779998779297,279.980010986328,279.769989013672,2673,252.671035766602,2020-02-21
280.010009765625,281.730010986328,280.010009765625,280.209991455078,1232,253.068420410156,2020-02-24
279.980010986328,280.690002441406,279.649993896484,280.910003662109,937,253.700637817383,2020-02-25
279.529998779297,280.809997558594,278.519989013672,279.339996337891,3212,252.282669067383,2020-02-26
279.529998779297,279.829986572266,278.489990234375,279.570007324219,6616,252.490386962891,2020-02-27
280.279998779297,282.200012207031,279.600006103516,281.630004882812,1569,254.350875854492,2020-02-28
280.980010986328,282.950012207031,280.980010986328,281.619995117188,1417,254.341812133789,2020-03-02
281.820007324219,285.429992675781,280.690002441406,285.429992675781,2073,257.782806396484,2020-03-03
284.769989013672,285.859985351562,284.049987792969,284.010009765625,1344,256.500396728516,2020-03-04
283.940002441406,284.25,283,284.019989013672,1289,256.509338378906,2020-03-05
