"CSNDX.MI.Open","CSNDX.MI.High","CSNDX.MI.Low","CSNDX.MI.Close","CSNDX.MI.Volume","CSNDX.MI.Adjusted","Date"
439.989990234375,443.429992675781,439.290008544922,442.179992675781,1850,442.179992675781,2020-01-02
441.690002441406,444,440.010009765625,442.269989013672,3936,442.269989013672,2020-01-03
440.019989013672,442,437.100006103516,442.109985351562,583,442.109985351562,2020-01-06
445.100006103516,446.920013427734,444.399993896484,446.519989013672,1680,446.519989013672,2020-01-07
444.140014648438,448.429992675781,443.529998779297,448.279998779297,852,448.279998779297,2020-01-08
453.320007324219,455.019989013672,452.959991455078,454.369995117188,816,454.369995117188,2020-01-09
455.720001220703,457.260009765625,454.640014648438,454.640014648438,5085,454.640014648438,2020-01-10
454.059997558594,455.200012207031,454,454.779998779297,2266,454.779998779297,2020-01-13
456.190002441406,458.399993896484,454.970001220703,456.540008544922,1033,456.540008544922,2020-01-14
456.279998779297,456.899993896484,454.980010986328,456.179992675781,764,456.179992675781,2020-01-15
457.390014648438,458.119995117188,456.239990234375,457.380004882812,1774,457.380004882812,2020-01-16
460.579986572266,463.660003662109,460.429992675781,461.959991455078,692,461.959991455078,2020-01-17
463.089996337891,464.059997558594,462.940002441406,463.890014648438,1066,463.890014648438,2020-01-20
461.399993896484,464.429992675781,460.5,464.429992675781,1265,464.429992675781,2020-01-21
466.869995117188,468.140014648438,466.25,467.25,1108,467.25,2020-01-22
465.209991455078,467.480010986328,464.820007324219,466.559997558594,282,466.559997558594,2020-01-23
470.209991455078,471.739990234375,468.839996337891,469.420013427734,962,469.420013427734,2020-01-24
459.179992675781,460.239990234375,453.980010986328,456.100006103516,5452,456.100006103516,2020-01-27
459.359985351562,462.980010986328,457.070007324219,462.980010986328,1097,462.980010986328,2020-01-28
465.700012207031,466.760009765625,462.480010986328,464.660003662109,1378,464.660003662109,2020-01-29
458.940002441406,463.269989013672,458.700012207031,460.820007324219,4315,460.820007324219,2020-01-30
467.559997558594,467.559997558594,457.600006103516,457.600006103516,3061,457.600006103516,2020-01-31
459.440002441406,464.779998779297,457.720001220703,462.829986572266,1863,462.829986572266,2020-02-03
466.239990234375,473.619995117188,466.239990234375,473.619995117188,1909,473.619995117188,2020-02-04
474.329986572266,481.899993896484,474.329986572266,476.559997558594,4282,476.559997558594,2020-02-05
481.5,482.730010986328,478.820007324219,482.119995117188,1556,482.119995117188,2020-02-06
482.809997558594,484.489990234375,481.019989013672,484.489990234375,592,484.489990234375,2020-02-07
482.640014648438,486.950012207031,481.119995117188,486.910003662109,1625,486.910003662109,2020-02-10
491.600006103516,493.700012207031,490.739990234375,492.140014648438,2574,492.140014648438,2020-02-11
491.670013427734,494.690002441406,491.25,494.690002441406,1248,494.690002441406,2020-02-12
493.390014648438,497.720001220703,490.779998779297,497.720001220703,2088,497.720001220703,2020-02-13
498.809997558594,499.350006103516,496.440002441406,498.380004882812,963,498.380004882812,2020-02-14
500.600006103516,500.940002441406,500,500.630004882812,1855,500.630004882812,2020-02-17
494.480010986328,499.359985351562,494.160003662109,497.850006103516,1337,497.850006103516,2020-02-18
502.160003662109,506.190002441406,501.480010986328,506.119995117188,1148,506.119995117188,2020-02-19
506.200012207031,506.220001220703,496.260009765625,496.260009765625,1336,496.260009765625,2020-02-20
496.570007324219,499.149993896484,489.480010986328,492.279998779297,3426,492.279998779297,2020-02-21
479.559997558594,479.720001220703,469,471.220001220703,10277,471.220001220703,2020-02-24
476.100006103516,476.260009765625,462.320007324219,464,6501,464,2020-02-25
459.959991455078,466.869995117188,448.170013427734,464.299987792969,3828,464.299987792969,2020-02-26
452.380004882812,453.549987792969,434.600006103516,442.290008544922,5727,442.290008544922,2020-02-27
424.730010986328,427.390014648438,413.700012207031,426.579986572266,11854,426.579986572266,2020-02-28
436.570007324219,439.609985351562,424.25,435.059997558594,6952,435.059997558594,2020-03-02
444.940002441406,450.160003662109,439.5,439.5,18160,439.5,2020-03-03
437.929992675781,444.760009765625,437.529998779297,441.570007324219,6531,441.570007324219,2020-03-04
445.390014648438,445.459991455078,436,443.390014648438,3925,443.390014648438,2020-03-05
428.570007324219,429.739990234375,411.190002441406,421.160003662109,7133,421.160003662109,2020-03-06
409.549987792969,410,380.799987792969,398.359985351562,7513,398.359985351562,2020-03-09
403.519989013672,413.100006103516,392.540008544922,399.239990234375,6291,399.239990234375,2020-03-10
404.980010986328,408.489990234375,401.170013427734,404.200012207031,5835,404.200012207031,2020-03-11
