"XGLE.MI.Open","XGLE.MI.High","XGLE.MI.Low","XGLE.MI.Close","XGLE.MI.Volume","XGLE.MI.Adjusted","Date"
252.149993896484,252.479995727539,252.070007324219,252.429992675781,4832,252.429992675781,2020-02-19
252.729995727539,253.190002441406,252.550003051758,253.110000610352,5518,253.110000610352,2020-02-20
253.699996948242,253.699996948242,253.220001220703,253.339996337891,2363,253.339996337891,2020-02-21
253.339996337891,253.990005493164,253.320007324219,253.350006103516,5109,253.350006103516,2020-02-24
253.350006103516,253.869995117188,253.229995727539,253.869995117188,2635,253.869995117188,2020-02-25
253.369995117188,253.529998779297,252.009994506836,252.990005493164,3215,252.990005493164,2020-02-26
253.339996337891,253.350006103516,252.639999389648,253.300003051758,5669,253.300003051758,2020-02-27
252.820007324219,254.770004272461,251.5,253.679992675781,4445,253.679992675781,2020-02-28
253.759994506836,254.330001831055,253.570007324219,253.589996337891,6407,253.589996337891,2020-03-02
254,254.850006103516,253.410003662109,253.75,67093,253.75,2020-03-03
254.800003051758,255.600006103516,254.669998168945,255.050003051758,2301,255.050003051758,2020-03-04
254.800003051758,254.990005493164,254.539993286133,254.990005493164,3618,254.990005493164,2020-03-05
254.550003051758,257.420013427734,254.490005493164,255.360000610352,2983,255.360000610352,2020-03-06
254.839996337891,257.109985351562,254.419998168945,254.419998168945,4709,254.419998168945,2020-03-09
254.419998168945,255.25,252.899993896484,254.339996337891,7360,254.339996337891,2020-03-10
254.550003051758,255.300003051758,252.589996337891,255.199996948242,4264,255.199996948242,2020-03-11
255.690002441406,256.200012207031,250.029998779297,255.860000610352,895,255.860000610352,2020-03-12
243.449996948242,250.490005493164,243.449996948242,248.940002441406,6949,248.940002441406,2020-03-13
244.289993286133,246.830001831055,240.649993896484,240.710006713867,5491,240.710006713867,2020-03-16
243.169998168945,245,239.960006713867,240.669998168945,8067,240.669998168945,2020-03-17
242.830001831055,242.830001831055,233.669998168945,240.210006713867,1407,240.210006713867,2020-03-18
245.850006103516,250.679992675781,240.320007324219,240.320007324219,1843,240.320007324219,2020-03-19
245.990005493164,247.520004272461,243.660003662109,245.089996337891,1975,245.089996337891,2020-03-20
246.960006713867,247.339996337891,244.970001220703,245.320007324219,1063,245.320007324219,2020-03-23
244.779998779297,246.820007324219,244.199996948242,244.690002441406,673,244.690002441406,2020-03-24
243.449996948242,245.520004272461,243.449996948242,244.339996337891,2710,244.339996337891,2020-03-25
244.050003051758,247.720001220703,244.039993286133,247.649993896484,688,247.649993896484,2020-03-26
249.179992675781,250.210006713867,246.789993286133,249.960006713867,1475,249.960006713867,2020-03-27
249.649993896484,249.649993896484,247.740005493164,248,663,248,2020-03-30
