"SGLD.MI.Open","SGLD.MI.High","SGLD.MI.Low","SGLD.MI.Close","SGLD.MI.Volume","SGLD.MI.Adjusted","Date"
131.509994506836,132.850006103516,131.509994506836,132.509994506836,9209,132.509994506836,2020-01-02
134.300003051758,135.289993286133,134.199996948242,134.570007324219,43312,134.570007324219,2020-01-03
136.720001220703,136.910003662109,135.509994506836,135.509994506836,15094,135.509994506836,2020-01-06
136.190002441406,136.820007324219,135.649993896484,136.710006713867,28160,136.710006713867,2020-01-07
138.160003662109,138.270004272461,136.699996948242,136.679992675781,26371,136.679992675781,2020-01-08
135.039993286133,135.729995727539,134.869995117188,135.520004272461,34200,135.520004272461,2020-01-09
135.490005493164,136.199996948242,135.360000610352,136.139999389648,12868,136.139999389648,2020-01-10
135.440002441406,135.690002441406,134.839996337891,135.149993896484,16444,135.149993896484,2020-01-13
134.339996337891,134.960006713867,134.330001831055,134.550003051758,6580,134.550003051758,2020-01-14
135.389999389648,135.539993286133,134.789993286133,134.919998168945,29190,134.919998168945,2020-01-15
135.179992675781,135.410003662109,134.990005493164,135.080001831055,11963,135.080001831055,2020-01-16
135.559997558594,136.320007324219,135.419998168945,136.199996948242,12641,136.199996948242,2020-01-17
136.539993286133,136.669998168945,136.410003662109,136.649993896484,4152,136.649993896484,2020-01-20
136.460006713867,136.460006713867,135.100006103516,136.130004882812,38820,136.130004882812,2020-01-21
136.149993896484,136.539993286133,136.139999389648,136.289993286133,4509,136.289993286133,2020-01-22
135.979995727539,137.639999389648,135.800003051758,137.660003662109,6760,137.660003662109,2020-01-23
136.929992675781,138.410003662109,136.720001220703,138.350006103516,7570,138.350006103516,2020-01-24
138.830001831055,139.550003051758,138.660003662109,139.360000610352,28672,139.360000610352,2020-01-27
138.940002441406,139.270004272461,138.300003051758,138.399993896484,22655,138.399993896484,2020-01-28
138.350006103516,138.75,138.199996948242,138.479995727539,13862,138.479995727539,2020-01-29
139.229995727539,139.360000610352,138.5,139.240005493164,16005,139.240005493164,2020-01-30
138.779998779297,139.119995117188,138.639999389648,139,19078,139,2020-01-31
138.089996337891,138.630004882812,138,138.360000610352,10993,138.360000610352,2020-02-03
138.050003051758,138.050003051758,136.419998168945,136.580001831055,16057,136.580001831055,2020-02-04
137.190002441406,137.490005493164,136.270004272461,137.470001220703,22169,137.470001220703,2020-02-05
137.360000610352,138.229995727539,137.360000610352,138.210006713867,8317,138.210006713867,2020-02-06
138.539993286133,139.100006103516,138.440002441406,138.759994506836,18472,138.759994506836,2020-02-07
139.270004272461,140.020004272461,139.270004272461,139.919998168945,9285,139.919998168945,2020-02-10
139.350006103516,140.059997558594,138.850006103516,139.020004272461,14280,139.020004272461,2020-02-11
139.110000610352,139.600006103516,138.710006713867,139.660003662109,10048,139.660003662109,2020-02-12
140.440002441406,141.089996337891,140.259994506836,140.839996337891,20652,140.839996337891,2020-02-13
140.919998168945,141.550003051758,140.919998168945,141.529998779297,8201,141.529998779297,2020-02-14
141.449996948242,141.710006713867,141.350006103516,141.649993896484,3347,141.649993896484,2020-02-17
142.220001220703,143.809997558594,142.130004882812,143.899993896484,10329,143.899993896484,2020-02-18
144.259994506836,144.839996337891,144.100006103516,144.220001220703,15619,144.220001220703,2020-02-19
144.550003051758,145.740005493164,144.539993286133,145.860000610352,19006,145.860000610352,2020-02-20
146.889999389648,147.520004272461,146.369995117188,146.740005493164,17599,146.740005493164,2020-02-21
150.210006713867,151.380004882812,149.270004272461,149.320007324219,50175,149.320007324219,2020-02-24
