"DFNS.MI.Open","DFNS.MI.High","DFNS.MI.Low","DFNS.MI.Close","DFNS.MI.Volume","DFNS.MI.Adjusted","Date"
18.8700008392334,18.8999996185303,18.8700008392334,18.8920001983643,101,18.8920001983643,2023-05-17
19.2299995422363,19.4400005340576,19.2000007629395,19.3519992828369,2034,19.3519992828369,2023-05-18
19.9699993133545,19.9699993133545,19.4699993133545,19.4099998474121,1082,19.4099998474121,2023-05-19
19.4440002441406,19.507999420166,19.3500003814697,19.3939990997314,1072,19.3939990997314,2023-05-22
19.5599994659424,19.6679992675781,19.4500007629395,19.5659999847412,4687,19.5659999847412,2023-05-23
19.4360008239746,19.4360008239746,19.2199993133545,19.1499996185303,2273,19.1499996185303,2023-05-24
19.4640007019043,19.4640007019043,19.2000007629395,19.1520004272461,1816,19.1520004272461,2023-05-25
19.2080001831055,19.6380004882812,19.1380004882812,19.5380001068115,1822,19.5380001068115,2023-05-26
20.0499992370605,20.0499992370605,19.6900005340576,19.7080001831055,3475,19.7080001831055,2023-05-29
19.7180004119873,19.818000793457,19.7000007629395,19.7159996032715,2522,19.7159996032715,2023-05-30
19.7900009155273,19.8700008392334,19.6000003814697,19.6040000915527,2861,19.6040000915527,2023-05-31
19.8659992218018,20.0650005340576,19.7600002288818,19.6040000915527,1385,19.6040000915527,2023-06-01
19.8500003814697,20.0799999237061,19.8500003814697,20.0300006866455,1421,20.0300006866455,2023-06-02
20.1700000762939,20.25,20.0149993896484,20.1550006866455,5261,20.1550006866455,2023-06-05
20.2199993133545,20.7600002288818,19.996000289917,20.1949996948242,2434,20.1949996948242,2023-06-06
20.3850002288818,20.3999996185303,20.1550006866455,20.3400001525879,1699,20.3400001525879,2023-06-07
20.2600002288818,20.4549999237061,20,20.2150001525879,5151,20.2150001525879,2023-06-08
20.6900005340576,20.6900005340576,20.4500007629395,20.3899993896484,970,20.3899993896484,2023-06-09
20.5750007629395,20.6200008392334,20.5,20.5750007629395,3044,20.5750007629395,2023-06-12
20.7250003814697,20.7749996185303,20.6000003814697,20.6550006866455,4767,20.6550006866455,2023-06-13
20.7800006866455,20.8449993133545,20.6499996185303,20.6650009155273,4892,20.6650009155273,2023-06-14
20.5049991607666,20.6149997711182,20.4950008392334,20.5550003051758,1620,20.5550003051758,2023-06-15
20.7800006866455,20.8999996185303,20.7800006866455,20.7250003814697,1274,20.7250003814697,2023-06-16
21.0450000762939,21.3600006103516,20.8999996185303,20.875,8891,20.875,2023-06-19
20.8799991607666,21.2099990844727,20.8799991607666,20.8799991607666,3665,20.8799991607666,2023-06-20
20.9400005340576,21.0499992370605,20.875,20.7549991607666,1989,20.7549991607666,2023-06-21
20.6700000762939,20.6900005340576,20.6499996185303,20.6299991607666,2662,20.6299991607666,2023-06-22
20.6350002288818,20.7399997711182,20.3500003814697,20.5149993896484,1124,20.5149993896484,2023-06-23
20.3850002288818,20.3850002288818,20.1000003814697,20.2199993133545,2846,20.2199993133545,2023-06-26
20.3700008392334,20.3700008392334,20.3050003051758,20.2700004577637,155,20.2700004577637,2023-06-27
20.5400009155273,20.6800003051758,20.5400009155273,20.5450000762939,500,20.5450000762939,2023-06-28
20.6800003051758,20.9249992370605,20.6800003051758,20.8250007629395,794,20.8250007629395,2023-06-29
20.8199996948242,21.3999996185303,20.8099994659424,20.9549999237061,20246,20.9549999237061,2023-06-30
21.1949996948242,21.1949996948242,21.0699996948242,21.0650005340576,4542,21.0650005340576,2023-07-03
21.1049995422363,21.1049995422363,21,20.9200000762939,3414,20.9200000762939,2023-07-04
21.0450000762939,21.0650005340576,21.0349998474121,20.9750003814697,827,20.9750003814697,2023-07-05
20.9549999237061,20.9549999237061,20.8099994659424,20.5900001525879,1095,20.5900001525879,2023-07-06
20.6700000762939,20.7800006866455,20.6700000762939,20.7000007629395,600,20.7000007629395,2023-07-07
20.6900005340576,20.8099994659424,20.5650005340576,20.7399997711182,981,20.7399997711182,2023-07-10
20.9150009155273,20.9699993133545,20.9150009155273,20.9449996948242,470,20.9449996948242,2023-07-11
21.0599994659424,21.2950000762939,20.9799995422363,21.0949993133545,4067,21.0949993133545,2023-07-12
21.0450000762939,21.2450008392334,21.0450000762939,21.0650005340576,5000,21.0650005340576,2023-07-13
21,21,20.8799991607666,20.7600002288818,4809,20.7600002288818,2023-07-14
20.8099994659424,20.9950008392334,20.7600002288818,20.9500007629395,1463,20.9500007629395,2023-07-17
21,21.125,20.9500007629395,21.1550006866455,350,21.1550006866455,2023-07-18
21.2549991607666,21.375,21.1550006866455,21.2250003814697,10300,21.2250003814697,2023-07-19
21.2250003814697,21.3400001525879,21.0599994659424,21.2849998474121,9975,21.2849998474121,2023-07-20
21.3349990844727,21.3349990844727,21.1650009155273,21.2099990844727,3290,21.2099990844727,2023-07-21
21.0650005340576,21.2450008392334,21.0599994659424,21.1650009155273,3572,21.1650009155273,2023-07-24
21.1399993896484,21.2450008392334,21.0650005340576,21.1399993896484,3409,21.1399993896484,2023-07-25
21.2849998474121,21.3050003051758,21.1100006103516,21.125,3255,21.125,2023-07-26
21.1499996185303,21.5499992370605,21.1499996185303,21.2600002288818,3438,21.2600002288818,2023-07-27
21.25,21.3099994659424,21.1550006866455,21.3850002288818,1508,21.3850002288818,2023-07-28
21.6149997711182,21.875,21.6000003814697,21.8199996948242,3888,21.8199996948242,2023-07-31
22.0249996185303,22.0300006866455,21.8600006103516,22.0149993896484,3608,22.0149993896484,2023-08-01
22.0249996185303,22.2000007629395,21.7700004577637,21.9400005340576,6582,21.9400005340576,2023-08-02
21.9500007629395,21.9599990844727,21.7900009155273,21.875,2930,21.875,2023-08-03
22.0699996948242,22.1049995422363,21.8050003051758,21.9699993133545,1175,21.9699993133545,2023-08-04
22.2000007629395,22.2000007629395,21.8700008392334,22.0650005340576,4639,22.0650005340576,2023-08-07
22.2199993133545,22.2199993133545,21.8700008392334,21.9099998474121,12604,21.9099998474121,2023-08-08
21.9850006103516,22.0499992370605,21.7900009155273,21.7199993133545,2563,21.7199993133545,2023-08-09
21.7800006866455,21.7800006866455,21.5599994659424,21.6149997711182,1492,21.6149997711182,2023-08-10
21.5699996948242,21.5799999237061,21.5599994659424,21.4950008392334,1163,21.4950008392334,2023-08-11
21.6900005340576,21.6900005340576,21.5900001525879,21.625,490,21.625,2023-08-14
21.3999996185303,21.4500007629395,21.3449993133545,21.4099998474121,1420,21.4099998474121,2023-08-16
21.4099998474121,21.4099998474121,21.1650009155273,21.2000007629395,1054,21.2000007629395,2023-08-17
20.9750003814697,20.9750003814697,20.6000003814697,20.9249992370605,4411,20.9249992370605,2023-08-18
20.9750003814697,21.1450004577637,20.9750003814697,21.0200004577637,284,21.0200004577637,2023-08-21
21.1049995422363,21.2049999237061,21.1049995422363,21.1650009155273,891,21.1650009155273,2023-08-22
21.2099990844727,21.4750003814697,21.2099990844727,21.3799991607666,413,21.3799991607666,2023-08-23
21.5900001525879,21.5900001525879,21.2299995422363,21.3050003051758,3269,21.3050003051758,2023-08-24
21.4150009155273,21.4150009155273,21.4150009155273,21.1049995422363,100,21.1049995422363,2023-08-25
21.3400001525879,21.6049995422363,21.3400001525879,21.5650005340576,1971,21.5650005340576,2023-08-28
