"IHYG.MI.Open","IHYG.MI.High","IHYG.MI.Low","IHYG.MI.Close","IHYG.MI.Volume","IHYG.MI.Adjusted","Date"
105.849998474121,105.930000305176,105.73999786377,105.919998168945,17556,80.2274169921875,2020-01-02
105.900001525879,105.900001525879,105.669998168945,105.779998779297,27894,80.1213760375977,2020-01-03
105.809997558594,105.809997558594,105.529998779297,105.629997253418,43770,80.0077743530273,2020-01-06
105.769996643066,105.769996643066,105.589996337891,105.709999084473,47919,80.0683670043945,2020-01-07
105.73999786377,105.73999786377,105.51000213623,105.650001525879,31582,80.0229187011719,2020-01-08
105.51000213623,105.930000305176,105.51000213623,105.910003662109,47083,80.219856262207,2020-01-09
105.879997253418,105.970001220703,105.790000915527,105.839996337891,33973,80.1668319702148,2020-01-10
105.870002746582,105.919998168945,105.769996643066,105.830001831055,53847,80.1592788696289,2020-01-13
105.889999389648,105.889999389648,105.720001220703,105.809997558594,23258,80.1441268920898,2020-01-14
105.839996337891,105.849998474121,105.75,105.830001831055,16739,80.1592788696289,2020-01-15
105.879997253418,106.050003051758,105.809997558594,106,212429,80.2880249023438,2020-01-16
106.099998474121,106.180000305176,105.98999786377,106.110000610352,32712,80.3713531494141,2020-01-17
106.080001831055,106.190002441406,106.029998779297,106.169998168945,22724,80.4167861938477,2020-01-20
106.150001525879,106.150001525879,105.930000305176,106.050003051758,24557,80.3259048461914,2020-01-21
106.25,106.25,105.900001525879,105.930000305176,33687,80.2350082397461,2020-01-22
105.900001525879,105.98999786377,105.690002441406,105.720001220703,35620,80.0759506225586,2020-01-23
105.860000610352,105.910003662109,105.690002441406,105.720001220703,29263,80.0759506225586,2020-01-24
105.639999389648,105.639999389648,105.150001525879,105.25,62785,79.7199478149414,2020-01-27
105.300003051758,105.449996948242,105.209999084473,105.440002441406,54417,79.8638534545898,2020-01-28
105.51000213623,105.669998168945,105.470001220703,105.569999694824,67062,79.9623260498047,2020-01-29
105.309997558594,105.430000305176,105.300003051758,105.430000305176,56242,79.8562850952148,2020-01-30
105.5,105.51000213623,105.220001220703,105.26000213623,23108,79.7275390625,2020-01-31
105.440002441406,105.440002441406,105.169998168945,105.26000213623,27257,79.7275390625,2020-02-03
105.410003662109,105.800003051758,105.339996337891,105.709999084473,31384,80.0683670043945,2020-02-04
105.73999786377,105.959999084473,105.610000610352,105.860000610352,48076,80.1819839477539,2020-02-05
105.830001831055,106.029998779297,105.830001831055,105.959999084473,40971,80.2577285766602,2020-02-06
106,106.040000915527,105.809997558594,105.809997558594,51656,80.1441268920898,2020-02-07
105.980003356934,105.980003356934,105.75,105.860000610352,22646,80.1819839477539,2020-02-10
105.900001525879,106.169998168945,105.900001525879,106.169998168945,25722,80.4167861938477,2020-02-11
106.169998168945,106.26000213623,106.059997558594,106.110000610352,63387,80.3713531494141,2020-02-12
106.099998474121,106.180000305176,105.980003356934,106.139999389648,68156,80.3940582275391,2020-02-13
106.209999084473,106.290000915527,106.199996948242,106.269996643066,29535,80.4925231933594,2020-02-14
106.230003356934,106.400001525879,106.230003356934,106.360000610352,15558,80.5607070922852,2020-02-17
106.379997253418,106.379997253418,106.180000305176,106.25,26881,80.4773941040039,2020-02-18
106.269996643066,106.400001525879,106.269996643066,106.370002746582,15732,80.5682754516602,2020-02-19
106.430000305176,106.540000915527,106.360000610352,106.540000915527,43841,80.6970520019531,2020-02-20
106.360000610352,106.379997253418,106.160003662109,106.23999786377,66816,80.4698028564453,2020-02-21
105.98999786377,105.98999786377,105.199996948242,105.349998474121,82351,79.7956924438477,2020-02-24
105.370002746582,105.51000213623,104.900001525879,104.900001525879,63723,79.4548492431641,2020-02-25
105,105,104.330001831055,104.860000610352,58282,79.4245376586914,2020-02-26
104.76000213623,104.76000213623,103.459999084473,103.809997558594,120872,78.6292495727539,2020-02-27
102.599998474121,102.919998168945,101.459999084473,102.699996948242,214630,77.7884902954102,2020-02-28
103.150001525879,103.519996643066,101.650001525879,102.660003662109,154192,77.7582015991211,2020-03-02
102.980003356934,104.099998474121,102.980003356934,103.940002441406,221281,78.7277145385742,2020-03-03
103.779998779297,104.029998779297,103.300003051758,103.819999694824,69955,78.6368179321289,2020-03-04
103.940002441406,104.160003662109,102.949996948242,103.120002746582,142591,78.1066207885742,2020-03-05
102.400001525879,102.419998168945,100.589996337891,101.059997558594,267902,76.5463027954102,2020-03-06
99.3099975585938,99.3099975585938,94.6699981689453,96.6600036621094,173247,73.2136001586914,2020-03-09
96.2600021362305,99.379997253418,96.0899963378906,96.7699966430664,128091,73.2969055175781,2020-03-10
97,97.5699996948242,96,96.6999969482422,52676,73.2438812255859,2020-03-11
93.870002746582,93.879997253418,87.4100036621094,88.5,202661,68.4757232666016,2020-03-12
89.879997253418,92,88.1999969482422,89.7699966430664,131968,69.458381652832,2020-03-13
87.9899978637695,87.9899978637695,82.1800003051758,84.6999969482422,71144,65.535530090332,2020-03-16
