"EST.MI.Open","EST.MI.High","EST.MI.Low","EST.MI.Close","EST.MI.Volume","EST.MI.Adjusted","Date"
21,21.3500003814697,21,21.3500003814697,6941,21.3500003814697,2020-01-02
21.1499996185303,21.1599998474121,21.0300006866455,21.1200008392334,4821,21.1200008392334,2020-01-03
20.8600006103516,20.8600006103516,20.8500003814697,20.8700008392334,2500,20.8700008392334,2020-01-06
21,21.0149993896484,20.8250007629395,20.7849998474121,13700,20.7849998474121,2020-01-07
20.7849998474121,20.7849998474121,20.7849998474121,20.7849998474121,0,20.7849998474121,2020-01-08
20.8799991607666,20.9200000762939,20.8700008392334,20.9599990844727,1291,20.9599990844727,2020-01-09
21,21.0400009155273,20.9400005340576,20.9850006103516,907,20.9850006103516,2020-01-10
21.1149997711182,21.1949996948242,21.0400009155273,21.1800003051758,723,21.1800003051758,2020-01-13
21.1700000762939,21.1900005340576,21.0949993133545,21.1599998474121,1181,21.1599998474121,2020-01-14
21.1149997711182,21.1149997711182,20.9699993133545,20.9549999237061,2009,20.9549999237061,2020-01-15
20.9850006103516,20.9850006103516,20.9200000762939,20.9249992370605,3788,20.9249992370605,2020-01-16
20.8700008392334,20.9300003051758,20.8600006103516,20.8649997711182,1651,20.8649997711182,2020-01-17
20.8999996185303,20.9349994659424,20.8449993133545,20.9349994659424,1441,20.9349994659424,2020-01-20
20.8500003814697,20.8500003814697,20.7600002288818,20.7600002288818,1448,20.7600002288818,2020-01-21
20.7450008392334,20.7600002288818,20.7099990844727,20.7099990844727,709,20.7099990844727,2020-01-22
20.6900005340576,20.8099994659424,20.6900005340576,20.7199993133545,589,20.7199993133545,2020-01-23
20.8299999237061,20.8299999237061,20.8299999237061,20.7600002288818,248,20.7600002288818,2020-01-24
20.5,20.5,20.1200008392334,20.0900001525879,3953,20.0900001525879,2020-01-27
20.0650005340576,20.2099990844727,20.0599994659424,20.1450004577637,1337,20.1450004577637,2020-01-28
20.1550006866455,20.1550006866455,20.1000003814697,20.0799999237061,350,20.0799999237061,2020-01-29
20,20.0200004577637,19.9559993743896,19.9979991912842,328,19.9979991912842,2020-01-30
19.923999786377,19.923999786377,19.7040004730225,19.7159996032715,1300,19.7159996032715,2020-01-31
19.7159996032715,19.9260005950928,19.7040004730225,19.9060001373291,416,19.9060001373291,2020-02-03
20.1499996185303,20.3600006103516,20.1499996185303,20.3449993133545,244,20.3449993133545,2020-02-04
20.5599994659424,20.6100006103516,20.5599994659424,20.5699996948242,171,20.5699996948242,2020-02-05
20.5599994659424,20.5799999237061,20.4799995422363,20.4699993133545,636,20.4699993133545,2020-02-06
20.3500003814697,20.3500003814697,20.3500003814697,20.4150009155273,28,20.4150009155273,2020-02-07
20.3549995422363,20.4500007629395,20.2700004577637,20.2900009155273,385,20.2900009155273,2020-02-10
20.4850006103516,20.4850006103516,20.3700008392334,20.4549999237061,151,20.4549999237061,2020-02-11
20.5349998474121,20.5799999237061,20.5349998474121,20.5699996948242,347,20.5699996948242,2020-02-12
20.3500003814697,20.5200004577637,20.2950000762939,20.5400009155273,4068,20.5400009155273,2020-02-13
20.6299991607666,20.6900005340576,20.5499992370605,20.6000003814697,478,20.6000003814697,2020-02-14
20.6350002288818,20.6700000762939,20.6350002288818,20.6350002288818,133,20.6350002288818,2020-02-17
20.4650001525879,20.6149997711182,20.4650001525879,20.5049991607666,2389,20.5049991607666,2020-02-18
20.6000003814697,20.6499996185303,20.6000003814697,20.6749992370605,240,20.6749992370605,2020-02-19
20.6299991607666,20.6299991607666,20.4799995422363,20.3950004577637,1492,20.3950004577637,2020-02-20
20.4349994659424,20.5400009155273,20.4349994659424,20.3500003814697,432,20.3500003814697,2020-02-21
20,20,19.4440002441406,19.4720001220703,5697,19.4720001220703,2020-02-24
19.4479999542236,19.4479999542236,19,18.9599990844727,1437,18.9599990844727,2020-02-25
19.011999130249,19.011999130249,18.5,18.8479995727539,3134,18.8479995727539,2020-02-26
18.5300006866455,18.8059997558594,18.3740005493164,18.1539993286133,6778,18.1539993286133,2020-02-27
17.6800003051758,17.8279991149902,17.0919990539551,17.3139991760254,6553,17.3139991760254,2020-02-28
