"XEON.MI.Open","XEON.MI.High","XEON.MI.Low","XEON.MI.Close","XEON.MI.Volume","XEON.MI.Adjusted","Date"
136.739105224609,136.739105224609,136.739105224609,136.713104248047,1,136.713104248047,2020-01-02
136.690704345703,136.690704345703,136.690704345703,136.709396362305,30,136.709396362305,2020-01-03
136.721496582031,136.721496582031,136.721496582031,136.699905395508,1,136.699905395508,2020-01-06
136.699905395508,136.699905395508,136.699905395508,136.699905395508,0,136.699905395508,2020-01-07
136.723495483398,136.723495483398,136.723495483398,136.699996948242,562,136.699996948242,2020-01-08
136.699996948242,136.699996948242,136.699996948242,136.699996948242,0,136.699996948242,2020-01-09
136.699996948242,136.699996948242,136.699996948242,136.699996948242,0,136.699996948242,2020-01-10
136.699996948242,136.699996948242,136.699996948242,136.699996948242,0,136.699996948242,2020-01-13
136.699996948242,136.699996948242,136.699996948242,136.699996948242,0,136.699996948242,2020-01-14
136.699996948242,136.699996948242,136.699996948242,136.699996948242,0,136.699996948242,2020-01-15
136.699996948242,136.699996948242,136.699996948242,136.699996948242,0,136.699996948242,2020-01-16
136.654296875,136.698699951172,136.654296875,136.698699951172,892,136.698699951172,2020-01-17
136.649307250977,136.649307250977,136.649307250977,136.671905517578,37,136.671905517578,2020-01-20
136.646896362305,136.646896362305,136.646896362305,136.646896362305,787,136.646896362305,2020-01-21
136.644302368164,136.644302368164,136.644302368164,136.644302368164,1868,136.644302368164,2020-01-22
136.642303466797,136.642303466797,136.642303466797,136.664306640625,180,136.664306640625,2020-01-23
136.683502197266,136.683502197266,136.639999389648,136.691299438477,1073,136.691299438477,2020-01-24
136.691299438477,136.691299438477,136.691299438477,136.691299438477,0,136.691299438477,2020-01-27
136.632904052734,136.684692382812,136.632904052734,136.658294677734,2060,136.658294677734,2020-01-28
136.658294677734,136.658294677734,136.658294677734,136.658294677734,0,136.658294677734,2020-01-29
136.680694580078,136.680999755859,136.637496948242,136.659194946289,14137,136.659194946289,2020-01-30
136.679000854492,136.679000854492,136.679000854492,136.655700683594,219,136.655700683594,2020-01-31
136.671096801758,136.671096801758,136.671096801758,136.636093139648,1,136.636093139648,2020-02-03
136.67170715332,136.67170715332,136.67170715332,136.648498535156,1,136.648498535156,2020-02-04
136.648498535156,136.648498535156,136.648498535156,136.648498535156,0,136.648498535156,2020-02-05
136.66650390625,136.66650390625,136.66650390625,136.66650390625,338,136.66650390625,2020-02-06
136.66650390625,136.66650390625,136.66650390625,136.66650390625,0,136.66650390625,2020-02-07
136.66650390625,136.66650390625,136.66650390625,136.66650390625,0,136.66650390625,2020-02-10
136.66650390625,136.66650390625,136.66650390625,136.66650390625,0,136.66650390625,2020-02-11
136.66650390625,136.66650390625,136.66650390625,136.66650390625,0,136.66650390625,2020-02-12
136.598007202148,136.64729309082,136.598007202148,136.622802734375,438,136.622802734375,2020-02-13
136.622802734375,136.622802734375,136.622802734375,136.622802734375,0,136.622802734375,2020-02-14
136.622802734375,136.622802734375,136.622802734375,136.622802734375,0,136.622802734375,2020-02-17
136.591705322266,136.618103027344,136.59049987793,136.618103027344,911,136.618103027344,2020-02-18
136.618103027344,136.618103027344,136.618103027344,136.618103027344,0,136.618103027344,2020-02-19
136.619995117188,136.619995117188,136.58430480957,136.605606079102,92,136.605606079102,2020-02-20
136.625503540039,136.625503540039,136.625503540039,136.602493286133,328,136.602493286133,2020-02-21
136.58349609375,136.58349609375,136.58349609375,136.599594116211,50,136.599594116211,2020-02-24
136.599502563477,136.599502563477,136.599502563477,136.606201171875,12,136.606201171875,2020-02-25
136.625,136.625,136.625,136.625,18282,136.625,2020-02-26
136.625,136.625,136.625,136.625,0,136.625,2020-02-27
136.577499389648,136.620498657227,136.577499389648,136.606994628906,2166,136.606994628906,2020-02-28
136.613906860352,136.613998413086,136.613906860352,136.613998413086,14991,136.613998413086,2020-03-02
136.612701416016,136.612701416016,136.612701416016,136.61799621582,264,136.61799621582,2020-03-03
136.618301391602,136.618301391602,136.554992675781,136.581893920898,299,136.581893920898,2020-03-04
136.607406616211,136.607406616211,136.560394287109,136.582107543945,645,136.582107543945,2020-03-05
136.558395385742,136.60530090332,136.558395385742,136.582595825195,549,136.582595825195,2020-03-06
136.552398681641,136.552398681641,136.552398681641,136.701293945312,605,136.701293945312,2020-03-09
136.701293945312,136.701293945312,136.701293945312,136.701293945312,0,136.701293945312,2020-03-10
136.59880065918,136.59880065918,136.59880065918,136.571395874023,100,136.571395874023,2020-03-11
136.545394897461,136.624099731445,136.545394897461,136.60710144043,585,136.60710144043,2020-03-12
135.511795043945,137.615005493164,135.511795043945,136.573593139648,402,136.573593139648,2020-03-13
136.725402832031,136.725402832031,136.725402832031,136.781005859375,50,136.781005859375,2020-03-16
136.262298583984,136.587997436523,136.262298583984,136.587997436523,2050,136.587997436523,2020-03-17
136.720397949219,136.720397949219,136.395904541016,136.720901489258,684,136.720901489258,2020-03-18
136.393905639648,136.718399047852,136.393905639648,136.453704833984,7384,136.453704833984,2020-03-19
136.39289855957,136.717407226562,136.39289855957,136.693206787109,1620,136.693206787109,2020-03-20
136.636306762695,137.56689453125,136.453903198242,137.56689453125,1694,137.56689453125,2020-03-23
136.452697753906,136.452697753906,136.452697753906,136.725692749023,19,136.725692749023,2020-03-24
136.658599853516,136.658599853516,136.658599853516,136.558303833008,2194,136.558303833008,2020-03-25
136.629302978516,136.629302978516,136.456497192383,136.543594360352,1614,136.543594360352,2020-03-26
136.610000610352,136.610000610352,136.610000610352,136.539001464844,132,136.539001464844,2020-03-27
136.608596801758,136.608596801758,136.43440246582,136.536499023438,691,136.536499023438,2020-03-30
136.536499023438,136.536499023438,136.536499023438,136.536499023438,0,136.536499023438,2020-03-31
136.603607177734,136.783203125,136.603607177734,136.717895507812,6881,136.717895507812,2020-04-01
136.601593017578,136.601593017578,136.601593017578,136.606506347656,4060,136.606506347656,2020-04-02
136.452606201172,136.599594116211,136.452606201172,136.526092529297,1835,136.526092529297,2020-04-03
136.590805053711,136.590896606445,136.590805053711,136.544906616211,1615,136.544906616211,2020-04-06
136.592498779297,136.676193237305,136.445602416992,136.458206176758,2957,136.458206176758,2020-04-07
136.589599609375,136.589599609375,136.442596435547,136.516098022461,357,136.516098022461,2020-04-08
136.516098022461,136.516098022461,136.516098022461,136.516098022461,0,136.516098022461,2020-04-09
136.577194213867,136.577194213867,136.577194213867,136.499893188477,2197,136.499893188477,2020-04-14
136.428894042969,136.428894042969,136.425704956055,136.501403808594,2756,136.501403808594,2020-04-15
136.466400146484,136.550003051758,136.425704956055,136.507904052734,212325,136.507904052734,2020-04-16
136.570495605469,136.570602416992,136.423797607422,136.497192382812,676,136.497192382812,2020-04-17
136.418792724609,136.418792724609,136.418792724609,136.492202758789,30,136.492202758789,2020-04-20
136.406997680664,136.406997680664,136.406997680664,136.485305786133,134,136.485305786133,2020-04-21
136.403396606445,136.55859375,136.403396606445,136.55859375,4139,136.55859375,2020-04-22
136.411804199219,136.411804199219,136.411697387695,136.478500366211,1698,136.478500366211,2020-04-23
136.556396484375,136.556594848633,136.409698486328,136.483200073242,608,136.483200073242,2020-04-24
136.550506591797,136.550598144531,136.403701782227,136.440795898438,40261,136.440795898438,2020-04-27
136.510894775391,136.510894775391,136.510894775391,136.505493164062,13,136.505493164062,2020-04-28
136.390106201172,136.390106201172,136.390106201172,136.390106201172,260,136.390106201172,2020-04-29
136.508605957031,136.543594360352,136.005096435547,136.005096435547,4092,136.005096435547,2020-04-30
136.389801025391,136.536605834961,136.360504150391,136.522903442383,3039,136.522903442383,2020-05-04
136.520904541016,136.520904541016,136.5,136.500503540039,26,136.500503540039,2020-05-05
136.398406982422,136.398406982422,136.398300170898,136.485794067383,672,136.485794067383,2020-05-06
136.515899658203,136.545593261719,136.514999389648,136.457794189453,2394,136.457794189453,2020-05-07
136.435394287109,136.526992797852,136.435302734375,136.497100830078,454,136.497100830078,2020-05-08
136.537094116211,136.57600402832,136.380096435547,136.442398071289,7947,136.442398071289,2020-05-11
136.46760559082,136.496704101562,136.38020324707,136.440505981445,1509,136.440505981445,2020-05-12
136.493606567383,136.493698120117,136.369995117188,136.438003540039,4923,136.438003540039,2020-05-13
136.409103393555,136.489807128906,136.380004882812,136.430694580078,5327,136.430694580078,2020-05-14
136.406997680664,136.410003662109,136.370101928711,136.42790222168,6946,136.42790222168,2020-05-15
136.429992675781,136.483505249023,136.429992675781,136.436492919922,3276,136.436492919922,2020-05-18
136.459899902344,136.480499267578,136.459899902344,136.440200805664,1988,136.440200805664,2020-05-19
136.464996337891,136.464996337891,136.372894287109,136.440902709961,4960,136.440902709961,2020-05-20
136.462905883789,136.462997436523,136.370697021484,136.444396972656,2694,136.444396972656,2020-05-21
136.36979675293,136.474304199219,136.36979675293,136.462905883789,637,136.462905883789,2020-05-22
136.469604492188,136.576904296875,136.449996948242,136.419296264648,2861,136.419296264648,2020-05-25
136.383804321289,136.470001220703,136.383804321289,136.428802490234,2664,136.428802490234,2020-05-26
136.381805419922,136.455093383789,136.35969543457,136.473403930664,574,136.473403930664,2020-05-27
136.379806518555,136.449005126953,136.350006103516,136.417007446289,3314,136.417007446289,2020-05-28
136.445907592773,136.456298828125,136.377593994141,136.39599609375,9551,136.39599609375,2020-05-29
136.389999389648,136.389999389648,136.199996948242,136.169403076172,6960,136.169403076172,2020-06-01
136.423706054688,136.440399169922,136.346694946289,136.394195556641,2602,136.394195556641,2020-06-02
136.421600341797,136.436996459961,136.345001220703,136.395095825195,2567,136.395095825195,2020-06-03
136.434005737305,136.434005737305,136.335006713867,136.391204833984,257,136.391204833984,2020-06-04
136.36279296875,136.440399169922,136.350006103516,136.395492553711,2760,136.395492553711,2020-06-05
136.350006103516,136.436294555664,136.341995239258,136.356399536133,3280,136.356399536133,2020-06-08
136.423904418945,136.42399597168,136.300003051758,136.388198852539,187,136.388198852539,2020-06-09
136.406799316406,136.421005249023,136.328994750977,136.378402709961,15975,136.378402709961,2020-06-10
136.404800415039,136.419006347656,136.3291015625,136.350997924805,3779,136.350997924805,2020-06-11
