"SMART.MI.Open","SMART.MI.High","SMART.MI.Low","SMART.MI.Close","SMART.MI.Volume","SMART.MI.Adjusted","Date"
106.013999938965,106.105003356934,106.000999450684,106.067001342773,24452,106.067001342773,2025-03-17
106,106.107002258301,106,106,47207,106,2025-03-18
106.070999145508,106.179000854492,105.985000610352,106.179000854492,51636,106.179000854492,2025-03-19
106.080001831055,106.139999389648,106.028999328613,106.065002441406,26225,106.065002441406,2025-03-20
106.103996276855,106.103996276855,105.966003417969,106.061996459961,45352,106.061996459961,2025-03-21
106.080001831055,106.089996337891,106.050003051758,106.065002441406,40198,106.065002441406,2025-03-24
106.080001831055,106.105003356934,106.080001831055,106.080001831055,18049,106.080001831055,2025-03-25
106.099998474121,106.103996276855,106.089996337891,106.092002868652,18026,106.092002868652,2025-03-26
106.166999816895,106.166999816895,106.092002868652,106.128997802734,23381,106.128997802734,2025-03-27
106.176002502441,106.212997436523,106.120002746582,106.13200378418,34060,106.13200378418,2025-03-28
106.141998291016,106.15299987793,106.112998962402,106.112998962402,40609,106.112998962402,2025-03-31
106.142997741699,106.161003112793,106.138000488281,106.157997131348,90309,106.157997131348,2025-04-01
106.146003723145,106.167999267578,106.139999389648,106.139999389648,50591,106.139999389648,2025-04-02
106.180000305176,106.204002380371,106.139999389648,106.204002380371,46050,106.204002380371,2025-04-03
106.218002319336,106.228996276855,106.108001708984,106.228996276855,38318,106.228996276855,2025-04-04
106.180000305176,106.230003356934,106.099998474121,106.224998474121,72977,106.224998474121,2025-04-07
106.220001220703,106.220001220703,106.087997436523,106.220001220703,36152,106.220001220703,2025-04-08
106.244003295898,106.245002746582,106.169998168945,106.204002380371,43249,106.204002380371,2025-04-09
106.23999786377,106.267997741699,106.181999206543,106.267997741699,36504,106.267997741699,2025-04-10
106.259002685547,106.289001464844,106.232002258301,106.289001464844,303531,106.289001464844,2025-04-11
106.268997192383,106.268997192383,106.240997314453,106.240997314453,53273,106.240997314453,2025-04-14
