"CSPXJ.MI.Open","CSPXJ.MI.High","CSPXJ.MI.Low","CSPXJ.MI.Close","CSPXJ.MI.Volume","CSPXJ.MI.Adjusted","Date"
140.710006713867,141.690002441406,140.710006713867,141.360000610352,1294,141.360000610352,2020-01-02
140.75,141.110000610352,140.380004882812,140.889999389648,967,140.889999389648,2020-01-03
140.270004272461,140.410003662109,139.589996337891,140.330001831055,2951,140.330001831055,2020-01-06
141.369995117188,141.550003051758,141.070007324219,141.25,2787,141.25,2020-01-07
140.970001220703,141.779998779297,140.860000610352,142.050003051758,2452,142.050003051758,2020-01-08
142.679992675781,142.690002441406,142.210006713867,142.369995117188,3004,142.369995117188,2020-01-09
143.289993286133,143.75,143.179992675781,143.259994506836,2719,143.259994506836,2020-01-10
143.710006713867,143.820007324219,143.539993286133,143.630004882812,1657,143.630004882812,2020-01-13
144.169998168945,144.990005493164,144.169998168945,144.789993286133,2660,144.789993286133,2020-01-14
144.570007324219,144.929992675781,144.350006103516,144.860000610352,4169,144.860000610352,2020-01-15
145.330001831055,145.979995727539,145.330001831055,145.919998168945,1323,145.919998168945,2020-01-16
146.220001220703,146.809997558594,146.169998168945,146.539993286133,6863,146.539993286133,2020-01-17
145.979995727539,146.139999389648,145.770004272461,146.089996337891,3578,146.089996337891,2020-01-20
144.240005493164,144.740005493164,144.009994506836,144.759994506836,3894,144.759994506836,2020-01-21
145.600006103516,145.699996948242,144.919998168945,145.339996337891,6746,145.339996337891,2020-01-22
144.820007324219,144.869995117188,144.130004882812,144.220001220703,7814,144.220001220703,2020-01-23
145.389999389648,145.669998168945,144.720001220703,144.820007324219,3693,144.820007324219,2020-01-24
142.029998779297,142.100006103516,139.660003662109,140.419998168945,32867,140.419998168945,2020-01-27
140.449996948242,142.039993286133,140.449996948242,141.720001220703,148950,141.720001220703,2020-01-28
142.270004272461,142.470001220703,141.440002441406,141.899993896484,4216,141.899993896484,2020-01-29
140.139999389648,140.630004882812,139.729995727539,139.990005493164,1262,139.990005493164,2020-01-30
139.919998168945,139.919998168945,137.059997558594,137.119995117188,11365,137.119995117188,2020-01-31
137.660003662109,138.350006103516,137.110000610352,137.929992675781,4010,137.929992675781,2020-02-03
138.910003662109,140.449996948242,138.910003662109,140.429992675781,2959,140.429992675781,2020-02-04
139.600006103516,141.940002441406,139.600006103516,141.399993896484,30745,141.399993896484,2020-02-05
142.449996948242,142.479995727539,141.929992675781,142.369995117188,6384,142.369995117188,2020-02-06
141.699996948242,141.789993286133,140.880004882812,141.360000610352,1239,141.360000610352,2020-02-07
141,141.889999389648,140.600006103516,141.830001831055,1599,141.830001831055,2020-02-10
142.020004272461,143.110000610352,142.020004272461,142.960006713867,3181,142.960006713867,2020-02-11
144.160003662109,145.169998168945,144.160003662109,145.169998168945,1776,145.169998168945,2020-02-12
144.199996948242,144.809997558594,143.860000610352,144.949996948242,1011,144.949996948242,2020-02-13
145.539993286133,145.660003662109,145.149993896484,145.350006103516,1529,145.350006103516,2020-02-14
145.830001831055,145.860000610352,145.509994506836,145.830001831055,2737,145.830001831055,2020-02-17
144.770004272461,145.399993896484,144.460006713867,144.889999389648,7114,144.889999389648,2020-02-18
