"CSUS.MI.Open","CSUS.MI.High","CSUS.MI.Low","CSUS.MI.Close","CSUS.MI.Volume","CSUS.MI.Adjusted","Date"
222.740005493164,226.199996948242,218,219.559997558594,2511,219.559997558594,2020-03-13
211.789993286133,218,209.479995727539,217.160003662109,212,217.160003662109,2020-03-16
218,221.570007324219,208.529998779297,219.339996337891,617,219.339996337891,2020-03-17
210.330001831055,211.639999389648,210.330001831055,211.589996337891,942,211.589996337891,2020-03-18
213.160003662109,217.770004272461,210.820007324219,216.220001220703,742,216.220001220703,2020-03-19
216.220001220703,216.220001220703,216.220001220703,216.220001220703,0,216.220001220703,2020-03-20
200.360000610352,200.559997558594,198.350006103516,200.820007324219,25,200.820007324219,2020-03-23
207.850006103516,209.309997558594,207.850006103516,217.839996337891,2429,217.839996337891,2020-03-24
223.270004272461,223.270004272461,215.690002441406,223.830001831055,131,223.830001831055,2020-03-25
215.399993896484,228.25,215.399993896484,227.25,108,227.25,2020-03-26
223.949996948242,223.949996948242,221.679992675781,221.759994506836,96,221.759994506836,2020-03-27
221.449996948242,227.589996337891,221.449996948242,228.110000610352,8,228.110000610352,2020-03-30
228.110000610352,228.110000610352,228.110000610352,228.110000610352,0,228.110000610352,2020-03-31
220.279998779297,222.759994506836,219.240005493164,221,46,221,2020-04-01
221.899993896484,223.710006713867,217.869995117188,221.929992675781,126,221.929992675781,2020-04-02
223.050003051758,226,223,222.889999389648,126,222.889999389648,2020-04-03
230.729995727539,232.589996337891,230.729995727539,232.970001220703,36,232.970001220703,2020-04-06
244.029998779297,244.029998779297,244.029998779297,241.240005493164,6,241.240005493164,2020-04-07
235.080001831055,238.190002441406,235.080001831055,241.220001220703,153,241.220001220703,2020-04-08
243.960006713867,246.100006103516,243.960006713867,247.009994506836,354,247.009994506836,2020-04-09
248.860000610352,248.960006713867,248.860000610352,248.669998168945,68,248.669998168945,2020-04-14
248.669998168945,248.669998168945,248.669998168945,248.669998168945,0,248.669998168945,2020-04-15
249.539993286133,249.619995117188,248.619995117188,249.860000610352,892,249.860000610352,2020-04-16
257.640014648438,257.640014648438,257.640014648438,252.070007324219,4,252.070007324219,2020-04-17
