"WEBH.MI.Open","WEBH.MI.High","WEBH.MI.Low","WEBH.MI.Close","WEBH.MI.Volume","WEBH.MI.Adjusted","Date"
33.7350006103516,33.7350006103516,33.685001373291,33.75,250,33.75,2024-10-10
33.75,33.75,33.75,33.75,0,33.75,2024-10-11
33.75,33.75,33.75,33.75,0,33.75,2024-10-14
34.185001373291,34.185001373291,34.185001373291,34.1599998474121,100,34.1599998474121,2024-10-15
34.1150016784668,34.1150016784668,34.1150016784668,34.1500015258789,150,34.1500015258789,2024-10-16
34.4799995422363,34.4850006103516,34.4599990844727,34.4749984741211,1160,34.4749984741211,2024-10-17
34.4749984741211,34.4749984741211,34.4749984741211,34.4749984741211,0,34.4749984741211,2024-10-18
34.4599990844727,34.4599990844727,34.4599990844727,34.3199996948242,300,34.3199996948242,2024-10-21
34.3199996948242,34.3199996948242,34.3199996948242,34.3199996948242,0,34.3199996948242,2024-10-22
34.3199996948242,34.3199996948242,34.3199996948242,34.3199996948242,0,34.3199996948242,2024-10-23
34.3199996948242,34.3199996948242,34.3199996948242,34.3199996948242,0,34.3199996948242,2024-10-24
34.3650016784668,34.3650016784668,34.3650016784668,34.4500007629395,142,34.4500007629395,2024-10-25
34.4850006103516,34.4850006103516,34.4850006103516,34.3800010681152,4,34.3800010681152,2024-10-28
34.3800010681152,34.3800010681152,34.3800010681152,34.3800010681152,0,34.3800010681152,2024-10-29
34.3800010681152,34.3800010681152,34.3800010681152,34.3800010681152,0,34.3800010681152,2024-10-30
33.6599998474121,33.6599998474121,33.6599998474121,33.6949996948242,150,33.6949996948242,2024-10-31
33.6949996948242,33.6949996948242,33.6949996948242,33.6949996948242,0,33.6949996948242,2024-11-01
33.6949996948242,33.6949996948242,33.6949996948242,33.6949996948242,0,33.6949996948242,2024-11-04
33.5900001525879,33.5900001525879,33.5900001525879,33.7150001525879,150,33.7150001525879,2024-11-05
35.1650009155273,35.2000007629395,35.1650009155273,35.1349983215332,195,35.1349983215332,2024-11-06
35.3499984741211,35.3499984741211,35.3250007629395,35.3499984741211,60,35.3499984741211,2024-11-07
35.5,35.5,35.5,35.7400016784668,200,35.7400016784668,2024-11-08
36.0849990844727,36.1800003051758,36.0849990844727,36.125,300,36.125,2024-11-11
36.1699981689453,36.1699981689453,36.1699981689453,36.1349983215332,150,36.1349983215332,2024-11-12
36.1349983215332,36.1349983215332,36.1349983215332,36.1349983215332,0,36.1349983215332,2024-11-13
36.3549995422363,36.3549995422363,36.2050018310547,36.2000007629395,225,36.2000007629395,2024-11-14
35.7350006103516,35.7350006103516,35.7350006103516,35.7150001525879,146,35.7150001525879,2024-11-15
35.6800003051758,35.6800003051758,35.6800003051758,35.7550010681152,1153,35.7550010681152,2024-11-18
35.6450004577637,35.6450004577637,35.4249992370605,35.7150001525879,559,35.7150001525879,2024-11-19
35.7150001525879,35.7150001525879,35.7150001525879,35.7150001525879,0,35.7150001525879,2024-11-20
36.0849990844727,36.3499984741211,36.0849990844727,36.3499984741211,11147,36.3499984741211,2024-11-21
